,,,,,,,,,,,,,
,,,,,,,,,,,,,
MXIT Index Settings Total Return Analysis,,,,,,,,,,,,,
Range01/29/1999 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 287 Month Holding Period Chart,,,,,,,,,,,,,
MSCI Italy Index Max Cuml Total Return 108.2149% On 10/31/2007,,,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,,,
8/31/2015,70.51,--,-36.58%,19.95%,-4.94%,-4.94%,,,,,,,
7/31/2015,74.17,--,-33.28%,26.18%,3.60%,3.60%,,,,,,,
,,,,,,,,,,,,,
6/30/2015,71.59,0.39353,-35.60%,21.79%,-2.90%,-2.40%,,,,,,,
5/29/2015,73.73,1.29897,-33.68%,24.79%,-0.13%,1.60%,,,,,,,
4/30/2015,73.82,0.06902,-33.60%,22.82%,4.23%,4.33%,,,,,,,
,,,,,,,,,,,,,
3/31/2015,70.83,--,-36.29%,17.73%,-1.36%,-1.36%,,,,,,,
2/27/2015,71.8,--,-35.41%,19.35%,8.15%,8.15%,,,,,,,
1/30/2015,66.4,--,-40.28%,10.36%,-0.43%,-0.43%,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MXIT Index Settings Total Return Analysis,,,,,,,,,,,,,
Range01/29/1999 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 287 Month Holding Period Chart,,,,,,,,,,,,,
MSCI Italy Index Max Cuml Total Return 108.2149% On 10/31/2007,,,,,,,,,,,,,
,Date,,Close Price,,Dividends,,Prc Appr,,Total Return,,Period Appr,,Period Return
12/31/2014,66.68,--,-40.02%,10.84%,-7.47%,-7.47%,,,,,,,
11/28/2014,72.06,0.11713,-35.18%,19.78%,-0.30%,-0.14%,,,,,,,
10/31/2014,72.28,--,-34.99%,19.95%,-5.79%,-5.79%,,,,,,,
,,,,,,,,,,,,,
9/30/2014,76.72,0.43125,-30.99%,27.32%,-1.54%,-0.99%,,,,,,,
8/29/2014,77.92,--,-29.91%,28.59%,-2.48%,-2.48%,,,,,,,
7/31/2014,79.91,--,-28.12%,31.87%,-5.34%,-5.34%,,,,,,,
,,,,,,,,,,,,,
6/30/2014,84.41,0.37231,-24.07%,39.30%,-0.91%,-0.48%,,,,,,,
5/30/2014,85.19,1.26349,-23.37%,39.98%,-2.22%,-0.69%,,,,,,,
4/30/2014,87.12,0.10318,-21.64%,40.94%,1.54%,1.66%,,,,,,,
,,,,,,,,,,,,,
3/31/2014,85.8,--,-22.82%,38.64%,6.35%,6.35%,,,,,,,
2/28/2014,80.68,--,-27.43%,30.37%,6.95%,6.95%,,,,,,,
1/31/2014,75.44,--,-32.14%,21.90%,0.53%,0.53%,,,,,,,
,,,,,,,,,,,,,
12/31/2013,75.04,0.04573,-32.50%,21.27%,1.02%,1.08%,,,,,,,
11/29/2013,74.29,0.05174,-33.18%,19.97%,-2.14%,-2.07%,,,,,,,
10/31/2013,75.91,0.07044,-31.72%,22.50%,11.95%,12.06%,,,,,,,
,,,,,,,,,,,,,
9/30/2013,67.8,0.48205,-39.01%,9.32%,6.71%,7.45%,,,,,,,
8/30/2013,63.54,--,-42.85%,1.74%,1.03%,1.03%,,,,,,,
7/31/2013,62.89,--,-43.43%,0.70%,10.23%,10.23%,,,,,,,
,,,,,,,,,,,,,
6/28/2013,57.05,0.40421,-48.68%,-8.65%,-11.61%,-10.98%,,,,,,,
5/31/2013,64.54,1.12893,-41.94%,2.62%,0.21%,1.94%,,,,,,,
4/30/2013,64.41,0.22134,-42.06%,0.67%,11.50%,11.91%,,,,,,,
,,,,,,,,,,,,,
3/29/2013,57.76,--,-48.04%,-10.05%,-5.44%,-5.44%,,,,,,,
2/28/2013,61.08,--,-45.05%,-4.87%,-12.60%,-12.60%,,,,,,,
1/31/2013,69.89,--,-37.13%,8.84%,8.70%,8.70%,,,,,,,
,,,,,,,,,,,,,
12/31/2012,64.3,--,-42.16%,0.13%,3.91%,3.91%,,,,,,,
11/30/2012,61.88,0.09392,-44.34%,-3.64%,1.81%,1.97%,,,,,,,
10/31/2012,60.78,0.0573,-45.33%,-5.50%,3.29%,3.38%,,,,,,,
,,,,,,,,,,,,,
9/28/2012,58.84,0.46036,-47.07%,-8.59%,2.20%,2.96%,,,,,,,
8/31/2012,57.58,--,-48.21%,-11.22%,10.74%,10.74%,,,,,,,
7/31/2012,51.99,--,-53.23%,-19.83%,-5.22%,-5.22%,,,,,,,
,,,,,,,,,,,,,
6/29/2012,54.85,0.59502,-50.66%,-15.42%,13.24%,14.59%,,,,,,,
5/31/2012,48.44,1.08174,-56.43%,-26.19%,-17.58%,-15.82%,,,,,,,
4/30/2012,58.78,0.06416,-47.13%,-12.32%,-8.69%,-8.58%,,,,,,,
,,,,,,,,,,,,,
3/30/2012,64.37,--,-42.10%,-4.09%,-2.25%,-2.25%,,,,,,,
2/29/2012,65.85,--,-40.77%,-1.88%,5.02%,5.02%,,,,,,,
1/31/2012,62.7,--,-43.60%,-6.57%,6.38%,6.38%,,,,,,,
,,,,,,,,,,,,,
12/30/2011,58.94,--,-46.98%,-12.17%,-4.61%,-4.61%,,,,,,,
11/30/2011,61.79,0.38375,-44.42%,-7.92%,-7.57%,-6.97%,,,,,,,
10/31/2011,66.86,0.06115,-39.86%,-1.02%,13.19%,13.29%,,,,,,,
,,,,,,,,,,,,,
9/30/2011,59.07,0.46585,-46.87%,-12.63%,-11.49%,-10.76%,,,,,,,
8/31/2011,66.73,--,-39.97%,-2.09%,-14.71%,-14.71%,,,,,,,
7/29/2011,78.24,0.0048,-29.62%,14.79%,-9.26%,-9.25%,,,,,,,
,,,,,,,,,,,,,
6/30/2011,86.22,0.57182,-22.45%,26.49%,-3.38%,-2.71%,,,,,,,
5/31/2011,89.23,1.65746,-19.73%,30.01%,-8.59%,-6.80%,,,,,,,
4/29/2011,97.61,0.41286,-12.20%,39.50%,7.91%,8.41%,,,,,,,
,,,,,,,,,,,,,
3/31/2011,90.46,--,-18.63%,28.67%,-0.27%,-0.27%,,,,,,,
2/28/2011,90.71,--,-18.41%,29.03%,2.74%,2.74%,,,,,,,
1/31/2011,88.29,--,-20.58%,25.59%,12.30%,12.30%,,,,,,,
,,,,,,,,,,,,,
12/31/2010,78.62,--,-29.28%,11.83%,7.39%,7.39%,,,,,,,
11/30/2010,73.21,0.36993,-34.14%,4.14%,-15.93%,-15.55%,,,,,,,
10/29/2010,87.09,0.04988,-21.67%,23.31%,6.74%,6.81%,,,,,,,
,,,,,,,,,,,,,
9/30/2010,81.58,0.47204,-26.62%,15.45%,11.14%,11.80%,,,,,,,
8/31/2010,73.41,--,-33.97%,3.26%,-7.73%,-7.73%,,,,,,,
7/30/2010,79.55,--,-28.44%,11.91%,15.92%,15.92%,,,,,,,
,,,,,,,,,,,,,
6/30/2010,68.63,0.43785,-38.27%,-3.46%,-1.54%,-0.96%,,,,,,,
5/31/2010,69.7,1.67999,-37.30%,-2.52%,-16.13%,-14.08%,,,,,,,
4/30/2010,83.11,0.10098,-25.24%,13.46%,-7.16%,-7.06%,,,,,,,
,,,,,,,,,,,,,
3/31/2010,89.52,--,-19.48%,22.07%,7.66%,7.66%,,,,,,,
2/26/2010,83.15,--,-25.21%,13.38%,-5.84%,-5.84%,,,,,,,
1/29/2010,88.31,--,-20.57%,20.42%,-8.48%,-8.48%,,,,,,,
,,,,,,,,,,,,,
12/31/2009,96.49,--,-13.21%,31.57%,1.27%,1.27%,,,,,,,
11/30/2009,95.28,0.37452,-14.30%,29.92%,0.90%,1.28%,,,,,,,
10/30/2009,94.43,0.03633,-15.06%,28.28%,-5.25%,-5.22%,,,,,,,
,,,,,,,,,,,,,
9/30/2009,99.66,0.54358,-10.36%,35.34%,7.00%,7.60%,,,,,,,
8/31/2009,93.14,--,-16.22%,25.79%,8.77%,8.77%,,,,,,,
7/31/2009,85.63,--,-22.98%,15.65%,8.66%,8.66%,,,,,,,
,,,,,,,,,,,,,
6/30/2009,78.81,0.83642,-29.11%,6.43%,-4.42%,-3.37%,,,,,,,
5/29/2009,82.45,1.38392,-25.83%,10.15%,11.65%,13.60%,,,,,,,
4/30/2009,73.85,0.38059,-33.57%,-3.04%,18.55%,19.23%,,,,,,,
,,,,,,,,,,,,,
3/31/2009,62.3,--,-43.97%,-18.68%,6.45%,6.45%,,,,,,,
2/27/2009,58.52,--,-47.36%,-23.61%,-13.72%,-13.72%,,,,,,,
1/30/2009,67.82,--,-38.99%,-11.46%,-15.16%,-15.16%,,,,,,,
,,,,,,,,,,,,,
12/31/2008,79.94,--,-28.09%,4.36%,8.30%,8.30%,,,,,,,
11/28/2008,73.82,0.49674,-33.60%,-3.64%,-6.36%,-5.74%,,,,,,,
10/31/2008,78.83,0.0265,-29.09%,2.23%,-23.46%,-23.43%,,,,,,,
,,,,,,,,,,,,,
9/30/2008,102.99,0.76248,-7.36%,33.52%,-14.63%,-14.07%,,,,,,,
8/29/2008,120.64,--,8.52%,55.37%,-4.79%,-4.79%,,,,,,,
7/31/2008,126.71,0.0138,13.98%,63.18%,-4.48%,-4.47%,,,,,,,
,,,,,,,,,,,,,
6/30/2008,132.65,0.71282,19.32%,70.82%,-11.21%,-10.73%,,,,,,,
5/30/2008,149.4,5.27256,34.38%,91.35%,-2.50%,0.91%,,,,,,,
4/30/2008,153.22,0.97257,37.82%,89.63%,5.84%,6.51%,,,,,,,
,,,,,,,,,,,,,
3/31/2008,144.76,--,30.22%,78.05%,-2.20%,-2.20%,,,,,,,
2/29/2008,148.02,--,33.14%,82.05%,-0.54%,-0.54%,,,,,,,
1/31/2008,148.82,--,33.86%,83.03%,-10.01%,-10.01%,,,,,,,
,,,,,,,,,,,,,
12/31/2007,165.38,--,48.76%,103.40%,-1.01%,-1.01%,,,,,,,
11/30/2007,167.07,0.61069,50.28%,105.48%,-1.69%,-1.31%,,,,,,,
10/31/2007,169.93,0.71077,52.86%,108.22%,3.22%,3.68%,,,,,,,
,,,,,,,,,,,,,
9/28/2007,164.63,--,48.08%,100.83%,3.82%,3.82%,,,,,,,
8/31/2007,158.57,--,42.64%,93.44%,-0.45%,-0.45%,,,,,,,
7/31/2007,159.29,--,43.28%,94.32%,-3.07%,-3.07%,,,,,,,
,,,,,,,,,,,,,
6/29/2007,164.34,1.33172,47.82%,100.47%,-2.15%,-1.37%,,,,,,,
5/31/2007,167.95,3.5085,51.08%,103.25%,-2.99%,-0.99%,,,,,,,
4/30/2007,173.13,1.22084,55.73%,105.28%,6.72%,7.48%,,,,,,,
,,,,,,,,,,,,,
3/30/2007,162.23,--,45.93%,90.99%,2.37%,2.37%,,,,,,,
2/28/2007,158.47,--,42.55%,86.56%,-1.06%,-1.06%,,,,,,,
1/31/2007,160.17,--,44.07%,88.56%,0.03%,0.03%,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
12/29/2006,160.11,--,44.02%,88.50%,2.06%,2.06%,,,,,,,
11/30/2006,156.89,0.53849,41.12%,84.70%,5.18%,5.55%,,,,,,,
10/31/2006,149.15,0.63048,34.16%,74.98%,3.56%,4.01%,,,,,,,
,,,,,,,,,,,,,
9/29/2006,144.02,--,29.55%,68.23%,0.05%,0.05%,,,,,,,
8/31/2006,143.96,--,29.49%,68.16%,4.05%,4.05%,,,,,,,
7/31/2006,138.36,--,24.45%,61.62%,0.51%,0.51%,,,,,,,
,,,,,,,,,,,,,
6/30/2006,137.66,1.5664,23.82%,60.80%,-0.50%,0.69%,,,,,,,
5/31/2006,138.35,1.93815,24.45%,59.69%,-1.79%,-0.38%,,,,,,,
4/28/2006,140.88,1.65483,26.72%,60.30%,3.33%,4.56%,,,,,,,
,,,,,,,,,,,,,
3/31/2006,136.33,--,22.63%,53.31%,2.74%,2.74%,,,,,,,
2/28/2006,132.7,--,19.37%,49.23%,0.65%,0.65%,,,,,,,
1/31/2006,131.85,--,18.60%,48.26%,5.14%,5.14%,,,,,,,
,,,,,,,,,,,,,
12/30/2005,125.39,0.00838,12.79%,41.01%,4.91%,4.92%,,,,,,,
11/30/2005,119.52,0.4378,7.51%,34.39%,1.97%,2.34%,,,,,,,
10/31/2005,117.21,0.46769,5.43%,31.31%,-6.78%,-6.41%,,,,,,,
,,,,,,,,,,,,,
9/30/2005,125.74,--,13.10%,40.31%,1.39%,1.39%,,,,,,,
8/31/2005,124.01,--,11.55%,38.38%,0.99%,0.99%,,,,,,,
7/29/2005,122.8,--,10.46%,37.02%,4.17%,4.17%,,,,,,,
,,,,,,,,,,,,,
6/30/2005,117.88,1.53219,6.03%,31.54%,-0.25%,1.05%,,,,,,,
5/31/2005,118.17,1.62189,6.30%,30.18%,-2.25%,-0.93%,,,,,,,
4/29/2005,120.9,1.1283,8.75%,31.40%,-4.78%,-3.90%,,,,,,,
,,,,,,,,,,,,,
3/31/2005,126.97,--,14.21%,36.74%,-0.35%,-0.35%,,,,,,,
2/28/2005,127.41,--,14.61%,37.22%,2.93%,2.93%,,,,,,,
1/31/2005,123.78,--,11.34%,33.31%,-2.56%,-2.56%,,,,,,,
,,,,,,,,,,,,,
12/31/2004,127.03,--,14.26%,36.81%,8.30%,8.30%,,,,,,,
11/30/2004,117.3,0.59077,5.51%,26.33%,7.15%,7.70%,,,,,,,
10/29/2004,109.47,0.01902,-1.53%,17.30%,6.05%,6.07%,,,,,,,
,,,,,,,,,,,,,
9/30/2004,103.23,--,-7.15%,10.59%,5.47%,5.47%,,,,,,,
8/31/2004,97.87,--,-11.97%,4.85%,-0.41%,-0.41%,,,,,,,
7/30/2004,98.28,--,-11.60%,5.28%,-2.76%,-2.76%,,,,,,,
,,,,,,,,,,,,,
6/30/2004,101.06,1.20953,-9.09%,8.27%,2.73%,3.97%,,,,,,,
5/31/2004,98.38,2.22065,-11.51%,4.14%,-0.95%,1.33%,,,,,,,
4/30/2004,99.33,0.09472,-10.66%,2.77%,1.20%,1.29%,,,,,,,
,,,,,,,,,,,,,
3/31/2004,98.15,--,-11.71%,1.46%,-3.82%,-3.82%,,,,,,,
2/27/2004,102.04,--,-8.21%,5.49%,1.23%,1.23%,,,,,,,
1/30/2004,100.81,--,-9.33%,4.20%,2.77%,2.77%,,,,,,,
,,,,,,,,,,,,,
12/31/2003,98.09,0.01696,-11.77%,1.39%,4.23%,4.24%,,,,,,,
11/28/2003,94.11,0.03482,-15.35%,-2.73%,8.29%,8.33%,,,,,,,
