,,,,,,,,,,,,,
,,,,,,,,,,,,,
MXIN Index Settings Total Return Analysis,,,,,,,,,,,,,
Range12/31/1992 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 360 Month Holding Period Chart,,,,,,,,,,,,,
MSCI India Index Max Cuml Total Return 1120.1678% On 09/30/2021,,,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,,,
7/29/2016,15.81,0.03533,357.62%,552.39%,5.78%,6.02%,,,,,,,
,,,,,,,,,,,,,
6/30/2016,14.94,0.04352,332.62%,515.35%,0.74%,1.04%,,,,,,,
5/31/2016,14.83,0.01726,329.42%,509.02%,2.15%,2.27%,,,,,,,
4/29/2016,14.52,--,320.38%,495.50%,0.21%,0.21%,,,,,,,
,,,,,,,,,,,,,
3/31/2016,14.49,0.03973,319.48%,494.22%,12.55%,12.87%,,,,,,,
2/29/2016,12.87,0.01102,272.71%,426.48%,-7.20%,-7.12%,,,,,,,
1/29/2016,13.87,0.00716,301.63%,466.87%,-6.82%,-6.77%,,,,,,,
,,,,,,,,,,,,,
12/31/2015,14.89,0.00202,331.02%,508.03%,2.18%,2.20%,,,,,,,
11/30/2015,14.57,0.00656,321.81%,494.96%,-4.60%,-4.56%,,,,,,,
10/30/2015,15.27,0.02811,342.15%,523.37%,1.11%,1.29%,,,,,,,
,,,,,,,,,,,,,
9/30/2015,15.1,0.00971,337.28%,515.40%,0.44%,0.51%,,,,,,,
8/31/2015,15.04,0.0151,335.37%,512.31%,-8.96%,-8.87%,,,,,,,
7/31/2015,16.52,0.04912,378.21%,571.92%,1.59%,1.89%,,,,,,,
,,,,,,,,,,,,,
6/30/2015,16.26,0.05635,370.73%,559.45%,-0.24%,0.12%,,,,,,,
5/29/2015,16.3,0.01784,371.85%,558.64%,3.17%,3.28%,,,,,,,
4/30/2015,15.8,0.00179,357.36%,537.71%,-7.11%,-7.10%,,,,,,,
,,,,,,,,,,,,,
3/31/2015,17.01,0.0261,392.35%,586.43%,-4.06%,-3.92%,,,,,,,
2/27/2015,17.73,0.00598,413.18%,614.41%,2.27%,2.30%,,,,,,,
1/30/2015,17.33,0.00565,401.80%,598.32%,7.83%,7.87%,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MXIN Index Settings Total Return Analysis,,,,,,,,,,,,,
Range12/31/1992 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 360 Month Holding Period Chart,,,,,,,,,,,,,
MSCI India Index Max Cuml Total Return 1120.1678% On 09/30/2021,,,,,,,,,,,,,
,Date,,Close Price,,Dividends,,Prc Appr,,Total Return,,Period Appr,,Period Return
12/31/2014,16.07,0.00374,365.35%,547.39%,-5.81%,-5.79%,,,,,,,
11/28/2014,17.07,0.00208,394.07%,587.18%,1.26%,1.27%,,,,,,,
10/31/2014,16.85,0.02154,387.93%,578.55%,4.06%,4.20%,,,,,,,
,,,,,,,,,,,,,
9/30/2014,16.2,0.01354,368.91%,551.23%,-1.86%,-1.78%,,,,,,,
8/29/2014,16.5,0.01942,377.82%,563.06%,3.13%,3.25%,,,,,,,
7/31/2014,16,0.08012,363.31%,542.16%,0.00%,0.49%,,,,,,,
,,,,,,,,,,,,,
6/30/2014,16,0.03687,363.33%,539.01%,4.22%,4.46%,,,,,,,
5/30/2014,15.36,0.03482,344.56%,511.71%,8.92%,9.17%,,,,,,,
