,,,,,,,,,,,
,,,,,,,,,,,
MXID Index Settings Total Return Analysis,,,,,,,,,,,
Range11/29/1991 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 373 Month Holding Period Chart,,,,,,,,,,,
MSCI Indonesia Index Max Cuml Total Return 456.8318% On 04/29/2022,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,
,,,,,,,,,,,
9/28/2018,0.45,--,128.45%,327.39%,-0.89%,-0.89%,,,,,
8/31/2018,0.45,--,130.50%,331.23%,-0.08%,-0.08%,,,,,
7/31/2018,0.45,0.00063,130.68%,331.56%,2.36%,2.51%,,,,,
,,,,,,,,,,,
6/29/2018,0.44,0.00099,125.37%,321.01%,-7.02%,-6.82%,,,,,
5/31/2018,0.48,0.00542,142.37%,351.82%,-2.09%,-0.94%,,,,,
4/30/2018,0.49,0.00308,147.54%,356.12%,-5.32%,-4.76%,,,,,
,,,,,,,,,,,
3/30/2018,0.51,0.00201,161.45%,378.89%,-6.97%,-6.61%,,,,,
2/28/2018,0.55,--,181.05%,412.78%,-3.22%,-3.22%,,,,,
1/31/2018,0.57,--,190.39%,429.82%,3.21%,3.21%,,,,,
,,,,,,,,,,,
12/29/2017,0.55,0.00028,181.35%,413.33%,8.50%,8.56%,,,,,
11/30/2017,0.51,0.00047,159.30%,372.86%,-0.62%,-0.53%,,,,,
10/31/2017,0.51,0.00053,160.93%,375.40%,0.01%,0.11%,,,,,
,,,,,,,,,,,
9/29/2017,0.51,--,160.90%,374.86%,-0.86%,-0.86%,,,,,
8/31/2017,0.52,0.00006,163.18%,379.00%,-0.41%,-0.40%,,,,,
7/31/2017,0.52,0.00076,164.26%,380.90%,0.06%,0.21%,,,,,
,,,,,,,,,,,
6/30/2017,0.52,0.00082,164.10%,379.92%,2.38%,2.54%,,,,,
5/31/2017,0.51,0.00442,157.96%,368.02%,1.76%,2.66%,,,,,
4/28/2017,0.5,0.00117,153.50%,355.89%,3.10%,3.34%,,,,,
,,,,,,,,,,,
3/31/2017,0.48,0.00303,145.89%,341.15%,3.97%,4.62%,,,,,
2/28/2017,0.47,--,136.50%,321.67%,2.31%,2.31%,,,,,
1/31/2017,0.45,--,131.17%,312.16%,0.55%,0.55%,,,,,
,,,,,,,,,,,
12/30/2016,0.45,0.00101,129.90%,309.90%,5.01%,5.25%,,,,,
11/30/2016,0.43,--,118.94%,289.47%,-12.86%,-12.86%,,,,,
10/31/2016,0.49,--,151.26%,346.97%,-0.10%,-0.10%,,,,,
,,,,,,,,,,,
9/30/2016,0.49,0.00046,151.52%,347.44%,2.42%,2.52%,,,,,
8/31/2016,0.48,0.0001,145.57%,336.45%,1.09%,1.11%,,,,,
7/29/2016,0.48,0.00002,142.92%,331.66%,5.66%,5.66%,,,,,
,,,,,,,,,,,
6/30/2016,0.45,0.00152,129.92%,308.53%,9.21%,9.59%,,,,,
5/31/2016,0.41,0.0037,110.53%,272.77%,-4.05%,-3.21%,,,,,
4/29/2016,0.43,0.00209,119.42%,285.12%,-2.81%,-2.35%,,,,,
,,,,,,,,,,,
3/31/2016,0.44,0.00114,125.77%,294.40%,3.74%,4.01%,,,,,
2/29/2016,0.43,--,117.63%,279.21%,5.78%,5.78%,,,,,
1/29/2016,0.4,--,105.74%,258.49%,2.85%,2.85%,,,,,
,,,,,,,,,,,
12/31/2015,0.39,0.00034,100.04%,248.55%,4.52%,4.62%,,,,,
11/30/2015,0.38,0.00022,91.38%,233.18%,-0.77%,-0.71%,,,,,
10/30/2015,0.38,--,92.87%,235.57%,15.59%,15.59%,,,,,
,,,,,,,,,,,
9/30/2015,0.33,0.00054,66.85%,190.30%,-13.01%,-12.86%,,,,,
8/31/2015,0.38,--,91.80%,233.13%,-8.91%,-8.91%,,,,,
7/31/2015,0.41,0.00013,110.55%,265.70%,-4.29%,-4.26%,,,,,
,,,,,,,,,,,
6/30/2015,0.43,0.00069,120.00%,281.99%,-7.54%,-7.39%,,,,,
5/29/2015,0.47,0.00271,137.94%,312.49%,2.40%,2.99%,,,,,
4/30/2015,0.46,0.00392,132.37%,300.52%,-10.50%,-9.78%,,,,,
,,,,,,,,,,,
3/31/2015,0.51,0.00236,159.62%,343.94%,1.78%,2.26%,,,,,
2/27/2015,0.5,--,155.09%,334.15%,2.00%,2.00%,,,,,
1/30/2015,0.49,--,150.08%,325.63%,-1.56%,-1.56%,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MXID Index Settings Total Return Analysis,,,,,,,,,,,
Range11/29/1991 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 373 Month Holding Period Chart,,,,,,,,,,,
MSCI Indonesia Index Max Cuml Total Return 456.8318% On 04/29/2022,,,,,,,,,,,
,Date,,Close Price,,Dividends,,Prc Appr,,Total Return,,Period Appr
12/31/2014,0.5,0.00061,154.05%,332.38%,-0.71%,-0.59%,,,,,
11/28/2014,0.5,--,155.88%,334.96%,0.62%,0.62%,,,,,
10/31/2014,0.5,0.00097,154.32%,332.30%,0.17%,0.37%,,,,,
,,,,,,,,,,,
