,,,,,,,,,,,,,
,,,,,,,,,,,,,
MXDE Index Settings Total Return Analysis,,,,,,,,,,,,,
Range01/29/1999 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 287 Month Holding Period Chart,,,,,,,,,,,,,
MSCI Germany Index Max Cuml Total Return 230.1045% On 05/31/2021,,,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,,,
5/31/2019,152.57,3.38314,27.94%,132.98%,-7.98%,-6.02%,,,,,,,
4/30/2019,165.81,0.71068,39.03%,147.91%,6.67%,7.13%,,,,,,,
,,,,,,,,,,,,,
3/29/2019,155.44,0.35185,30.34%,131.41%,-1.69%,-1.47%,,,,,,,
2/28/2019,158.12,0.10761,32.59%,134.86%,1.85%,1.92%,,,,,,,
1/31/2019,155.25,0.44195,30.18%,130.44%,6.09%,6.39%,,,,,,,
,,,,,,,,,,,,,
12/31/2018,146.34,--,22.71%,116.60%,-5.62%,-5.62%,,,,,,,
11/30/2018,155.06,--,30.02%,129.51%,-1.89%,-1.89%,,,,,,,
10/31/2018,158.05,--,32.52%,133.93%,-8.63%,-8.63%,,,,,,,
,,,,,,,,,,,,,
9/28/2018,172.98,0.0057,45.05%,156.03%,-1.37%,-1.36%,,,,,,,
8/31/2018,175.37,--,47.05%,159.56%,-3.40%,-3.40%,,,,,,,
7/31/2018,181.56,--,52.24%,168.71%,4.33%,4.33%,,,,,,,
,,,,,,,,,,,,,
6/29/2018,174.02,0.09269,45.92%,157.56%,-2.38%,-2.33%,,,,,,,
5/31/2018,178.26,3.29271,49.48%,163.70%,-4.98%,-3.28%,,,,,,,
4/30/2018,187.61,1.43896,57.32%,172.63%,1.59%,2.37%,,,,,,,
,,,,,,,,,,,,,
3/30/2018,184.68,--,54.86%,166.32%,-2.04%,-2.04%,,,,,,,
2/28/2018,188.53,0.54037,58.09%,171.87%,-7.01%,-6.76%,,,,,,,
1/31/2018,202.74,0.01036,70.00%,191.57%,5.44%,5.44%,,,,,,,
,,,,,,,,,,,,,
12/29/2017,192.28,--,61.23%,176.51%,0.42%,0.42%,,,,,,,
11/30/2017,191.48,--,60.56%,175.36%,0.94%,0.94%,,,,,,,
10/31/2017,189.71,--,59.07%,172.81%,1.68%,1.68%,,,,,,,
,,,,,,,,,,,,,
9/29/2017,186.57,0.00613,56.44%,168.29%,5.45%,5.46%,,,,,,,
8/31/2017,176.92,--,48.35%,154.41%,0.00%,0.00%,,,,,,,
7/31/2017,176.93,--,48.36%,154.42%,1.94%,1.94%,,,,,,,
,,,,,,,,,,,,,
6/30/2017,173.56,0.35769,45.53%,149.58%,-1.09%,-0.89%,,,,,,,
5/31/2017,175.48,2.7986,47.14%,151.83%,2.98%,4.66%,,,,,,,
4/28/2017,170.4,0.37066,42.88%,140.61%,2.91%,3.14%,,,,,,,
,,,,,,,,,,,,,
3/31/2017,165.57,0.44816,38.84%,133.28%,4.40%,4.68%,,,,,,,
2/28/2017,158.6,0.47581,32.99%,122.85%,0.46%,0.76%,,,,,,,
1/31/2017,157.87,0.00798,32.38%,121.17%,2.90%,2.91%,,,,,,,
,,,,,,,,,,,,,
12/30/2016,153.42,--,28.65%,114.92%,7.06%,7.06%,,,,,,,
11/30/2016,143.31,--,20.17%,100.75%,-3.79%,-3.79%,,,,,,,
10/31/2016,148.95,--,24.90%,108.66%,-1.42%,-1.42%,,,,,,,
,,,,,,,,,,,,,
9/30/2016,151.1,0.00591,26.70%,111.66%,0.12%,0.12%,,,,,,,
8/31/2016,150.92,--,26.55%,111.41%,2.43%,2.43%,,,,,,,
7/29/2016,147.35,0.05955,23.55%,106.40%,7.50%,7.55%,,,,,,,
,,,,,,,,,,,,,
6/30/2016,137.07,0.2614,14.93%,91.92%,-6.17%,-6.00%,,,,,,,
5/31/2016,146.09,2.70469,22.50%,104.18%,-2.19%,-0.37%,,,,,,,
4/29/2016,149.36,0.87639,25.24%,104.94%,0.66%,1.27%,,,,,,,
,,,,,,,,,,,,,
3/31/2016,148.38,--,24.42%,102.37%,9.64%,9.64%,,,,,,,
2/29/2016,135.33,0.08128,13.48%,84.58%,-2.74%,-2.68%,,,,,,,
1/29/2016,139.14,0.41059,16.67%,89.66%,-8.96%,-8.69%,,,,,,,
,,,,,,,,,,,,,
12/31/2015,152.83,--,28.15%,107.71%,-2.61%,-2.61%,,,,,,,
11/30/2015,156.92,--,31.58%,113.27%,0.25%,0.25%,,,,,,,
10/30/2015,156.52,0.01054,31.24%,112.73%,10.14%,10.14%,,,,,,,
,,,,,,,,,,,,,
9/30/2015,142.12,0.00593,19.17%,93.14%,-6.01%,-6.01%,,,,,,,
8/31/2015,151.21,--,26.79%,105.49%,-7.13%,-7.13%,,,,,,,
7/31/2015,162.82,--,36.53%,121.26%,2.16%,2.16%,,,,,,,
,,,,,,,,,,,,,
6/30/2015,159.37,0.05298,33.63%,116.58%,-2.62%,-2.59%,,,,,,,
5/29/2015,163.66,2.98711,37.23%,122.33%,-4.10%,-2.40%,,,,,,,
4/30/2015,170.65,0.76585,43.09%,127.81%,-0.38%,0.07%,,,,,,,
,,,,,,,,,,,,,
3/31/2015,171.29,--,43.63%,127.65%,0.39%,0.39%,,,,,,,
2/27/2015,170.63,0.07534,43.08%,126.78%,5.80%,5.84%,,,,,,,
1/30/2015,161.28,0.41339,35.24%,114.26%,1.62%,1.88%,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MXDE Index Settings Total Return Analysis,,,,,,,,,,,,,
Range01/29/1999 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 287 Month Holding Period Chart,,,,,,,,,,,,,
MSCI Germany Index Max Cuml Total Return 230.1045% On 05/31/2021,,,,,,,,,,,,,
,Date,,Close Price,,Dividends,,Prc Appr,,Total Return,,Period Appr,,Period Return
12/31/2014,158.72,--,33.09%,110.31%,-4.18%,-4.18%,,,,,,,
11/28/2014,165.64,--,38.89%,119.49%,6.08%,6.08%,,,,,,,
10/31/2014,156.15,--,30.93%,106.90%,-1.98%,-1.98%,,,,,,,
,,,,,,,,,,,,,
9/30/2014,159.3,0.01432,33.58%,111.09%,-4.03%,-4.02%,,,,,,,
8/29/2014,166,--,39.19%,119.94%,-1.14%,-1.14%,,,,,,,
7/31/2014,167.9,0.0029,40.79%,122.46%,-6.40%,-6.39%,,,,,,,
,,,,,,,,,,,,,
6/30/2014,179.37,0.11484,50.41%,137.66%,-0.68%,-0.62%,,,,,,,
5/30/2014,180.61,3.15499,51.44%,139.14%,0.06%,1.85%,,,,,,,
4/30/2014,180.5,1.07385,51.35%,134.80%,0.49%,1.10%,,,,,,,
,,,,,,,,,,,,,
3/31/2014,179.61,--,50.61%,132.25%,-1.79%,-1.79%,,,,,,,
2/28/2014,182.89,0.02552,53.36%,136.49%,6.51%,6.52%,,,,,,,
1/31/2014,171.72,0.46667,43.99%,122.02%,-5.05%,-4.80%,,,,,,,
,,,,,,,,,,,,,
12/31/2013,180.85,--,51.65%,133.21%,3.08%,3.08%,,,,,,,
11/29/2013,175.45,--,47.12%,126.24%,4.00%,4.00%,,,,,,,
10/31/2013,168.71,0.01094,41.47%,117.54%,5.78%,5.79%,,,,,,,
,,,,,,,,,,,,,
9/30/2013,159.49,--,33.74%,105.65%,8.47%,8.47%,,,,,,,
8/30/2013,147.03,0.01416,23.29%,89.58%,-2.45%,-2.44%,,,,,,,
7/31/2013,150.73,0.13458,26.39%,94.32%,6.43%,6.52%,,,,,,,
,,,,,,,,,,,,,
6/28/2013,141.62,0.18783,18.75%,82.42%,-4.25%,-4.12%,,,,,,,
5/31/2013,147.9,2.13726,24.02%,90.27%,2.23%,3.72%,,,,,,,
4/30/2013,144.67,1.82659,21.31%,83.45%,2.89%,4.22%,,,,,,,
,,,,,,,,,,,,,
3/29/2013,140.6,0.0248,17.90%,76.02%,-1.30%,-1.28%,,,,,,,
2/28/2013,142.46,--,19.45%,78.31%,-3.92%,-3.92%,,,,,,,
1/31/2013,148.27,0.4853,24.33%,85.59%,5.08%,5.43%,,,,,,,
,,,,,,,,,,,,,
12/31/2012,141.1,--,18.32%,76.03%,4.16%,4.16%,,,,,,,
11/30/2012,135.47,--,13.59%,69.00%,2.48%,2.48%,,,,,,,
10/31/2012,132.19,0.02541,10.84%,64.91%,1.65%,1.67%,,,,,,,
,,,,,,,,,,,,,
9/28/2012,130.04,--,9.04%,62.20%,6.02%,6.02%,,,,,,,
8/31/2012,122.66,--,2.85%,52.99%,5.00%,5.00%,,,,,,,
7/31/2012,116.82,0.00835,-2.04%,45.71%,2.75%,2.76%,,,,,,,
,,,,,,,,,,,,,
6/29/2012,113.69,0.17225,-4.67%,41.79%,4.35%,4.52%,,,,,,,
5/31/2012,108.95,2.04374,-8.64%,35.66%,-14.84%,-13.34%,,,,,,,
4/30/2012,127.93,1.80233,7.27%,56.54%,-4.32%,-2.97%,,,,,,,
,,,,,,,,,,,,,
3/30/2012,133.71,0.0254,12.12%,61.33%,1.14%,1.16%,,,,,,,
2/29/2012,132.21,--,10.86%,59.49%,8.40%,8.40%,,,,,,,
1/31/2012,121.96,0.51276,2.27%,47.13%,10.24%,10.70%,,,,,,,
,,,,,,,,,,,,,
12/30/2011,110.64,--,-7.23%,32.90%,-6.61%,-6.61%,,,,,,,
11/30/2011,118.47,--,-0.66%,42.31%,-4.28%,-4.28%,,,,,,,
10/31/2011,123.77,--,3.78%,48.68%,15.81%,15.81%,,,,,,,
,,,,,,,,,,,,,
9/30/2011,106.87,--,-10.39%,28.38%,-11.68%,-11.68%,,,,,,,
8/31/2011,121.01,--,1.47%,45.36%,-18.58%,-18.58%,,,,,,,
7/29/2011,148.62,0.0267,24.62%,78.53%,-3.90%,-3.89%,,,,,,,
,,,,,,,,,,,,,
6/30/2011,154.66,0.08126,29.68%,85.75%,2.08%,2.14%,,,,,,,
5/31/2011,151.51,3.20611,27.04%,81.87%,-7.72%,-5.80%,,,,,,,
4/29/2011,164.19,1.09177,37.68%,93.05%,10.51%,11.29%,,,,,,,
,,,,,,,,,,,,,
3/31/2011,148.58,--,24.58%,73.47%,-0.28%,-0.28%,,,,,,,
2/28/2011,148.99,0.02256,24.93%,73.96%,3.43%,3.44%,,,,,,,
1/31/2011,144.06,0.49312,20.80%,68.17%,4.31%,4.67%,,,,,,,
,,,,,,,,,,,,,
12/31/2010,138.1,0.00175,15.80%,60.67%,6.43%,6.43%,,,,,,,
11/30/2010,129.76,--,8.81%,50.97%,-5.04%,-5.04%,,,,,,,
10/29/2010,136.65,--,14.58%,58.98%,8.19%,8.19%,,,,,,,
,,,,,,,,,,,,,
9/30/2010,126.3,--,5.91%,46.94%,13.17%,13.17%,,,,,,,
8/31/2010,111.6,--,-6.42%,29.84%,-6.22%,-6.22%,,,,,,,
7/30/2010,119.01,0.00598,-0.21%,38.46%,9.59%,9.59%,,,,,,,
,,,,,,,,,,,,,
6/30/2010,108.6,0.10003,-8.94%,26.34%,-0.43%,-0.33%,,,,,,,
5/31/2010,109.07,2.0266,-8.55%,26.76%,-11.66%,-10.07%,,,,,,,
4/30/2010,123.46,1.15177,3.52%,40.96%,-2.83%,-1.93%,,,,,,,
,,,,,,,,,,,,,
3/31/2010,127.06,--,6.54%,43.74%,9.42%,9.42%,,,,,,,
2/26/2010,116.12,0.00096,-2.64%,31.36%,-2.47%,-2.47%,,,,,,,
1/29/2010,119.06,0.31505,-0.16%,34.69%,-8.83%,-8.59%,,,,,,,
,,,,,,,,,,,,,
12/31/2009,130.59,--,9.51%,47.35%,1.35%,1.35%,,,,,,,
11/30/2009,128.86,--,8.05%,45.40%,5.01%,5.01%,,,,,,,
10/30/2009,122.71,--,2.90%,38.46%,-4.27%,-4.27%,,,,,,,
,,,,,,,,,,,,,
9/30/2009,128.19,--,7.49%,44.64%,6.09%,6.09%,,,,,,,
8/31/2009,120.83,--,1.32%,36.34%,3.63%,3.63%,,,,,,,
7/31/2009,116.6,0.0061,-2.23%,31.56%,12.10%,12.11%,,,,,,,
,,,,,,,,,,,,,
6/30/2009,104.01,0.00555,-12.78%,17.36%,-3.03%,-3.03%,,,,,,,
5/29/2009,107.26,2.26681,-10.06%,21.02%,7.91%,10.33%,,,,,,,
4/30/2009,99.4,1.47225,-16.65%,9.68%,15.44%,17.23%,,,,,,,
,,,,,,,,,,,,,
3/31/2009,86.11,--,-27.80%,-6.44%,10.07%,10.07%,,,,,,,
2/27/2009,78.23,0.04827,-34.40%,-14.99%,-12.55%,-12.51%,,,,,,,
1/30/2009,89.46,0.39053,-24.98%,-2.84%,-17.31%,-16.97%,,,,,,,
,,,,,,,,,,,,,
12/31/2008,108.18,--,-9.29%,17.01%,13.09%,13.09%,,,,,,,
11/28/2008,95.66,--,-19.79%,3.47%,-9.15%,-9.15%,,,,,,,
10/31/2008,105.3,--,-11.70%,13.89%,-22.81%,-22.81%,,,,,,,
,,,,,,,,,,,,,
9/30/2008,136.41,--,14.39%,47.54%,-13.90%,-13.90%,,,,,,,
8/29/2008,158.44,--,32.85%,71.36%,-6.56%,-6.56%,,,,,,,
7/31/2008,169.56,--,42.18%,83.39%,-1.00%,-1.00%,,,,,,,
,,,,,,,,,,,,,
6/30/2008,171.27,0.18601,43.61%,85.24%,-8.14%,-8.05%,,,,,,,
5/30/2008,186.45,3.101,56.34%,101.45%,0.25%,1.92%,,,,,,,
4/30/2008,185.99,2.21781,55.95%,97.67%,3.65%,4.90%,,,,,,,
,,,,,,,,,,,,,
3/31/2008,179.43,0.05516,50.46%,88.43%,0.87%,0.91%,,,,,,,
2/29/2008,177.88,--,49.15%,86.74%,0.98%,0.98%,,,,,,,
1/31/2008,176.15,0.47184,47.70%,84.93%,-13.55%,-13.31%,,,,,,,
,,,,,,,,,,,,,
12/31/2007,203.75,--,70.85%,113.32%,1.25%,1.25%,,,,,,,
11/30/2007,201.24,--,68.74%,110.69%,-1.06%,-1.06%,,,,,,,
10/31/2007,203.39,--,70.55%,112.95%,4.54%,4.54%,,,,,,,
,,,,,,,,,,,,,
9/28/2007,194.57,--,63.15%,103.71%,7.51%,7.51%,,,,,,,
8/31/2007,180.98,--,51.76%,89.48%,0.16%,0.16%,,,,,,,
7/31/2007,180.69,0.03617,51.52%,89.18%,-3.86%,-3.84%,,,,,,,
,,,,,,,,,,,,,
6/29/2007,187.95,0.04277,57.60%,96.74%,2.18%,2.20%,,,,,,,
5/31/2007,183.95,2.39185,54.24%,92.50%,2.85%,4.24%,,,,,,,
4/30/2007,178.85,1.61629,49.97%,84.68%,8.35%,9.35%,,,,,,,
,,,,,,,,,,,,,
3/30/2007,165.07,0.00735,38.41%,68.89%,4.70%,4.70%,,,,,,,
2/28/2007,157.66,--,32.20%,61.31%,0.94%,0.94%,,,,,,,
1/31/2007,156.2,0.35546,30.97%,59.81%,1.31%,1.55%,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
12/29/2006,154.17,--,29.28%,57.37%,4.16%,4.16%,,,,,,,
11/30/2006,148.02,--,24.12%,51.09%,4.54%,4.54%,,,,,,,
10/31/2006,141.59,--,18.73%,44.53%,4.91%,4.91%,,,,,,,
,,,,,,,,,,,,,
9/29/2006,134.97,--,13.17%,37.77%,1.70%,1.70%,,,,,,,
8/31/2006,132.71,0.01445,11.28%,35.47%,3.55%,3.56%,,,,,,,
7/31/2006,128.16,0.02484,7.47%,30.81%,-0.32%,-0.30%,,,,,,,
,,,,,,,,,,,,,
6/30/2006,128.57,0.28963,7.81%,31.20%,-1.06%,-0.84%,,,,,,,
5/31/2006,129.95,2.5017,8.96%,32.31%,-5.76%,-4.05%,,,,,,,
4/28/2006,137.89,0.65136,15.63%,37.89%,4.45%,4.96%,,,,,,,
,,,,,,,,,,,,,
3/31/2006,132.02,0.00671,10.70%,31.37%,4.72%,4.73%,,,,,,,
2/28/2006,126.07,0.00809,5.71%,25.44%,0.26%,0.27%,,,,,,,
1/31/2006,125.74,0.28609,5.44%,25.11%,8.17%,8.42%,,,,,,,
,,,,,,,,,,,,,
12/30/2005,116.24,--,-2.53%,15.39%,4.47%,4.47%,,,,,,,
11/30/2005,111.27,--,-6.70%,10.46%,3.42%,3.42%,,,,,,,
