,,,,,,,,,
,,,,,,,,,
MXAU Index Settings Total Return Analysis,,,,,,,,,
Range01/29/1971 -12/30/2022 Period Monthly Currency USD,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 623 Month Holding Period Chart,,,,,,,,,
MSCI Australia Index Max Cuml Total Return 5776.9285% On 03/31/2022,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,
10/31/2018,830.77,0.36856,860.55%,3536.51%,-7.80%,-7.76%,,,
,,,,,,,,,
9/28/2018,901.07,6.31805,941.83%,3842.49%,-1.24%,-0.54%,,,
8/31/2018,912.38,10.79959,954.90%,3863.69%,-3.23%,-2.10%,,,
7/31/2018,942.86,--,990.14%,3948.67%,2.19%,2.19%,,,
,,,,,,,,,
6/29/2018,922.68,2.0535,966.81%,3862.02%,1.16%,1.39%,,,
5/31/2018,912.1,9.14671,954.58%,3807.88%,0.73%,1.74%,,,
4/30/2018,905.47,0.22155,946.92%,3741.23%,2.20%,2.23%,,,
,,,,,,,,,
3/30/2018,885.97,6.54285,924.38%,3657.58%,-5.84%,-5.18%,,,
2/28/2018,940.95,9.63645,987.94%,3862.71%,-3.67%,-2.67%,,,
1/31/2018,976.77,--,1029.36%,3971.53%,2.51%,2.51%,,,
,,,,,,,,,
12/29/2017,952.83,2.20648,1001.68%,3871.73%,4.86%,5.10%,,,
11/30/2017,908.66,9.08284,950.61%,3678.83%,-0.48%,0.49%,,,
10/31/2017,913.07,0.07464,955.71%,3660.28%,1.41%,1.42%,,,
,,,,,,,,,
9/29/2017,900.34,6.64705,940.99%,3607.55%,-1.59%,-0.88%,,,
8/31/2017,914.91,10.16444,957.84%,3640.50%,-1.00%,0.11%,,,
7/31/2017,924.12,--,968.48%,3636.55%,4.30%,4.30%,,,
,,,,,,,,,
6/30/2017,886.03,1.97329,924.44%,3482.54%,2.92%,3.15%,,,
5/31/2017,860.87,8.88441,895.35%,3373.19%,-4.75%,-3.78%,,,
4/28/2017,903.84,0.28097,945.03%,3509.77%,-0.93%,-0.90%,,,
,,,,,,,,,
3/31/2017,912.31,6.25228,954.83%,3542.48%,2.43%,3.15%,,,
2/28/2017,890.69,8.42793,929.83%,3431.13%,3.22%,4.18%,,,
1/31/2017,862.93,--,897.74%,3289.39%,4.32%,4.32%,,,
,,,,,,,,,
12/30/2016,827.22,1.832,856.44%,3149.11%,1.95%,2.17%,,,
11/30/2016,811.43,8.76094,838.19%,3080.09%,-0.33%,0.75%,,,
10/31/2016,814.11,0.26464,841.29%,3056.34%,-2.30%,-2.27%,,,
,,,,,,,,,
9/30/2016,833.27,3.91142,863.45%,3129.59%,2.15%,2.64%,,,
8/31/2016,815.77,9.096,843.21%,3046.66%,-3.12%,-2.07%,,,
7/29/2016,842.07,--,873.61%,3113.08%,7.96%,7.96%,,,
,,,,,,,,,
6/30/2016,780.01,1.8832,801.86%,2876.28%,0.05%,0.29%,,,
5/31/2016,779.64,8.52134,801.43%,2867.57%,-2.92%,-1.87%,,,
4/29/2016,803.08,0.30321,828.54%,2923.98%,2.73%,2.77%,,,
,,,,,,,,,
3/31/2016,781.71,4.49626,803.82%,2842.34%,11.74%,12.42%,,,
2/29/2016,699.56,8.18524,708.85%,2517.39%,-1.74%,-0.59%,,,
1/29/2016,711.94,--,723.15%,2532.94%,-8.63%,-8.63%,,,
,,,,,,,,,
12/31/2015,779.15,1.6826,800.86%,2781.51%,3.27%,3.49%,,,
11/30/2015,754.49,8.66598,772.35%,2684.26%,-0.29%,0.88%,,,
10/30/2015,756.67,0.21006,774.88%,2659.86%,6.06%,6.09%,,,
,,,,,,,,,
9/30/2015,713.46,6.17314,724.92%,2501.54%,-5.30%,-4.50%,,,
8/31/2015,753.37,9.99589,771.06%,2624.12%,-11.48%,-10.34%,,,
7/31/2015,851.11,--,884.07%,2938.29%,-0.91%,-0.91%,,,
,,,,,,,,,
6/30/2015,858.93,1.83151,893.10%,2966.20%,-4.49%,-4.29%,,,
5/29/2015,899.3,9.30997,939.79%,3103.55%,-3.58%,-2.61%,,,
4/30/2015,932.71,0.2109,978.41%,3189.44%,1.55%,1.58%,,,
,,,,,,,,,
3/31/2015,918.43,7.12408,961.90%,3138.35%,-3.06%,-2.31%,,,
2/27/2015,947.41,9.68862,995.42%,3214.82%,6.93%,8.03%,,,
1/30/2015,886.01,--,924.42%,2968.33%,-1.86%,-1.86%,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
MXAU Index Settings Total Return Analysis,,,,,,,,,
Range01/29/1971 -12/30/2022 Period Monthly Currency USD,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 623 Month Holding Period Chart,,,,,,,,,
MSCI Australia Index Max Cuml Total Return 5776.9285% On 03/31/2022,,,,,,,,,
,Date,,Close Price,,Dividends,,Prc Appr,,Total Return
12/31/2014,902.84,1.98728,943.87%,3026.59%,-2.39%,-2.17%,,,
11/28/2014,924.9,10.44404,969.38%,3096.00%,-7.32%,-6.33%,,,
10/31/2014,997.93,0.06844,1053.82%,3311.81%,5.46%,5.47%,,,
,,,,,,,,,
9/30/2014,946.24,8.00789,994.06%,3134.86%,-11.90%,-11.23%,,,
8/29/2014,1074.03,11.4976,1141.81%,3544.30%,0.14%,1.22%,,,
7/31/2014,1072.54,--,1140.09%,3500.49%,3.01%,3.01%,,,
,,,,,,,,,
6/30/2014,1041.22,2.92219,1103.87%,3395.33%,-0.51%,-0.23%,,,
5/30/2014,1046.52,10.52839,1110.00%,3403.35%,0.21%,1.21%,,,
4/30/2014,1044.36,0.24864,1107.50%,3361.44%,1.95%,1.98%,,,
,,,,,,,,,
3/31/2014,1024.37,6.44869,1084.39%,3294.38%,3.75%,4.43%,,,
2/28/2014,987.34,10.60034,1041.57%,3150.41%,6.38%,7.52%,,,
