,,,,,,,,,,,,,
,,,,,,,,,,,,,
MXJP Index Settings Total Return Analysis,,,,,,,,,,,,,
Range01/29/1971 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 623 Month Holding Period Chart,,,,,,,,,,,,,
MSCI Japan Index Max Cuml Total Return 6808.9577% On 09/30/2021,,,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,,,
8/29/2008,7.29,0.00135,2840.15%,3274.15%,-4.31%,-4.30%,,,,,,,
7/31/2008,7.62,0.00025,2972.69%,3425.59%,-3.15%,-3.15%,,,,,,,
,,,,,,,,,,,,,
6/30/2008,7.87,0.00515,3072.58%,3540.08%,-7.08%,-7.01%,,,,,,,
5/30/2008,8.47,0.00016,3314.14%,3814.67%,2.41%,2.41%,,,,,,,
4/30/2008,8.27,0.00015,3233.86%,3722.55%,7.74%,7.74%,,,,,,,
,,,,,,,,,,,,,
3/31/2008,7.68,0.07569,2994.29%,3447.80%,-5.09%,-4.18%,,,,,,,
2/29/2008,8.09,0.00192,3160.17%,3602.46%,0.67%,0.69%,,,,,,,
1/31/2008,8.03,0.00026,3138.50%,3576.98%,-4.61%,-4.61%,,,,,,,
,,,,,,,,,,,,,
12/31/2007,8.42,0.00551,3295.15%,3754.70%,-4.12%,-4.06%,,,,,,,
11/30/2007,8.79,0.00017,3441.17%,3917.84%,-1.88%,-1.88%,,,,,,,
10/31/2007,8.95,0.00182,3509.08%,3994.81%,-0.51%,-0.49%,,,,,,,
,,,,,,,,,,,,,
9/28/2007,9,0.04813,3527.61%,4014.99%,2.00%,2.56%,,,,,,,
8/31/2007,8.82,0.00131,3456.47%,3912.21%,-2.83%,-2.82%,,,,,,,
7/31/2007,9.08,0.00024,3560.08%,4028.48%,-0.53%,-0.52%,,,,,,,
,,,,,,,,,,,,,
6/29/2007,9.13,0.00427,3579.44%,4050.22%,-0.11%,-0.07%,,,,,,,
5/31/2007,9.14,0.00016,3583.64%,4053.00%,1.51%,1.51%,,,,,,,
4/30/2007,9,0.00014,3528.89%,3991.20%,-2.28%,-2.28%,,,,,,,
,,,,,,,,,,,,,
3/30/2007,9.21,0.05765,3613.57%,4086.60%,-1.51%,-0.89%,,,,,,,
2/28/2007,9.35,0.00167,3670.42%,4124.40%,4.05%,4.06%,,,,,,,
1/31/2007,8.99,0.00021,3523.83%,3959.43%,0.82%,0.82%,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
