,,,,,,,,,
,,,,,,,,,
MXUS Index Settings Total Return Analysis,,,,,,,,,
Range12/31/1969 -12/30/2022 Period Monthly Currency USD,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 636 Month Holding Period Chart,,,,,,,,,
MSCI USA Price Return USD Index Max Cuml Total Return 7537.8452% On 12/31/2021,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,
10/31/2001,1003.34,0.94796,903.34%,1022.63%,1.36%,1.45%,,,
,,,,,,,,,
9/28/2001,989.92,1.03321,889.92%,1006.58%,-7.74%,-7.65%,,,
8/31/2001,1073,1.69638,973.00%,1098.22%,-6.79%,-6.65%,,,
7/31/2001,1151.13,1.08476,1051.13%,1183.52%,-1.03%,-0.94%,,,
,,,,,,,,,
6/29/2001,1163.14,0.76899,1063.14%,1195.68%,-2.35%,-2.29%,,,
5/31/2001,1191.16,1.80808,1091.16%,1226.03%,0.45%,0.60%,,,
4/30/2001,1185.82,0.99,1085.82%,1218.09%,7.69%,7.79%,,,
,,,,,,,,,
3/30/2001,1101.1,1.06281,1001.10%,1122.82%,-6.46%,-6.38%,,,
2/28/2001,1177.2,1.61889,1077.20%,1206.12%,-9.05%,-8.94%,,,
1/31/2001,1294.4,1.07307,1194.40%,1334.28%,3.56%,3.65%,,,
,,,,,,,,,
12/29/2000,1249.86,1.08539,1149.86%,1283.74%,-0.26%,-0.17%,,,
11/30/2000,1253.1,1.80979,1153.10%,1286.15%,-7.99%,-7.87%,,,
10/31/2000,1361.95,1.00199,1261.95%,1404.48%,-0.81%,-0.73%,,,
,,,,,,,,,
9/29/2000,1373.02,1.0721,1273.02%,1415.58%,-5.53%,-5.45%,,,
8/31/2000,1453.34,1.90598,1353.34%,1503.00%,5.10%,5.24%,,,
7/31/2000,1382.78,1.15231,1282.78%,1423.14%,-1.88%,-1.80%,,,
,,,,,,,,,
6/30/2000,1409.31,0.96624,1309.31%,1451.10%,2.30%,2.37%,,,
5/31/2000,1377.57,1.78568,1277.57%,1415.13%,-2.74%,-2.61%,,,
4/28/2000,1416.34,1.07057,1316.34%,1455.75%,-3.32%,-3.25%,,,
,,,,,,,,,
3/31/2000,1465.05,1.43771,1365.05%,1508.06%,9.88%,10.00%,,,
2/29/2000,1333.28,1.64791,1233.28%,1361.90%,-2.47%,-2.36%,,,
1/31/2000,1367.1,0.96127,1267.10%,1397.17%,-5.45%,-5.38%,,,
,,,,,,,,,
12/31/1999,1445.86,1.39162,1345.86%,1482.32%,6.88%,6.98%,,,
11/30/1999,1352.84,1.66395,1252.84%,1379.05%,2.04%,2.17%,,,
10/29/1999,1325.74,0.87115,1225.74%,1347.63%,6.43%,6.51%,,,
,,,,,,,,,
9/30/1999,1245.59,1.64578,1145.59%,1259.18%,-3.07%,-2.95%,,,
8/31/1999,1285.06,1.63935,1185.06%,1300.45%,-0.74%,-0.61%,,,
7/30/1999,1294.61,1.04954,1194.61%,1309.06%,-3.34%,-3.27%,,,
,,,,,,,,,
6/30/1999,1339.36,1.40763,1239.36%,1356.63%,5.27%,5.39%,,,
5/31/1999,1272.25,1.60481,1172.25%,1282.13%,-2.43%,-2.31%,,,
4/30/1999,1303.92,0.84273,1203.92%,1314.79%,3.51%,3.58%,,,
,,,,,,,,,
3/31/1999,1259.66,1.55035,1159.66%,1265.89%,4.05%,4.18%,,,
2/26/1999,1210.63,1.59477,1110.63%,1211.09%,-2.90%,-2.77%,,,
1/29/1999,1246.75,0.87086,1146.75%,1248.43%,4.21%,4.29%,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
MXUS Index Settings Total Return Analysis,,,,,,,,,
Range12/31/1969 -12/30/2022 Period Monthly Currency USD,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 636 Month Holding Period Chart,,,,,,,,,
MSCI USA Price Return USD Index Max Cuml Total Return 7537.8452% On 12/31/2021,,,,,,,,,
,Date,,Close Price,,Dividends,,Prc Appr,,Total Return
12/31/1998,1196.34,1.40203,1096.34%,1192.99%,5.80%,5.93%,,,
11/30/1998,1130.79,1.60475,1030.79%,1120.67%,6.68%,6.84%,,,
10/30/1998,1059.96,0.85344,959.96%,1042.55%,7.62%,7.71%,,,
,,,,,,,,,
9/30/1998,984.9,1.43529,884.90%,960.72%,6.45%,6.60%,,,
8/31/1998,925.24,1.52809,825.24%,895.01%,-14.03%,-13.90%,,,
7/31/1998,1076.19,1.01625,976.19%,1055.64%,-1.09%,-1.00%,,,
,,,,,,,,,
6/30/1998,1088.09,1.26454,988.09%,1067.35%,4.19%,4.31%,,,
5/29/1998,1044.33,1.52129,944.33%,1019.06%,-2.11%,-1.97%,,,
4/30/1998,1066.85,0.93563,966.85%,1041.56%,1.07%,1.16%,,,
,,,,,,,,,
3/31/1998,1055.59,1.29165,955.59%,1028.51%,5.07%,5.21%,,,
2/27/1998,1004.61,1.62175,904.61%,972.65%,6.90%,7.07%,,,
1/30/1998,939.79,0.71648,839.79%,901.78%,1.17%,1.25%,,,
,,,,,,,,,
12/31/1997,928.91,1.39445,828.91%,889.42%,1.36%,1.51%,,,
11/28/1997,916.45,1.50045,816.45%,874.67%,4.72%,4.90%,,,
10/31/1997,875.15,0.92394,775.15%,829.19%,-2.85%,-2.75%,,,
,,,,,,,,,
9/30/1997,900.78,1.26309,800.78%,855.43%,5.10%,5.25%,,,
8/29/1997,857.1,1.35649,757.10%,807.80%,-6.05%,-5.91%,,,
7/31/1997,912.32,1.10343,812.32%,864.81%,7.78%,7.92%,,,
,,,,,,,,,
6/30/1997,846.46,1.17016,746.46%,794.04%,4.43%,4.57%,,,
5/30/1997,810.58,1.51995,710.58%,754.94%,5.52%,5.72%,,,
4/30/1997,768.16,0.78774,668.16%,708.65%,6.44%,6.55%,,,
,,,,,,,,,
3/31/1997,721.7,1.35523,621.70%,658.93%,-4.62%,-4.45%,,,
2/28/1997,756.64,1.4813,656.64%,694.25%,0.56%,0.76%,,,
1/31/1997,752.4,0.70219,652.40%,688.27%,6.70%,6.80%,,,
,,,,,,,,,
12/31/1996,705.16,1.32429,605.16%,638.06%,-2.04%,-1.86%,,,
11/29/1996,719.85,1.46735,619.85%,652.03%,7.40%,7.63%,,,
10/31/1996,670.23,0.87088,570.23%,598.72%,2.40%,2.53%,,,
,,,,,,,,,
9/30/1996,654.55,1.20872,554.55%,581.48%,5.43%,5.63%,,,
8/30/1996,620.83,1.46219,520.83%,545.15%,2.07%,2.30%,,,
7/31/1996,608.26,0.96088,508.26%,530.62%,-4.56%,-4.42%,,,
,,,,,,,,,
6/28/1996,637.35,1.06247,537.35%,559.75%,0.43%,0.59%,,,
5/31/1996,634.65,1.52461,534.65%,555.86%,2.50%,2.75%,,,
4/30/1996,619.16,0.73612,519.16%,538.29%,1.31%,1.43%,,,
,,,,,,,,,
3/29/1996,611.16,1.13112,511.16%,529.28%,0.84%,1.03%,,,
2/29/1996,606.04,1.44753,506.04%,522.86%,0.87%,1.11%,,,
1/31/1996,600.8,0.71127,500.80%,516.02%,3.40%,3.52%,,,
,,,,,,,,,
12/29/1995,581.07,1.08329,481.07%,495.07%,1.34%,1.53%,,,
11/30/1995,573.39,1.556,473.39%,486.11%,4.22%,4.50%,,,
10/31/1995,550.19,0.73198,450.19%,460.85%,-0.22%,-0.09%,,,
,,,,,,,,,
9/29/1995,551.43,1.04662,451.43%,461.36%,4.30%,4.50%,,,
8/31/1995,528.69,1.49779,428.69%,437.18%,-0.18%,0.11%,,,
7/31/1995,529.62,0.65592,429.62%,436.60%,3.21%,3.34%,,,
,,,,,,,,,
6/30/1995,513.16,1.06668,413.16%,419.27%,2.27%,2.48%,,,
5/31/1995,501.77,1.46875,401.77%,406.68%,3.71%,4.02%,,,
4/28/1995,483.84,0.65696,383.84%,387.12%,2.94%,3.08%,,,
,,,,,,,,,
3/31/1995,470.04,1.04837,370.04%,372.57%,2.47%,2.71%,,,
2/28/1995,458.69,1.27552,358.69%,360.11%,3.73%,4.02%,,,
1/31/1995,442.21,0.12502,342.21%,342.34%,2.54%,2.57%,,,
,,,,,,,,,
12/30/1994,431.26,--,331.26%,331.26%,1.24%,1.24%,,,
11/30/1994,425.96,--,325.96%,325.96%,-3.63%,-3.63%,,,
10/31/1994,442,--,342.00%,342.00%,2.08%,2.08%,,,
,,,,,,,,,
9/30/1994,433,--,333.00%,333.00%,-2.33%,-2.33%,,,
8/31/1994,443.32,--,343.32%,343.32%,3.72%,3.72%,,,
7/29/1994,427.44,--,327.44%,327.44%,3.15%,3.15%,,,
,,,,,,,,,
6/30/1994,414.39,--,314.39%,314.39%,-3.03%,-3.03%,,,
5/31/1994,427.35,--,327.35%,327.35%,1.44%,1.44%,,,
4/29/1994,421.3,--,321.30%,321.30%,1.19%,1.19%,,,
,,,,,,,,,
3/31/1994,416.33,--,316.33%,316.33%,-4.56%,-4.56%,,,
