,,,,,,,,,,,
,,,,,,,,,,,
MXKR Index Settings Total Return Analysis,,,,,,,,,,,
Range12/31/1987 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 420 Month Holding Period Chart,,,,,,,,,,,
MSCI Korea Index Max Cuml Total Return 1013.0947% On 06/30/2021,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,
7/31/2000,0.16,0.00001,27.91%,35.99%,-16.09%,-16.09%,,,,,
,,,,,,,,,,,
6/30/2000,0.19,0.00017,52.44%,62.06%,13.86%,13.97%,,,,,
5/31/2000,0.17,--,33.88%,42.20%,-1.54%,-1.54%,,,,,
4/28/2000,0.17,--,35.97%,44.42%,-11.49%,-11.49%,,,,,
,,,,,,,,,,,
3/31/2000,0.19,0.0005,53.62%,63.16%,11.54%,11.82%,,,,,
2/29/2000,0.17,--,37.73%,45.92%,-14.28%,-14.28%,,,,,
1/31/2000,0.2,0.00226,60.68%,70.23%,1.37%,2.42%,,,,,
,,,,,,,,,,,
12/31/1999,0.2,--,58.51%,66.21%,-3.37%,-3.37%,,,,,
11/30/1999,0.21,--,64.04%,72.01%,21.82%,21.82%,,,,,
10/29/1999,0.17,--,34.66%,41.19%,1.22%,1.22%,,,,,
,,,,,,,,,,,
9/30/1999,0.17,--,33.03%,39.49%,-14.76%,-14.76%,,,,,
8/31/1999,0.2,--,56.06%,63.64%,1.90%,1.90%,,,,,
7/30/1999,0.19,--,53.15%,60.59%,4.00%,4.00%,,,,,
,,,,,,,,,,,
6/30/1999,0.19,0.00012,47.26%,54.41%,29.63%,29.72%,,,,,
5/31/1999,0.14,--,13.60%,19.04%,-0.92%,-0.92%,,,,,
4/30/1999,0.14,--,14.65%,20.14%,28.01%,28.01%,,,,,
,,,,,,,,,,,
3/31/1999,0.11,0.0002,-10.43%,-6.15%,16.67%,16.88%,,,,,
2/26/1999,0.1,--,-23.23%,-19.70%,-11.25%,-11.25%,,,,,
1/29/1999,0.11,0.00132,-13.50%,-9.52%,3.39%,4.61%,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MXKR Index Settings Total Return Analysis,,,,,,,,,,,
Range12/31/1987 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 420 Month Holding Period Chart,,,,,,,,,,,
MSCI Korea Index Max Cuml Total Return 1013.0947% On 06/30/2021,,,,,,,,,,,
,Date,,Close Price,,Dividends,,Prc Appr,,Total Return,,Period Appr
12/31/1998,0.11,--,-16.34%,-13.51%,37.00%,37.00%,,,,,
11/30/1998,0.08,--,-38.93%,-36.87%,18.69%,18.69%,,,,,
10/30/1998,0.06,--,-48.55%,-46.81%,31.82%,31.82%,,,,,
,,,,,,,,,,,
9/30/1998,0.05,--,-60.97%,-59.65%,-2.55%,-2.55%,,,,,
8/31/1998,0.05,--,-59.95%,-58.59%,-16.47%,-16.47%,,,,,
7/31/1998,0.06,--,-52.05%,-50.43%,30.80%,30.80%,,,,,
,,,,,,,,,,,
6/30/1998,0.05,0.00001,-63.34%,-62.10%,-9.58%,-9.55%,,,,,
5/29/1998,0.05,--,-59.46%,-58.10%,-24.95%,-24.95%,,,,,
4/30/1998,0.07,--,-45.98%,-44.16%,-3.26%,-3.26%,,,,,
,,,,,,,,,,,
3/31/1998,0.07,0.00002,-44.16%,-42.28%,-1.00%,-0.97%,,,,,
2/27/1998,0.07,--,-43.59%,-41.72%,-6.09%,-6.09%,,,,,
1/30/1998,0.08,--,-39.93%,-37.93%,70.48%,70.48%,,,,,
,,,,,,,,,,,
12/31/1997,0.04,--,-64.77%,-63.59%,-31.88%,-31.88%,,,,,
11/28/1997,0.06,--,-48.28%,-46.55%,-24.36%,-24.36%,,,,,
10/31/1997,0.09,--,-31.62%,-29.34%,-31.26%,-31.26%,,,,,
,,,,,,,,,,,
9/30/1997,0.12,--,-0.52%,2.79%,-9.62%,-9.62%,,,,,
8/29/1997,0.14,--,10.06%,13.73%,-4.18%,-4.18%,,,,,
7/31/1997,0.14,--,14.86%,18.68%,-3.03%,-3.03%,,,,,
,,,,,,,,,,,
6/30/1997,0.15,--,18.45%,22.39%,1.66%,1.66%,,,,,
5/30/1997,0.15,--,16.52%,20.40%,8.20%,8.20%,,,,,
4/30/1997,0.14,--,7.69%,11.28%,3.26%,3.26%,,,,,
,,,,,,,,,,,
3/31/1997,0.13,--,4.29%,7.77%,-3.70%,-3.70%,,,,,
2/28/1997,0.14,--,8.30%,11.91%,-4.29%,-4.29%,,,,,
1/31/1997,0.14,0.00243,13.16%,16.93%,4.61%,6.45%,,,,,
,,,,,,,,,,,
12/31/1996,0.14,--,8.17%,9.84%,-12.59%,-12.59%,,,,,
11/29/1996,0.16,--,23.75%,25.66%,-1.51%,-1.51%,,,,,
10/31/1996,0.16,--,25.64%,27.58%,-6.80%,-6.80%,,,,,
,,,,,,,,,,,
9/30/1996,0.17,0.00002,34.81%,36.89%,-0.99%,-0.98%,,,,,
8/30/1996,0.17,--,36.16%,38.25%,-5.24%,-5.24%,,,,,
7/31/1996,0.18,--,43.70%,45.90%,-3.94%,-3.94%,,,,,
,,,,,,,,,,,
6/28/1996,0.19,0.00002,49.59%,51.89%,-11.03%,-11.02%,,,,,
5/31/1996,0.21,--,68.14%,70.70%,-11.94%,-11.94%,,,,,
4/30/1996,0.24,--,90.95%,93.86%,11.62%,11.62%,,,,,
,,,,,,,,,,,
3/29/1996,0.21,0.00005,71.07%,73.67%,1.88%,1.90%,,,,,
2/29/1996,0.21,--,67.91%,70.43%,-2.01%,-2.01%,,,,,
1/31/1996,0.22,0.00309,71.36%,73.93%,-2.56%,-1.20%,,,,,
,,,,,,,,,,,
12/29/1995,0.22,--,75.86%,76.05%,-3.95%,-3.95%,,,,,
11/30/1995,0.23,--,83.08%,83.28%,-7.72%,-7.72%,,,,,
10/31/1995,0.25,--,98.41%,98.62%,1.70%,1.70%,,,,,
,,,,,,,,,,,
9/29/1995,0.25,0.00001,95.09%,95.30%,9.92%,9.93%,,,,,
8/31/1995,0.22,--,77.48%,77.66%,-3.57%,-3.57%,,,,,
7/31/1995,0.23,--,84.04%,84.23%,3.48%,3.48%,,,,,
,,,,,,,,,,,
6/30/1995,0.22,0.00007,77.86%,78.03%,2.23%,2.27%,,,,,
5/31/1995,0.22,--,73.97%,74.09%,-2.05%,-2.05%,,,,,
4/28/1995,0.22,--,77.61%,77.73%,0.25%,0.25%,,,,,
,,,,,,,,,,,
3/31/1995,0.22,0.00015,77.16%,77.28%,7.92%,8.00%,,,,,
2/28/1995,0.21,--,64.15%,64.15%,-2.02%,-2.02%,,,,,
1/31/1995,0.21,--,67.53%,67.53%,-8.73%,-8.73%,,,,,
,,,,,,,,,,,
12/30/1994,0.23,--,83.55%,83.55%,-6.44%,-6.44%,,,,,
11/30/1994,0.25,--,96.19%,96.19%,-4.43%,-4.43%,,,,,
10/31/1994,0.26,--,105.28%,105.28%,0.60%,0.60%,,,,,
,,,,,,,,,,,
9/30/1994,0.26,--,104.07%,104.07%,15.35%,15.35%,,,,,
8/31/1994,0.22,--,76.92%,76.92%,4.79%,4.79%,,,,,
7/29/1994,0.21,--,68.83%,68.83%,0.26%,0.26%,,,,,
,,,,,,,,,,,
6/30/1994,0.21,--,68.39%,68.39%,-1.73%,-1.73%,,,,,
5/31/1994,0.22,--,71.34%,71.34%,4.32%,4.32%,,,,,
4/29/1994,0.21,--,64.25%,64.25%,6.77%,6.77%,,,,,
,,,,,,,,,,,
3/31/1994,0.19,--,53.83%,53.83%,-8.29%,-8.29%,,,,,
2/28/1994,0.21,--,67.74%,67.74%,-1.26%,-1.26%,,,,,
1/31/1994,0.21,--,69.89%,69.89%,13.46%,13.46%,,,,,
,,,,,,,,,,,
12/31/1993,0.19,--,49.74%,49.74%,10.65%,10.65%,,,,,
11/30/1993,0.17,--,35.33%,35.33%,9.44%,9.44%,,,,,
10/29/1993,0.16,--,23.66%,23.66%,1.95%,1.95%,,,,,
,,,,,,,,,,,
9/30/1993,0.15,--,21.29%,21.29%,7.76%,7.76%,,,,,
8/31/1993,0.14,--,12.55%,12.55%,-7.32%,-7.32%,,,,,
7/30/1993,0.15,--,21.44%,21.44%,-3.53%,-3.53%,,,,,
,,,,,,,,,,,
6/30/1993,0.16,--,25.89%,25.89%,-2.58%,-2.58%,,,,,
5/31/1993,0.16,--,29.22%,29.22%,4.78%,4.78%,,,,,
4/30/1993,0.15,--,23.33%,23.33%,8.58%,8.58%,,,,,
,,,,,,,,,,,
3/31/1993,0.14,--,13.58%,13.58%,6.59%,6.59%,,,,,
2/26/1993,0.13,--,6.56%,6.56%,-7.02%,-7.02%,,,,,
1/29/1993,0.14,--,14.60%,14.60%,-1.35%,-1.35%,,,,,
,,,,,,,,,,,
12/31/1992,0.15,--,16.16%,16.16%,3.67%,3.67%,,,,,
11/30/1992,0.14,--,12.04%,12.04%,8.59%,8.59%,,,,,
10/30/1992,0.13,--,3.18%,3.18%,16.55%,16.55%,,,,,
,,,,,,,,,,,
9/30/1992,0.11,--,-11.47%,-11.47%,-9.91%,-9.91%,,,,,
8/31/1992,0.12,--,-1.74%,-1.74%,7.87%,7.87%,,,,,
7/31/1992,0.11,--,-8.90%,-8.90%,-6.68%,-6.68%,,,,,
,,,,,,,,,,,
6/30/1992,0.12,--,-2.38%,-2.38%,2.20%,2.20%,,,,,
5/29/1992,0.12,--,-4.48%,-4.48%,-10.55%,-10.55%,,,,,
4/30/1992,0.13,--,6.79%,6.79%,3.72%,3.72%,,,,,
,,,,,,,,,,,
3/31/1992,0.13,--,2.96%,2.96%,-7.06%,-7.06%,,,,,
2/28/1992,0.14,--,10.78%,10.78%,-11.67%,-11.67%,,,,,
1/31/1992,0.16,--,25.41%,25.41%,8.63%,8.63%,,,,,
,,,,,,,,,,,
12/31/1991,0.15,--,15.45%,15.45%,-6.58%,-6.58%,,,,,
11/29/1991,0.16,--,23.58%,23.58%,-8.40%,-8.40%,,,,,
10/31/1991,0.17,--,34.92%,34.92%,-4.54%,-4.54%,,,,,
,,,,,,,,,,,
9/30/1991,0.18,--,41.33%,41.33%,2.92%,2.92%,,,,,
8/30/1991,0.17,--,37.32%,37.32%,-7.87%,-7.87%,,,,,
7/31/1991,0.19,--,49.05%,49.05%,25.23%,25.23%,,,,,
,,,,,,,,,,,
6/28/1991,0.15,--,19.02%,19.02%,-1.43%,-1.43%,,,,,
5/31/1991,0.15,--,20.75%,20.75%,-4.72%,-4.72%,,,,,
4/30/1991,0.16,--,26.73%,26.73%,-0.38%,-0.38%,,,,,
,,,,,,,,,,,
3/29/1991,0.16,--,27.22%,27.22%,-5.12%,-5.12%,,,,,
2/28/1991,0.17,--,34.07%,34.07%,5.97%,5.97%,,,,,
1/31/1991,0.16,--,26.52%,26.52%,-9.27%,-9.27%,,,,,
,,,,,,,,,,,
12/31/1990,0.18,--,39.45%,39.45%,-0.96%,-0.96%,,,,,
11/30/1990,0.18,--,40.80%,40.80%,1.44%,1.44%,,,,,
10/31/1990,0.17,--,38.81%,38.81%,17.74%,17.74%,,,,,
,,,,,,,,,,,
9/28/1990,0.15,--,17.90%,17.90%,-1.39%,-1.39%,,,,,
8/31/1990,0.15,--,19.56%,19.56%,-12.29%,-12.29%,,,,,
7/31/1990,0.17,--,36.31%,36.31%,-4.69%,-4.69%,,,,,
,,,,,,,,,,,
6/29/1990,0.18,--,43.02%,43.02%,-10.62%,-10.62%,,,,,
5/31/1990,0.2,--,60.00%,60.00%,15.44%,15.44%,,,,,
4/30/1990,0.17,--,38.60%,38.60%,-20.45%,-20.45%,,,,,
,,,,,,,,,,,
3/30/1990,0.22,--,74.25%,74.25%,-2.69%,-2.69%,,,,,
2/28/1990,0.22,--,79.07%,79.07%,-5.02%,-5.02%,,,,,
1/31/1990,0.24,--,88.53%,88.53%,-3.29%,-3.29%,,,,,
,,,,,,,,,,,
12/29/1989,0.24,--,94.95%,94.95%,-1.01%,-1.01%,,,,,
11/30/1989,0.25,--,96.93%,96.93%,1.43%,1.43%,,,,,
10/31/1989,0.24,--,94.15%,94.15%,-4.81%,-4.81%,,,,,
,,,,,,,,,,,
9/29/1989,0.26,--,103.95%,103.95%,-2.93%,-2.93%,,,,,
8/31/1989,0.26,--,110.10%,110.10%,11.30%,11.30%,,,,,
7/31/1989,0.24,--,88.77%,88.77%,5.14%,5.14%,,,,,
,,,,,,,,,,,
6/30/1989,0.23,--,79.53%,79.53%,-8.00%,-8.00%,,,,,
5/31/1989,0.25,--,95.14%,95.14%,-1.59%,-1.59%,,,,,
4/28/1989,0.25,--,98.28%,98.28%,-7.39%,-7.39%,,,,,
,,,,,,,,,,,
3/31/1989,0.27,--,114.11%,114.11%,9.27%,9.27%,,,,,
2/28/1989,0.25,--,95.95%,95.95%,2.89%,2.89%,,,,,
1/31/1989,0.24,--,90.45%,90.45%,-1.89%,-1.89%,,,,,
,,,,,,,,,,,
12/30/1988,0.24,--,94.11%,94.11%,11.99%,11.99%,,,,,
11/30/1988,0.22,--,73.33%,73.33%,14.25%,14.25%,,,,,
10/31/1988,0.19,--,51.71%,51.71%,9.92%,9.92%,,,,,
,,,,,,,,,,,
9/30/1988,0.17,--,38.02%,38.02%,3.11%,3.11%,,,,,
8/31/1988,0.17,--,33.86%,33.86%,-6.20%,-6.20%,,,,,
7/29/1988,0.18,--,42.71%,42.71%,3.75%,3.75%,,,,,
,,,,,,,,,,,
6/30/1988,0.17,--,37.54%,37.54%,-4.86%,-4.86%,,,,,
5/31/1988,0.18,--,44.57%,44.57%,11.81%,11.81%,,,,,
4/29/1988,0.16,--,29.31%,29.31%,3.34%,3.34%,,,,,
,,,,,,,,,,,
3/31/1988,0.16,--,25.13%,25.13%,6.31%,6.31%,,,,,
2/29/1988,0.15,--,17.70%,17.70%,-3.12%,-3.12%,,,,,
1/29/1988,0.15,--,21.49%,21.49%,21.49%,21.49%,,,,,
,,,,,,,,,,,
12/31/1987,0.13,--,0.00%,0.00%,--,--,,,,,
