,,,,,,,,,,,
,,,,,,,,,,,
MXKR Index Settings Total Return Analysis,,,,,,,,,,,
Range12/31/1987 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 420 Month Holding Period Chart,,,,,,,,,,,
MSCI Korea Index Max Cuml Total Return 1013.0947% On 06/30/2021,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,
6/29/2018,0.63,0.002,400.13%,625.38%,-6.49%,-6.19%,,,,,
5/31/2018,0.67,--,434.87%,673.26%,-5.42%,-5.42%,,,,,
4/30/2018,0.71,--,465.55%,717.61%,2.09%,2.09%,,,,,
,,,,,,,,,,,
3/30/2018,0.7,0.00172,453.98%,700.89%,2.78%,3.03%,,,,,
2/28/2018,0.68,--,439.02%,677.34%,-6.38%,-6.38%,,,,,
1/31/2018,0.72,--,475.72%,730.27%,3.49%,3.49%,,,,,
,,,,,,,,,,,
12/29/2017,0.7,0.00948,456.30%,702.26%,1.69%,3.10%,,,,,
11/30/2017,0.69,--,447.03%,678.14%,-0.04%,-0.04%,,,,,
10/31/2017,0.69,--,447.25%,678.44%,8.52%,8.52%,,,,,
,,,,,,,,,,,
9/29/2017,0.63,0.00072,404.27%,617.31%,1.81%,1.92%,,,,,
8/31/2017,0.62,--,395.32%,603.77%,-1.93%,-1.93%,,,,,
7/31/2017,0.63,--,405.08%,617.64%,2.82%,2.82%,,,,,
,,,,,,,,,,,
6/30/2017,0.62,0.0011,391.21%,597.93%,0.89%,1.07%,,,,,
5/31/2017,0.61,--,386.88%,590.55%,7.90%,7.90%,,,,,
4/28/2017,0.57,--,351.22%,539.97%,1.05%,1.05%,,,,,
,,,,,,,,,,,
3/31/2017,0.56,0.00075,346.54%,533.32%,5.11%,5.25%,,,,,
2/28/2017,0.53,--,324.81%,501.71%,2.34%,2.34%,,,,,
1/31/2017,0.52,--,315.08%,487.93%,8.41%,8.41%,,,,,
,,,,,,,,,,,
12/30/2016,0.48,0.00836,282.89%,442.34%,0.12%,1.87%,,,,,
11/30/2016,0.48,--,282.45%,432.40%,-3.21%,-3.21%,,,,,
10/31/2016,0.5,--,295.13%,450.04%,-3.93%,-3.93%,,,,,
,,,,,,,,,,,
9/30/2016,0.52,0.00005,311.31%,472.57%,1.69%,1.70%,,,,,
8/31/2016,0.51,--,304.47%,462.99%,2.41%,2.41%,,,,,
7/29/2016,0.5,--,294.94%,449.73%,6.79%,6.79%,,,,,
,,,,,,,,,,,
6/30/2016,0.46,0.00041,269.83%,414.78%,3.73%,3.83%,,,,,
5/31/2016,0.45,--,256.52%,395.81%,-3.89%,-3.89%,,,,,
