Date,Indonesia_GDP_Growth
2017-07,0.05065523476740395
2017-08,0.05065523476740395
2017-09,0.05065523476740395
2017-10,0.051491358260122626
2017-11,0.051491358260122626
2017-12,0.051491358260122626
2018-01,0.05176274429514366
2018-02,0.05176274429514366
2018-03,0.05176274429514366
2018-04,0.051766486805414146
2018-05,0.051766486805414146
2018-06,0.051766486805414146
2018-07,0.05182218283980831
2018-08,0.05182218283980831
2018-09,0.05182218283980831
2018-10,0.0516226130164952
2018-11,0.0516226130164952
2018-12,0.0516226130164952
2019-01,0.051129321800140216
2019-02,0.051129321800140216
2019-03,0.051129321800140216
2019-04,0.05118052361632226
2019-05,0.05118052361632226
2019-06,0.05118052361632226
2019-07,0.05037629471776581
2019-08,0.05037629471776581
2019-09,0.05037629471776581
2019-10,0.04814668003706267
2019-11,0.04814668003706267
