Date,India_GDP_Growth
2013-11,0.06978530254392323
2013-12,0.06978530254392323
2014-01,0.06515396669681875
2014-02,0.06515396669681875
2014-03,0.06515396669681875
2014-04,0.07445797159716726
2014-05,0.07445797159716726
2014-06,0.07445797159716726
2014-07,0.0768336617175456
2014-08,0.0768336617175456
2014-09,0.0768336617175456
2014-10,0.0698066483290447
2014-11,0.0698066483290447
2014-12,0.0698066483290447
2015-01,0.07536231884057971
2015-02,0.07536231884057971
2015-03,0.07536231884057971
2015-04,0.07380787190420879
2015-05,0.07380787190420879
2015-06,0.07380787190420879
2015-07,0.07402331937437319
2015-08,0.07402331937437319
2015-09,0.07402331937437319
2015-10,0.07929500471253534
2015-11,0.07929500471253534
2015-12,0.07929500471253534
2016-01,0.0922262964514658
2016-02,0.0922262964514658
2016-03,0.0922262964514658
2016-04,0.08836853071210263
2016-05,0.08836853071210263
2016-06,0.08836853071210263
2016-07,0.0931285194953311
2016-08,0.0931285194953311
2016-09,0.0931285194953311
2016-10,0.08596388887918598
2016-11,0.08596388887918598
2016-12,0.08596388887918598
2017-01,0.06377294699109276
2017-02,0.06377294699109276
2017-03,0.06377294699109276
2017-04,0.06667244754685014
2017-05,0.06667244754685014
2017-06,0.06667244754685014
2017-07,0.059965439666134136
2017-08,0.059965439666134136
2017-09,0.059965439666134136
2017-10,0.06534402511475008
2017-11,0.06534402511475008
2017-12,0.06534402511475008
2018-01,0.07958095469064615
2018-02,0.07958095469064615
2018-03,0.07958095469064615
2018-04,0.07165369102335616
2018-05,0.07165369102335616
2018-06,0.07165369102335616
2018-07,0.06902756673290229
2018-08,0.06902756673290229
2018-09,0.06902756673290229
2018-10,0.06483539044950605
2018-11,0.06483539044950605
2018-12,0.06483539044950605
2019-01,0.053210293274374994
2019-02,0.053210293274374994
2019-03,0.053210293274374994
2019-04,0.0546788155695017
2019-05,0.0546788155695017
2019-06,0.0546788155695017
2019-07,0.045925252414809103
2019-08,0.045925252414809103
2019-09,0.045925252414809103
2019-10,0.03223583851741796
2019-11,0.03223583851741796
2019-12,0.03223583851741796
2020-01,0.022735181859003143
2020-02,0.022735181859003143
2020-03,0.022735181859003143
2020-04,-0.21921059620236355
2020-05,-0.21921059620236355
2020-06,-0.21921059620236355
2020-07,-0.04837910999603856
2020-08,-0.04837910999603856
2020-09,-0.04837910999603856
2020-10,0.010146929963109565
2020-11,0.010146929963109565
2020-12,0.010146929963109565
2021-01,0.023000869873031467
2021-02,0.023000869873031467
2021-03,0.023000869873031467
2021-04,0.22162227276914465
2021-05,0.22162227276914465
2021-06,0.22162227276914465
2021-07,0.08983921044871906
2021-08,0.08983921044871906
2021-09,0.08983921044871906
2021-10,0.045409182993650495
2021-11,0.045409182993650495
2021-12,0.045409182993650495
2022-01,0.03633017974640762
2022-02,0.03633017974640762
2022-03,0.03633017974640762
2022-04,0.13105644464295035
2022-05,0.13105644464295035
2022-06,0.13105644464295035
2022-07,0.055122746986034296
2022-08,0.055122746986034296
2022-09,0.055122746986034296
2022-10,0.04638646981094776
2022-11,0.04638646981094776
2022-12,0.04638646981094776
