Date,South_Africa_GDP_Growth
2010-07,0.03610596075462977
2010-08,0.03610596075462977
2010-09,0.03610596075462977
2010-10,0.03882130658044435
2010-11,0.03882130658044435
2010-12,0.03882130658044435
2011-01,0.03695316915549626
2011-02,0.03695316915549626
2011-03,0.03695316915549626
2011-04,0.03407645035247791
2011-05,0.03407645035247791
2011-06,0.03407645035247791
2011-07,0.029192910380546843
2011-08,0.029192910380546843
2011-09,0.029192910380546843
2011-10,0.02667733334922406
2011-11,0.02667733334922406
2011-12,0.02667733334922406
2012-01,0.02242805096670981
2012-02,0.02242805096670981
2012-03,0.02242805096670981
2012-04,0.025224850407802583
2012-05,0.025224850407802583
2012-06,0.025224850407802583
2012-07,0.025151099053618443
2012-08,0.025151099053618443
2012-09,0.025151099053618443
2012-10,0.023041996675741257
2012-11,0.023041996675741257
2012-12,0.023041996675741257
2013-01,0.025169926946466976
2013-02,0.025169926946466976
2013-03,0.025169926946466976
2013-04,0.02407849033795346
2013-05,0.02407849033795346
2013-06,0.02407849033795346
2013-07,0.02477099303727629
2013-08,0.02477099303727629
2013-09,0.02477099303727629
2013-10,0.0253972966852268
2013-11,0.0253972966852268
2013-12,0.0253972966852268
2014-01,0.016097803605557372
2014-02,0.016097803605557372
2014-03,0.016097803605557372
2014-04,0.012741537709155648
2014-05,0.012741537709155648
2014-06,0.012741537709155648
2014-07,0.012803287354842662
2014-08,0.012803287354842662
2014-09,0.012803287354842662
2014-10,0.014923011307966251
2014-11,0.014923011307966251
2014-12,0.014923011307966251
2015-01,0.0236663632576725
2015-02,0.0236663632576725
2015-03,0.0236663632576725
2015-04,0.011033666862676395
2015-05,0.011033666862676395
2015-06,0.011033666862676395
2015-07,0.010730257855184137
2015-08,0.010730257855184137
2015-09,0.010730257855184137
2015-10,0.007566996476088533
2015-11,0.007566996476088533
2015-12,0.007566996476088533
2016-01,0.0027304249334308248
2016-02,0.0027304249334308248
2016-03,0.0027304249334308248
2016-04,0.012241144904995229
2016-05,0.012241144904995229
2016-06,0.012241144904995229
2016-07,0.007579491465464395
2016-08,0.007579491465464395
2016-09,0.007579491465464395
2016-10,0.0040826985885590835
2016-11,0.0040826985885590835
2016-12,0.0040826985885590835
2017-01,0.006419286124643995
2017-02,0.006419286124643995
2017-03,0.006419286124643995
2017-04,0.010934697126667229
2017-05,0.010934697126667229
2017-06,0.010934697126667229
2017-07,0.01291714149548123
2017-08,0.01291714149548123
2017-09,0.01291714149548123
2017-10,0.016038786805847107
2017-11,0.016038786805847107
2017-12,0.016038786805847107
2018-01,0.01661425947099497
2018-02,0.01661425947099497
2018-03,0.01661425947099497
2018-04,0.008586442434047069
2018-05,0.008586442434047069
2018-06,0.008586442434047069
2018-07,0.0191161126249316
2018-08,0.0191161126249316
2018-09,0.0191161126249316
2018-10,0.0179400114486826
2018-11,0.0179400114486826
2018-12,0.0179400114486826
2019-01,0.0037388742508314503
2019-02,0.0037388742508314503
2019-03,0.0037388742508314503
2019-04,0.010791330759788295
2019-05,0.010791330759788295
2019-06,0.010791330759788295
2019-07,-0.00043903870898602716
2019-08,-0.00043903870898602716
2019-09,-0.00043903870898602716
2019-10,-0.0035660667994725915
2019-11,-0.0035660667994725915
2019-12,-0.0035660667994725915
2020-01,0.007585412209262885
2020-02,0.007585412209262885
2020-03,0.007585412209262885
2020-04,-0.16636493351493142
2020-05,-0.16636493351493142
2020-06,-0.16636493351493142
2020-07,-0.05290196416299159
2020-08,-0.05290196416299159
2020-09,-0.05290196416299159
2020-10,-0.02658008526723603
2020-11,-0.02658008526723603
2020-12,-0.02658008526723603
2021-01,-0.022644040564925177
2021-02,-0.022644040564925177
2021-03,-0.022644040564925177
2021-04,0.19124052695968827
2021-05,0.19124052695968827
2021-06,0.19124052695968827
2021-07,0.027786204213258663
2021-08,0.027786204213258663
2021-09,0.027786204213258663
2021-10,0.014091346301907899
2021-11,0.014091346301907899
2021-12,0.014091346301907899
2022-01,0.023067708677108518
2022-02,0.023067708677108518
2022-03,0.023067708677108518
2022-04,0.001508759207352007
2022-05,0.001508759207352007
2022-06,0.001508759207352007
2022-07,0.03875448610062778
2022-08,0.03875448610062778
2022-09,0.03875448610062778
2022-10,0.013474877147187486
2022-11,0.013474877147187486
2022-12,0.013474877147187486
