Date,France_GDP_Growth
1997-06,0.02118082594510316
1997-07,0.026658718870187326
1997-08,0.026658718870187326
1997-09,0.026658718870187326
1997-10,0.03387774770860944
1997-11,0.03387774770860944
1997-12,0.03387774770860944
1998-01,0.040552112343146623
1998-02,0.040552112343146623
1998-03,0.040552112343146623
1998-04,0.03824984159673044
1998-05,0.03824984159673044
1998-06,0.03824984159673044
1998-07,0.034342877594612055
1998-08,0.034342877594612055
1998-09,0.034342877594612055
1998-10,0.031058204010639023
1998-11,0.031058204010639023
1998-12,0.031058204010639023
1999-01,0.027842028480012635
1999-02,0.027842028480012635
1999-03,0.027842028480012635
1999-04,0.026178995578419576
1999-05,0.026178995578419576
1999-06,0.026178995578419576
1999-07,0.03529291392702957
1999-08,0.03529291392702957
1999-09,0.03529291392702957
1999-10,0.04179187696783188
1999-11,0.04179187696783188
1999-12,0.04179187696783188
2000-01,0.043570804487695645
2000-02,0.043570804487695645
2000-03,0.043570804487695645
2000-04,0.047733940088676985
2000-05,0.047733940088676985
2000-06,0.047733940088676985
2000-07,0.04110462005229261
2000-08,0.04110462005229261
2000-09,0.04110462005229261
2000-10,0.03327382506348187
2000-11,0.03327382506348187
2000-12,0.03327382506348187
2001-01,0.02946310576565562
2001-02,0.02946310576565562
2001-03,0.02946310576565562
2001-04,0.020728216199888735
2001-05,0.020728216199888735
2001-06,0.020728216199888735
2001-07,0.01874278887941382
2001-08,0.01874278887941382
2001-09,0.01874278887941382
2001-10,0.008428585219786528
2001-11,0.008428585219786528
2001-12,0.008428585219786528
2002-01,0.009590925410820563
2002-02,0.009590925410820563
2002-03,0.009590925410820563
2002-04,0.012084281591898295
2002-05,0.012084281591898295
2002-06,0.012084281591898295
2002-07,0.010651826851989827
2002-08,0.010651826851989827
2002-09,0.010651826851989827
2002-10,0.014890970686643275
2002-11,0.014890970686643275
2002-12,0.014890970686643275
2003-01,0.00993470232472782
2003-02,0.00993470232472782
2003-03,0.00993470232472782
2003-04,0.0031444204832785827
2003-05,0.0031444204832785827
2003-06,0.0031444204832785827
2003-07,0.008097567736755218
2003-08,0.008097567736755218
2003-09,0.008097567736755218
2003-10,0.012430217463729925
2003-11,0.012430217463729925
2003-12,0.012430217463729925
2004-01,0.021494008871022874
2004-02,0.021494008871022874
2004-03,0.021494008871022874
2004-04,0.0299769029577883
2004-05,0.0299769029577883
2004-06,0.0299769029577883
2004-07,0.023788512074508057
2004-08,0.023788512074508057
2004-09,0.023788512074508057
2004-10,0.02597098597296308
2004-11,0.02597098597296308
2004-12,0.02597098597296308
2005-01,0.018646917118445353
2005-02,0.018646917118445353
2005-03,0.018646917118445353
2005-04,0.015110060468626138
2005-05,0.015110060468626138
2005-06,0.015110060468626138
2005-07,0.01809766090473483
2005-08,0.01809766090473483
2005-09,0.01809766090473483
2005-10,0.01805172652193748
2005-11,0.01805172652193748
2005-12,0.01805172652193748
2006-01,0.023050015732822615
2006-02,0.023050015732822615
2006-03,0.023050015732822615
2006-04,0.03131190033838085
2006-05,0.03131190033838085
2006-06,0.03131190033838085
2006-07,0.02601625999307517
2006-08,0.02601625999307517
