Date,Korea_Rep._of_GDP_Growth
1982-06,0.09016197516699478
1982-07,0.06830068154650767
1982-08,0.06830068154650767
1982-09,0.06830068154650767
1982-10,0.08489928543700487
1982-11,0.08489928543700487
1982-12,0.08489928543700487
1983-01,0.1253287091344928
1983-02,0.1253287091344928
1983-03,0.1253287091344928
1983-04,0.13345797969247697
1983-05,0.13345797969247697
1983-06,0.13345797969247697
1983-07,0.15166445026372266
1983-08,0.15166445026372266
1983-09,0.15166445026372266
1983-10,0.12452149350821459
1983-11,0.12452149350821459
1983-12,0.12452149350821459
1984-01,0.12399203782396194
1984-02,0.12399203782396194
1984-03,0.12399203782396194
1984-04,0.11765440348902645
1984-05,0.11765440348902645
1984-06,0.11765440348902645
1984-07,0.0923261614529374
1984-08,0.0923261614529374
1984-09,0.0923261614529374
1984-10,0.08983314224913676
1984-11,0.08983314224913676
1984-12,0.08983314224913676
1985-01,0.07343674143512209
1985-02,0.07343674143512209
1985-03,0.07343674143512209
1985-04,0.07241524176963636
1985-05,0.07241524176963636
1985-06,0.07241524176963636
1985-07,0.07002873300041756
1985-08,0.07002873300041756
1985-09,0.07002873300041756
1985-10,0.09731701213276527
1985-11,0.09731701213276527
1985-12,0.09731701213276527
1986-01,0.08786628481790562
1986-02,0.08786628481790562
1986-03,0.08786628481790562
1986-04,0.10367594627666286
1986-05,0.10367594627666286
1986-06,0.10367594627666286
1986-07,0.1383725990831544
1986-08,0.1383725990831544
1986-09,0.1383725990831544
1986-10,0.12192557032949242
1986-11,0.12192557032949242
1986-12,0.12192557032949242
1987-01,0.1360819986409065
1987-02,0.1360819986409065
1987-03,0.1360819986409065
1987-04,0.14762944213722434
1987-05,0.14762944213722434
1987-06,0.14762944213722434
1987-07,0.11086869809341879
1987-08,0.11086869809341879
1987-09,0.11086869809341879
1987-10,0.11606978165314207
1987-11,0.11606978165314207
1987-12,0.11606978165314207
1988-01,0.16464061799043692
1988-02,0.16464061799043692
1988-03,0.16464061799043692
1988-04,0.08569882969468735
1988-05,0.08569882969468735
1988-06,0.08569882969468735
1988-07,0.10903037964809074
1988-08,0.10903037964809074
1988-09,0.10903037964809074
1988-10,0.1222831341827029
1988-11,0.1222831341827029
1988-12,0.1222831341827029
1989-01,0.0424652386320932
1989-02,0.0424652386320932
1989-03,0.0424652386320932
1989-04,0.08104999567889841
1989-05,0.08104999567889841
1989-06,0.08104999567889841
1989-07,0.0749577964797299
1989-08,0.0749577964797299
1989-09,0.0749577964797299
1989-10,0.08406865102263256
1989-11,0.08406865102263256
1989-12,0.08406865102263256
1990-01,0.09463670592005127
1990-02,0.09463670592005127
1990-03,0.09463670592005127
1990-04,0.10294445661678639
1990-05,0.10294445661678639
1990-06,0.10294445661678639
1990-07,0.1101337652002629
1990-08,0.1101337652002629
1990-09,0.1101337652002629
1990-10,0.08778275357952771
1990-11,0.08778275357952771
1990-12,0.08778275357952771
1991-01,0.11719730539689045
1991-02,0.11719730539689045
1991-03,0.11719730539689045
