Date,equity_index_gdp,government_bond_gdp,currency_gdp,equity_index_cpi,government_bond_cpi,currency_cpi,equity_index_interest_rate,government_bond_interest_rate,currency_interest_rate,equity_index_exchange_rate,government_bond_exchange_rate,currency_exchange_rate
2015-12-01,0.01876185710436778,-0.015718671741487226,-0.009861508623399965,-0.03223839080185489,-0.0018179645223161663,-0.016586360853233707,0.006915430453304584,-0.019638417650872004,-0.06620387249521173,-0.037651517445682445,-0.0005881194906182795,0.01960907404101171
2016-01-01,0.023316107298611926,0.020017898914918338,0.003978173494759785,-0.03555238202519467,0.018437850549489283,0.03287001191627408,-0.017964026775334097,-0.040030590863331446,0.017698515447395438,-0.0166504822042672,0.0006122322477446927,0.007735243657828812
2016-02-01,-0.007080105631067199,-0.0007079751192580868,-1.0055882815304659e-05,0.0148053150024873,0.04997762886425258,-0.04352744653179589,-0.008455967506567939,0.010013084357467032,-0.03750523694574905,0.022815119831456405,0.021709811368621407,0.050964474565318316
2016-03-01,-0.07301015385132019,0.046044214006248606,-0.030859804715393922,-0.05141781808280966,0.001316828340409339,0.0843011287544621,0.05392356017528457,0.03681182462949439,-0.039893757620632186,0.06765587370483314,-0.001682811416859921,-0.07756673075078242
2016-04-01,-0.01851311687546542,-0.009399365183724284,0.02101994776010896,-0.023567813968761092,0.025360470300566772,-0.01853308026544071,0.01272869586471442,0.0023807553405521325,0.0037385699616472663,0.02001400408479697,0.008389466029362296,0.009945464513253503
2016-05-01,0.014257901576387323,0.017526271260555348,-0.012971629529549899,0.01339341147304017,-0.009435613660735288,-0.016695687262431872,-0.008764338732888451,-0.012041005128868909,0.03509731772608902,-0.049296387490684095,-0.024337889976525164,0.043182109889721494
2016-06-01,-0.012768024237055342,-0.008085482855790234,0.05270684015316348,-0.020876019733378916,0.012428234575532432,-0.0656356218694635,-0.0033505920147244767,-0.005074473018521716,0.007718741270620789,0.05418682807637631,0.03121122250134173,0.028430332938232435
2016-07-01,0.04044057076732841,-0.017672425737989026,0.009036735951093323,-0.017435238032767034,0.013007717260710608,0.026669586519717774,0.026766317303064602,0.007562442038674263,0.003961858644955219,-0.024984979000623846,0.009781570540272668,0.0016373626620050598
2016-08-01,0.017526164225848868,0.00754452072691467,0.0035575406038014165,0.005105939041411529,0.0033305695638856684,-0.012672047288758767,0.015287330708001154,-0.0008173469799136699,-0.003196773610356887,0.0032397242200467623,-0.016571749141932046,0.011574257692006394
2016-09-01,0.0029314620810016894,-0.02664629298564921,0.030278314084405407,-0.016329350045898097,-0.0009130013971785172,0.009811186733031047,0.00826263734038496,0.02256734779837389,-0.014538184068487163,-0.004346794570206415,0.012062267779718468,0.01637371590933024
2016-10-01,-0.016456488405288912,-0.03309951886298132,0.03785030827439231,0.02717569163667397,-0.014973938866342094,0.006494436474009337,-0.003102102671547339,0.0023277329410760893,0.029937074754343814,-0.010093758407182865,0.041680720273208995,0.017158238973211497
2016-11-01,-0.012488682609177642,-0.05354355162292819,0.0493364548860136,0.010623708004065462,0.010683396934780872,0.024807874283312818,-0.03319909533968969,0.045341678724972884,0.03905255987717243,-0.036676448804362806,0.028403199995617384,-0.024199705424357076
2016-12-01,0.04669053513102483,-0.03163693935800308,0.02430998198153923,0.041012190886666695,0.03815685506495893,-0.023293005123002072,0.015356439210472604,0.009886305885769291,0.0030495710205961763,-0.05705341968693829,0.004137425466194216,0.01946826208665653
2017-01-01,-0.03197725449967714,0.013720743194096132,0.01119801288027294,-0.01795732922887558,-0.0026918500223799603,0.031278528485906856,0.03789054582243185,0.03148602353071864,-0.01399582443111366,-0.03472418073995645,0.04200478569989271,0.023877559997530592
2017-02-01,-0.02870987701024323,0.009652109612875374,-0.04118262381716002,-0.021964355773617918,-0.016299262823213582,-0.0025241601994547827,0.005476434621525638,-0.005546445129704736,-0.015142694600836218,0.0025159497355974115,0.0011987460059077503,0.0036930851586589124
2017-03-01,0.023030166821973147,0.02453356160481017,0.005296085768962769,-0.03842497045802769,-0.003919171359245868,-0.0013980960386531561,0.025065774530696958,-0.02272686013712277,-0.011067450700550145,0.062127967227494016,-0.011008154691851416,-0.016432877582477214
2017-04-01,-0.011426466872059686,-0.007776830404119174,-0.03530442893194176,-0.008197196720983123,-0.023338303096230858,-0.006900301223235474,0.013739793130027583,-0.017158445729041728,0.002724422838433688,0.01917647819547825,-0.02961968025469608,-0.015080151505575616
2017-05-01,-0.020367929124534414,-0.025979518877032953,0.00525525928957334,-0.041341297693957606,-0.02845202959114239,0.002103435375235658,0.0023658860274838587,0.00259872398950439,0.012418193473585974,0.059517872173713,-0.03585383131636158,-0.012955299537667402
2017-06-01,0.007782031335486842,-0.03274396510054927,0.03970131828003784,-0.020217178333386043,-0.016662412900203115,0.023741115272516957,-0.004041470873395975,0.011126987161430632,0.010233318549921518,0.001898892645080812,0.007261479333792811,-0.012659560259182344
2017-07-01,0.019696173440468426,-0.010320994307807287,0.004502486865805728,0.002097635019895263,-0.027814542188655582,-0.003979791793505126,0.019947437117071407,0.023168106205516924,-0.0021515890287884293,-0.023005732089202473,0.010339266055649535,-0.0172617140926695
2017-08-01,0.0164404484131751,-0.015208821143160769,0.0010219984296891457,0.012614909183056166,-0.01630634060915502,-0.04861495107653463,0.02216042382215015,-0.020834785664949493,0.0041174494663190715,-0.015930859853809924,0.0065904783734740706,-0.006484185234311982
2017-09-01,0.013865660614853946,0.01076794615484611,-0.0009262505771349976,-0.014926814088859612,0.013282162743049726,0.023832643603955237,-0.004040671193241199,0.013047344669839889,0.015333310308584208,-0.004972824976012813,-0.0027257238895130164,-0.016896622069106533
2017-10-01,-0.010721219168981043,0.008151495306003995,-0.04810555539881897,-0.008262489882170222,0.0072810765131146645,-0.023527999775064944,0.029336657308300075,0.015422617425977789,0.018883822986224083,0.007304252084090269,-0.011140199401459187,-0.024266191946679498
2017-11-01,-0.007474763322608252,-0.021152818342173765,0.0010878651967937537,0.004969421246467417,-0.017344900966067844,0.01229151160248272,-0.0046091820648248676,0.003246927159911178,0.006714203653032589,-0.003946745921692983,0.019812870310707838,0.013865368948172904
2017-12-01,-0.0003510586873074706,0.02160938801563287,-0.05051989491895217,-0.017586733216582166,0.012900709417895565,-0.03461863058927522,0.039746796541915354,0.03438850256286477,-0.03379468045587111,0.017155218230611512,-0.027765882445738452,-0.039599431407910425
2018-01-01,0.040298431009223354,-0.01870176235493945,0.019492989759965086,-0.01936934239941229,-0.017954110151494045,0.008150158285524156,-0.008790500043534837,0.049094214449046554,-0.01662829204139851,0.029067735109627756,0.032379314302772945,-0.008175670123156545
2018-02-01,-0.022200278696569344,0.030184318021757278,-0.008677935408532825,0.052612992992768975,0.03922260614481258,-0.03164788878635998,0.049246129583095676,0.023421604094297402,-0.011263425759540332,0.037506830972772146,-0.027696501998096933,-0.027622561806749824
2018-03-01,-0.004822947141685044,-0.006597973498825863,-0.010635417365384318,0.021277268673412078,-0.028965585899680808,0.010175311266801847,-0.04772532115718345,-0.03108116963383519,0.02811521884673869,0.012452002923018757,0.037681367079237686,0.03219173175296858
2018-04-01,-0.011052296135692634,0.030510006069559288,-0.029855547009246808,-0.008338072270421755,-0.0062294488270481915,-0.0032457675394325035,-0.04646817707138792,0.006288920129440839,0.03348481996986026,-0.028021332913288587,-0.008009051227224874,0.008640179519622274
2018-05-01,-0.03094092746661834,0.024770295449611554,-0.05572252936115168,-0.02136647911136562,-0.009439746006890109,-0.056374002433208795,0.0010973020337161318,0.01565141129422934,-0.0336491097244091,0.05398032681427988,-0.06581456710702051,-0.043938537378733045
2018-06-01,-0.03723452819654846,0.008501422340206495,-0.0511227509680679,-0.0042404018216778624,0.033221869252652185,0.003913357526968508,-0.012004850952004261,-0.014356953875275255,-0.013092688155688726,0.03506707676912948,-0.007738251692540087,-0.020358926228167838
2018-07-01,0.024525264391050957,-0.0018520300852329912,-0.003528135279467909,0.009296246942232172,0.02532855834255817,-0.020024349043925117,-0.004232469023949189,0.044006768871093074,-0.01524926281865649,0.008938010620653879,-0.02347526000694883,-0.03466286087018477
2018-08-01,-0.035586616643231775,-0.02082080531601549,-0.08735313909338684,-0.019767655898108753,-0.037246987632510296,0.0025376536339659205,0.017722377041690617,-0.014474508142557609,-0.0601116080671687,0.021683528784089308,0.0006274654698473495,0.01487205020512092
2018-09-01,0.011463943991626655,0.0024646381898471913,-0.011802695197768845,0.00424858503582077,0.01920551754444254,-0.025730329356217947,0.0028619011028820822,0.0477418930758715,-0.008851121856028899,0.0032487367031254315,-0.011515328875478178,-0.020527186449657366
2018-10-01,0.05731344491891178,-0.04079541444065611,-0.020878019584647245,0.026205160753332363,-0.0005900498869605651,0.046852712844959545,0.06436718563032236,0.0503894079095528,-0.018229623279703126,0.014134668574473543,0.017811850303146283,0.02100135481188471
2018-11-01,0.022163595540951334,-0.012810200342751644,0.056862997038105295,-0.007005358365103079,-0.030989541782502926,0.00841716691166606,-0.0574784997248558,0.008101307117108455,0.035774958231112125,0.01569213869011535,-0.010379604911579736,0.015458403674648855
2018-12-01,0.031132664470191033,0.034533848566369575,-0.023776182136793143,0.03687125299738437,-0.03141373571078545,-0.005369719386694533,0.026848653301504002,-0.06660225201032904,0.01462718329842823,0.020994463198389237,0.007003342775309688,0.02332904023172217
2019-01-01,-0.05191419227369347,0.03854372954247612,-0.03443200356041328,-0.08361981186103574,-0.023327623178470817,0.0387494878608501,-0.06615843150725746,-0.03643993715471611,0.010859786452926432,0.03852265987784392,-0.056394275391959695,-0.06107622258915812
2019-02-01,-0.016370355930788817,-0.017313646223863735,0.01681638499148492,0.0033705189065832922,0.02645982696822922,-0.03057489464273159,0.008841829470036894,-0.01875062273519472,0.007700260398392973,0.016730472102184268,0.007654916692563917,0.005011923338635475
2019-03-01,0.039191496657796004,0.004611340945949132,0.034353159993171054,0.014027088025547979,0.04487173567645128,-0.018640258604232296,0.01130674300453868,-0.02371660424607184,-0.031786741306612624,-0.02066889337003465,0.033144427085397936,0.008181324410953452
2019-04-01,0.0025216732448320803,-0.009900847579023314,0.006150153980052573,0.05223937488749953,-0.005594723866450062,-0.02173170791079019,-0.021897823358376083,-0.011331885433935896,-0.0092313513119708,0.002960273954380754,0.009476292509768117,0.004058090120610166
2019-05-01,0.007444399086216728,0.0639712040472051,0.0008558210518655823,-0.06539471364356556,0.07759513533917238,0.028022221972195952,0.01732497358711356,-0.11447721196651743,-0.018004257299687604,-0.007209277296339587,0.07066749066230364,0.04065127396999157
2019-06-01,-0.032122888770762976,0.04382705475830809,-0.0071929867758834636,0.026173151250523722,0.03688977530014309,-0.020752305006197087,-0.060200551479931017,-0.031144567403289677,0.0506468596867751,0.01916771557285115,-0.03841481322289792,-0.013006476360023113
2019-07-01,0.0061844750519141735,-0.007484126673728893,0.0004839258608908571,-0.0334102706570673,-0.0267195286189347,0.02418061367942828,0.002522919138387959,-0.0010605571752936049,-0.003911700345586344,-0.02555487709852629,0.00563608073339617,0.03159734686659863
2019-08-01,0.046195980352247555,0.0273868411944496,0.058320133871030064,-0.007628457974146151,0.054326576408414276,-0.04104993543022362,0.0011256334245857021,-0.06006924214558643,-0.0035515045437142195,-0.045375401652149705,0.04407507130376991,-0.0017249538746903171
2019-09-01,-0.02325869394426979,-0.01956149796536317,-0.009591425530164477,0.029503778569752167,-0.014240800138256174,0.003116968631298969,-0.001135747986785406,-0.002361059104163237,0.008586565953587264,0.007137327371162388,0.010414970182968228,-0.013794044074649832
2019-10-01,-0.006331200729513858,0.020316004258309154,-0.03260441441009327,0.021142412111654293,0.014584251184417094,-0.0289511055036287,0.033814721157810056,0.01310981200443693,-0.029338760411375477,-0.014052049562371353,-0.03283465083093342,-0.03642181246943649
2019-11-01,-0.013925356276547826,-0.029733221764009655,0.021180333703192614,0.013251213774872964,-0.034067458149392,0.026040602302482813,0.006164437418968014,-0.017577934701136628,0.016665156258211432,0.010079207405741385,0.024846886543171975,0.015446829389172982
2019-12-01,-0.019490681065404847,0.029166780473338007,-0.023127317164936684,0.03128003103661934,0.005994772374067415,-0.02680394036075876,0.04408638099943044,0.014825850328301596,-0.042496596508439205,0.028783517269788814,0.003617380885918257,0.0020309415777735257
2020-01-01,0.021017583101995835,-0.00540018421335277,0.03079621213480941,-0.02128804216716977,0.029257103640386587,0.023943600244348443,-0.01710001155436439,0.02433585274082991,0.023471213674288366,-0.004296125148857093,0.030929515065588782,0.0024439620594981348
2020-02-01,0.08479291759457913,-0.01948597109029579,0.052156527280353304,-0.0788626953491664,0.005526619137926414,0.04621471138808112,-0.06716980206006702,0.007567964149815032,0.041511882650309716,-0.0707597105744074,0.024410216280089915,-0.028443969665721727
2020-03-01,0.12587832652630737,-0.011479240053816533,0.11668938512531438,-0.09630442524238418,-0.047890677349067955,0.10809093013814153,-0.10594017654982124,-0.024215929492053756,0.08147615988776279,0.02416791537362449,0.037535290282368336,-0.08905466358417462
2020-04-01,-0.05033685595128996,0.042811611820679864,-0.059010380060489365,-0.0653886974421792,-0.014399073109547106,0.01073440086937006,0.048265248326856504,0.053364553822518764,-0.013601852805923128,0.008318886745037248,-0.031364178508514064,0.014313345696294336
2020-05-01,-0.010387644827244613,0.016741879253566457,-0.008239290346312338,-0.01803867668531702,0.022696031677361252,-0.02095168669817776,0.027380065129840363,-0.0003255721415088144,-0.012009124600204618,0.0009015068509195766,-0.034376325954702254,-0.03704317616964699
2020-06-01,-0.018284313146223332,0.026953096240791757,-0.028065907140238905,0.0012814998574417248,0.019218004686896002,0.034894525756110926,0.024824920916378522,0.024603767856639022,-0.010301407697998831,0.005280784749229076,-0.028895996410106876,0.012768970936014057
2020-07-01,-0.026128087587329017,0.06994012314397223,-0.03603672388252544,0.0096342946337529,0.06867457007956801,-0.025811975302688032,0.022692257692708682,0.03296364355090967,-0.01864504868090951,-0.009810840704096383,0.07503992272651827,0.04576772679120434
2020-08-01,-0.03137778167879636,0.00854018064240979,-0.022849918804684864,0.014754892222275958,0.007564142111129448,-0.004274281320901864,0.0133794609580105,0.018259641663295096,-0.005224308740295924,-0.06447680946454323,0.013212805840852347,0.015417312741717582
2020-09-01,0.018543643267975855,-0.02472225189764419,0.010416157227215063,-0.02076457133646445,-0.017780311244130997,0.015522166924805403,-0.015102062523590346,-0.013595834609367329,0.013156836916298556,0.01582105069138342,-0.021910075676520237,0.0016132003724887653
2020-10-01,0.014956847932915896,-0.009467491628504724,-0.003961584802058962,-0.01636965996442077,0.0042851462128941165,-0.006470467343796792,-0.0053484130512313375,-0.004095096895256648,-0.007884472307377877,0.0176056111140778,0.016368497899105983,-0.009099535805400873
2020-11-01,-0.07684020581682324,0.04210104548632199,-0.036543689100619635,0.07886993588265585,0.03513317080649411,-0.05412793437003994,0.06842276612817073,0.041922872614497765,-0.042412556930274924,0.05461683433282866,0.01999362914841008,-0.03602570379361578
2020-12-01,-0.033403145539072365,0.03263298545601475,-0.029229444208028945,0.0015618583593807868,0.030804931282213892,-0.021071996285033538,0.02963116319621484,0.026644840195592986,-0.02612518135564184,0.04639435796498151,0.032017480100460106,-0.024061134592779837
2021-01-01,0.009273381177348489,-0.021192536941219812,0.025691566443142508,0.011845638647237249,-0.01670610036197617,-0.008205326664784914,-0.0036133562721052904,-0.009639552518899915,0.029013629371610908,-0.02782593994694219,0.006469966111702987,0.048561623754866154
2021-02-01,-0.01550511269539633,-0.04662051108738038,0.012731437263984404,0.01860741279519139,-0.05353126586670827,0.015478847577283449,0.00939851762299431,-0.05485459435448518,0.01869371883250805,-0.029405454875433053,0.003685659601559288,0.023243931166036694
2021-03-01,-0.021552508087689316,-0.05020475857531205,0.01524953198843565,0.0028040684290191317,-0.0478563307955355,0.02819178178092005,0.012324557218115663,-0.04542954679988379,0.02137351577448828,0.05203606819642446,0.0023943947473851097,0.03981424784152625
2021-04-01,-0.016747969110808208,0.01929719901646457,-0.0030441096364186874,0.007298010264124521,0.0367462090964158,-0.02419340119587726,0.012324134565714134,0.033776374044323806,-0.02767907308960941,-0.01173958493835821,0.019228638709983596,0.0022314283104594634
2021-05-01,-0.019586123193346034,0.03204298792487812,-0.01883978818917966,0.01672819779575923,0.03685646598313464,-0.034397967445166884,0.017436315121073513,0.0311534084042973,-0.02102170896498963,-0.025026539930682472,0.037132081573720666,0.027279978605529862
2021-06-01,0.0034648040230150145,-0.026969543871588893,0.012935806793634045,-0.01694188907063795,-0.005175145336190237,0.03669776160616318,-0.00443181312339529,-0.02849891132456402,0.037817075057671824,0.020140909615361576,-0.032428456969793046,-0.010198855595558843
2021-07-01,0.002348743935997208,-0.020159808104754817,-0.0030322404594107662,-0.014861943528263514,-0.018466274389696346,-0.020550744473802413,-0.016334119834392227,0.02637920726360966,0.0012986029614025646,0.030146357286360174,0.004527238943995597,-0.025923066415110156
2021-08-01,0.02449776843660919,0.010738664939872699,0.001779598705279509,-0.011413274815192465,0.016904538551116555,0.00035658204598186137,0.019387834441361888,-0.009100242423833392,0.012490956179256702,0.018573425870917783,-0.0034485402582444956,-0.0020669781366258657
2021-09-01,-0.041559752580441985,0.01704072281742748,-0.035848834320322674,0.02076445975004229,0.047872870783085025,-0.028138416849214552,-0.0057102863490679535,-0.03834015142539194,-0.0011286376102562072,0.026153483989264245,0.014088398988274738,-0.004709363202314251
2021-10-01,0.010217310622605915,0.006228861918349024,-0.01413109422054503,-0.01801478702314192,0.0022841008435675516,0.02541292109703705,0.04103804509513711,0.002133717067054824,-0.0022369806918275527,-0.0030856367699870864,0.051386722950099335,0.036209702843452596
2021-11-01,-0.024607052665848343,0.008249306803597149,-0.04536739392136215,0.01776654478095065,0.017743799125551872,-0.07570660994462924,0.012370248000067887,8.48921601208955e-05,-0.05711532516286163,0.018537962851249753,-0.021079818249135567,-0.034943159632841954
2021-12-01,0.024611133064500884,0.012470327770336999,-0.003934949331823554,-0.025119576333900526,0.023047420566298257,0.0010901339040299816,-0.0025975464033227186,0.005784492006383132,0.021277787409731137,-0.006682378073781041,0.04637213339626687,0.034872046749768466
2022-01-01,-0.003996500438299418,0.03802723414335343,-0.0009529688550436368,0.015971111901589334,0.029359853895650375,-0.009696925251144399,-0.01718101500194402,-0.03232382057168373,0.017532717159081234,-0.01243536625108912,0.009311671575187997,-0.0023476746447086854
2022-02-01,-0.00032658219684264837,0.011985380895536513,-0.001158459608864286,0.019434701070342713,0.015869196608648342,-0.01918557349362785,0.03753781839939365,0.011495475478620298,-0.039751874405731774,0.041723971924439704,0.01058804607878374,-0.03512996068178968
2022-03-01,0.01983089318898823,0.05680324547910401,0.003304446291015861,0.015437756793580826,0.06817040605174267,0.02427607755495865,0.0710530236257931,-0.053622401729592,0.06502697684166377,0.045636629083601506,0.00043772552091760807,0.0437312968601605
2022-04-01,-0.02631422436512359,0.09273551228157634,-0.06899342896642001,0.03589601762153552,0.09735249235530198,-0.08423264604433105,0.049609123273847054,-0.03476335397827471,0.0468141608681136,0.010424888519665285,0.01631821877901572,-0.013134176876082532
2022-05-01,0.0021240929255632113,-0.010550789306608117,-0.00043251157120774886,-0.010123253833227385,-0.007541496764827256,-0.0007353645625531299,-0.02273423863081946,-0.011858884874543977,0.037065426050439006,0.0059425186232155,0.01658210017523692,0.021952789796212926
2022-06-01,-0.05252912650539704,0.05776296890820222,-0.06448888354778576,0.04065094689208767,0.055505002592098056,-0.06103093234264227,0.046886648403593495,0.012977544233416535,0.01447381680561394,-0.04250734825489256,0.06417187261636811,0.05689470662632787
2022-07-01,0.02669327383300233,-0.041849051369525825,0.0007387470201936477,-0.008839030378588793,-0.04029629608352018,0.00432035550442719,-0.028114634886291418,-0.046932995462108565,-0.02480655613027568,-0.0009232250687732732,-0.024146480223526744,-0.03451554676888565
2022-08-01,-0.020074035186637966,0.07209190846098582,-0.05230802376377829,0.005291327468562483,0.07152027912277409,-0.04271248351152537,0.020210204441825898,0.04420030822702547,0.006107309780759699,-0.0376959441737362,0.05019489680528074,0.020211812169348455
2022-09-01,-0.04107949611863474,0.08053632377883174,-0.08137521743874437,0.0432297706112343,0.08287384669033131,-0.06750739404165851,-0.07109344532273489,-0.0844063635876119,0.030833184707998614,-0.0597519384740261,0.06855175649251462,0.02130712423799055
2022-10-01,-0.03574386755243606,0.003469814449270707,0.034864144745891126,-0.02111416358517514,-0.00014922771371143656,-0.010644243373635419,-0.03839218479776266,-0.025879468166777195,0.017644757106013678,-0.035588765346750706,-0.024744763451144656,0.019418079453080574
2022-11-01,-0.04910086928508058,0.06368329849118025,-0.020863785690900683,-0.05944970231672795,-0.060594753821881224,0.05851151450524737,0.12265893413385506,0.028366578502219894,-0.031706813717474545,0.1114193957045521,-0.06120049109494014,-0.060790647729245924
2022-12-01,0.004882025736440375,-0.013166585725108823,0.02041927714408471,0.006919369439068863,0.007596670292975802,0.024779216059718192,0.035743515770821986,0.04558284530850711,-0.019076709522694267,0.043712752885894934,-0.005660310658702921,-0.05399769506319805
