Date,MXTR
2021-04,0.0149
2021-05,0.015600000000000001
2021-06,-0.0374
2021-07,0.0693
2021-08,0.09269999999999999
2021-09,-0.1265
2021-10,0.0070999999999999995
2021-11,-0.1519
2021-12,0.045700000000000005
2022-01,0.049400000000000006
2022-02,-0.0097
2022-03,0.08439999999999999
2022-04,0.0633
2022-05,-0.068
2022-06,-0.0999
2022-07,-0.0123
2022-08,0.2266
2022-09,-0.0391
2022-10,0.2286
2022-11,0.2236
2022-12,0.0833
