Date,MXUS
2011-06,-0.017
2011-07,-0.0195
2011-08,-0.0553
2011-09,-0.0719
2011-10,0.1099
2011-11,-0.0027
2011-12,0.0095
2012-01,0.0471
2012-02,0.0441
2012-03,0.032
2012-04,-0.006
2012-05,-0.061399999999999996
2012-06,0.0395
2012-07,0.013600000000000001
2012-08,0.0235
2012-09,0.0255
2012-10,-0.018000000000000002
2012-11,0.006500000000000001
2012-12,0.0095
2013-01,0.0529
2013-02,0.0128
2013-03,0.037599999999999995
2013-04,0.019799999999999998
2013-05,0.021099999999999997
2013-06,-0.013300000000000001
2013-07,0.0526
2013-08,-0.0276
2013-09,0.0331
2013-10,0.0444
2013-11,0.0285
2013-12,0.0269
2014-01,-0.034
2014-02,0.047
2014-03,0.0069
2014-04,0.006
2014-05,0.0239
2014-06,0.021400000000000002
2014-07,-0.0141
2014-08,0.0401
2014-09,-0.015600000000000001
2014-10,0.0241
2014-11,0.0265
2014-12,-0.0031
2015-01,-0.0282
2015-02,0.058499999999999996
2015-03,-0.0144
2015-04,0.0091
2015-05,0.013300000000000001
2015-06,-0.0189
2015-07,0.02
2015-08,-0.060700000000000004
2015-09,-0.0265
2015-10,0.0825
2015-11,0.0034999999999999996
2015-12,-0.0168
2016-01,-0.053099999999999994
2016-02,-0.0021
2016-03,0.06849999999999999
2016-04,0.0049
2016-05,0.0183
2016-06,0.0026
2016-07,0.0379
2016-08,0.0015
2016-09,0.0011
2016-10,-0.019
2016-11,0.0361
2016-12,0.0187
2017-01,0.0207
2017-02,0.0393
2017-03,0.0014000000000000002
2017-04,0.0108
2017-05,0.013600000000000001
2017-06,0.0063
2017-07,0.0204
2017-08,0.0033
2017-09,0.0204
2017-10,0.0229
2017-11,0.0304
2017-12,0.0108
2018-01,0.0574
2018-02,-0.036699999999999997
2018-03,-0.024399999999999998
2018-04,0.004
2018-05,0.024399999999999998
2018-06,0.0068000000000000005
2018-07,0.0359
2018-08,0.0331
2018-09,0.0046
2018-10,-0.0694
2018-11,0.0195
2018-12,-0.0901
2019-01,0.08220000000000001
2019-02,0.0335
2019-03,0.018500000000000003
2019-04,0.0401
2019-05,-0.0632
2019-06,0.0702
2019-07,0.0154
2019-08,-0.0174
2019-09,0.0178
2019-10,0.0218
2019-11,0.037599999999999995
2019-12,0.029300000000000003
2020-01,0.002
2020-02,-0.0815
2020-03,-0.1268
2020-04,0.1315
2020-05,0.052000000000000005
2020-06,0.022799999999999997
2020-07,0.0594
2020-08,0.0751
2020-09,-0.0373
2020-10,-0.026000000000000002
2020-11,0.1157
2020-12,0.0412
2021-01,-0.009300000000000001
2021-02,0.026099999999999998
2021-03,0.037599999999999995
2021-04,0.054400000000000004
2021-05,0.0048
2021-06,0.0278
2021-07,0.0236
2021-08,0.029500000000000002
2021-09,-0.0472
2021-10,0.0697
2021-11,-0.0101
2021-12,0.0395
2022-01,-0.056600000000000004
2022-02,-0.029300000000000003
2022-03,0.0352
2022-04,-0.0907
2022-05,-0.0022
2022-06,-0.0828
2022-07,0.0933
2022-08,-0.0392
2022-09,-0.09269999999999999
2022-10,0.0794
2022-11,0.054400000000000004
2022-12,-0.0588
