Date,MXMX
2021-02,0.0042
2021-03,0.08380000000000001
2021-04,0.028900000000000002
2021-05,0.0814
2021-06,-0.0183
2021-07,0.0232
2021-08,0.0558
2021-09,-0.060700000000000004
2021-10,-0.0017000000000000001
2021-11,-0.0581
2021-12,0.1313
2022-01,-0.0525
2022-02,0.049400000000000006
2022-03,0.0928
2022-04,-0.1103
2022-05,0.0582
2022-06,-0.09789999999999999
2022-07,-0.0005
2022-08,-0.0495
2022-09,-0.0040999999999999995
2022-10,0.1386
2022-11,0.060700000000000004
2022-12,-0.0673
