Security,USDIDR BGN Curncy
Start Date,11/29/1991 0:00
End Date,9/29/2023 0:00
Period,M
Pricing Source,BGN
,
Date,PX_LAST
1/31/2002,10313
12/31/2001,10400
11/30/2001,10465
10/31/2001,10475
9/28/2001,9715
8/31/2001,8863
7/31/2001,9500
6/29/2001,11390
5/31/2001,11125
4/30/2001,11600
3/30/2001,10425
2/28/2001,9855
1/31/2001,9440
12/29/2000,9675
11/30/2000,9535
10/31/2000,9325
9/29/2000,8775
8/31/2000,8325
7/31/2000,8945
6/30/2000,8760
5/31/2000,8595
4/28/2000,7925
3/31/2000,7580
2/29/2000,7440
1/31/2000,7445
12/31/1999,7100
11/30/1999,7325
10/29/1999,6825
9/30/1999,8300
8/31/1999,7675
7/30/1999,6880
6/30/1999,6705
5/31/1999,8115
4/30/1999,8065
3/31/1999,8725
2/26/1999,8850
1/29/1999,8875
12/31/1998,8000
11/30/1998,7400
10/30/1998,7700
9/30/1998,10850
8/31/1998,11150
7/31/1998,13300
6/30/1998,14950
5/29/1998,11550
4/30/1998,8075
3/31/1998,8550
2/27/1998,8950
1/30/1998,12500
12/31/1997,5403
11/28/1997,3645
10/31/1997,3615
9/30/1997,3269
8/29/1997,2935
7/31/1997,2600
6/30/1997,2432
5/30/1997,2435
4/30/1997,2430
3/31/1997,2402
2/28/1997,2398
1/31/1997,2375
12/31/1996,2363
11/29/1996,2344
10/31/1996,2329
9/30/1996,2322
8/30/1996,2342
7/31/1996,2353
6/28/1996,2327
5/31/1996,2332
4/30/1996,2329
3/29/1996,2337
2/29/1996,2313
1/31/1996,2291
12/29/1995,2287
11/30/1995,2285
10/31/1995,2269
9/29/1995,2265
8/31/1995,2266
7/31/1995,2234
6/30/1995,2227
5/31/1995,2227
4/28/1995,2233
3/31/1995,2236
2/28/1995,2216
1/31/1995,2216
12/30/1994,2199
11/30/1994,2178
10/31/1994,2171
9/30/1994,2174
8/31/1994,2173
7/29/1994,2164
6/30/1994,2168
5/31/1994,2164
4/29/1994,2156
3/31/1994,2149
2/28/1994,2143
1/31/1994,2113
12/31/1993,2102
11/30/1993,2101
10/29/1993,2100
9/30/1993,2103
8/31/1993,2103
7/30/1993,2100
6/30/1993,2093
5/31/1993,2080
4/30/1993,2080
3/31/1993,2075
2/26/1993,2064
1/29/1993,2066
12/31/1992,2067
11/30/1992,2063
10/30/1992,2045
9/30/1992,2042
8/31/1992,2031
7/31/1992,2032
6/30/1992,2036
5/29/1992,2029
4/30/1992,2020
3/31/1992,2014
2/28/1992,2010
1/31/1992,2001
12/31/1991,1995
11/29/1991,1980
