Security,USDSAR BGN Curncy
Start Date,12/30/1988 0:00
End Date,9/29/2023 0:00
Period,M
Pricing Source,BGN
,
Date,PX_LAST
4/30/2012,3.7502
3/30/2012,3.7503
2/29/2012,3.7503
1/31/2012,3.7503
12/30/2011,3.7502
11/30/2011,3.7503
10/31/2011,3.7502
9/30/2011,3.7504
8/31/2011,3.7505
7/29/2011,3.7502
6/30/2011,3.7502
5/31/2011,3.7502
4/29/2011,3.7503
3/31/2011,3.7502
2/28/2011,3.7506
1/31/2011,3.7504
12/31/2010,3.7502
11/30/2010,3.7502
10/29/2010,3.7502
9/30/2010,3.7504
8/31/2010,3.7502
7/30/2010,3.7502
6/30/2010,3.7504
5/31/2010,3.7502
4/30/2010,3.7502
3/31/2010,3.7502
2/26/2010,3.7501
1/29/2010,3.7502
12/31/2009,3.7507
11/30/2009,3.7501
10/30/2009,3.75
9/30/2009,3.7502
8/31/2009,3.7502
7/31/2009,3.7501
6/30/2009,3.7502
5/29/2009,3.7502
4/30/2009,3.7502
3/31/2009,3.7503
2/27/2009,3.7494
1/30/2009,3.7525
12/31/2008,3.7531
11/28/2008,3.7516
10/31/2008,3.7513
9/30/2008,3.7576
8/29/2008,3.7503
7/31/2008,3.7503
6/30/2008,3.7498
5/30/2008,3.7506
4/30/2008,3.7502
3/31/2008,3.7516
2/29/2008,3.741
1/31/2008,3.7487
12/31/2007,3.7506
11/30/2007,3.7083
10/31/2007,3.743
9/28/2007,3.7416
8/31/2007,3.7507
7/31/2007,3.7507
6/29/2007,3.7507
5/31/2007,3.7504
4/30/2007,3.7507
3/30/2007,3.7503
2/28/2007,3.7501
1/31/2007,3.7507
12/29/2006,3.7504
11/30/2006,3.7503
10/31/2006,3.7503
9/29/2006,3.7504
8/31/2006,3.7505
7/31/2006,3.7504
6/30/2006,3.75
5/31/2006,3.7505
4/28/2006,3.7507
3/31/2006,3.7507
2/28/2006,3.7511
1/31/2006,3.7511
12/30/2005,3.7503
11/30/2005,3.7512
10/31/2005,3.7504
9/30/2005,3.7529
8/31/2005,3.7502
7/29/2005,3.7502
6/30/2005,3.7502
5/31/2005,3.7503
4/29/2005,3.7508
3/31/2005,3.7503
2/28/2005,3.7502
1/31/2005,3.7503
12/31/2004,3.7502
11/30/2004,3.7503
10/29/2004,3.7508
9/30/2004,3.7502
8/31/2004,3.7507
7/30/2004,3.7502
6/30/2004,3.7502
5/31/2004,3.7502
4/30/2004,3.7503
3/31/2004,3.75
2/27/2004,3.7501
1/30/2004,3.7502
12/31/2003,3.7502
11/28/2003,3.7503
10/31/2003,3.7502
9/30/2003,3.7503
8/29/2003,3.7505
7/31/2003,3.7502
6/30/2003,3.7505
5/30/2003,3.7503
4/30/2003,3.7502
3/31/2003,3.7502
2/28/2003,3.7502
1/31/2003,3.7501
12/31/2002,3.7505
11/29/2002,3.7502
