Date,USDCNY
1998-06,-4.8310929139927516e-05
1998-07,-2.4154881097526726e-05
1998-08,-1.2077294685997053e-05
1998-09,0.00024160425223462845
1998-10,0.0
1998-11,-2.4159841511384172e-05
1998-12,-8.455229559478639e-05
1999-01,0.0001328855493005765
1999-02,-0.00013286789307775937
1999-03,-0.00013285024154585656
1999-04,0.00012078753472644088
1999-05,6.039741499086482e-05
1999-06,-2.4158382354921848e-05
1999-07,0.00015705414743782953
1999-08,4.832668841370236e-05
1999-09,-9.66440358548537e-05
1999-10,0.0
1999-11,-0.00013286789307775937
1999-12,-7.246814421169034e-05
2000-01,0.00021745170760012478
2000-02,-0.00010871403377410438
2000-03,-1.207919117729439e-05
2000-04,-0.0001449292865853824
2000-05,0.0003141120896910099
2000-06,-0.00010871928680156184
2000-07,-0.00012078461687103914
