Date,USDRUB
2009-04,0.02578510898626929
2009-05,0.06879237972231178
2009-06,-0.005864660206017502
2009-07,-0.009906433938038028
2009-08,-0.010301366071231888
2009-09,0.05918628437402118
2009-10,0.030097740438733922
2009-11,-0.004291962821213802
2009-12,-0.025670051606459077
2010-01,-0.010320216685009376
2010-02,0.01334624438619647
2010-03,0.017946669839057794
2010-04,0.005701842843811145
2010-05,-0.05335490656095787
2010-06,-0.009836748425960051
2010-07,0.03325608342989583
2010-08,-0.019439160103623454
2010-09,0.008803012935974852
2010-10,-0.008623208638792623
2010-11,-0.021442073994058952
2010-12,0.03073320889412834
2011-01,0.02504111980128232
2011-02,0.03188375677594757
2011-03,0.015923006545147445
2011-04,0.037728959130612694
2011-05,-0.021761806101307624
2011-06,0.004474457557240408
2011-07,0.009322067659234046
