Date,USDTRY
1999-10,-0.04034941763727118
1999-11,-0.07235191973760358
1999-12,-0.047767775124012535
2000-01,-0.025076123947698425
2000-02,-0.028029247910863586
2000-03,-0.02627563993897264
2000-04,-0.03469153984617912
2000-05,-0.007309941520467822
2000-06,-0.005974487324398425
2000-07,-0.024877971972917745
2000-08,-0.03156450137236966
2000-09,-0.013686268611821206
2000-10,-0.023928361714621316
2000-11,-0.0023432923257175053
2000-12,0.02139117427075532
2001-01,-0.00580011897679944
2001-02,-0.30176531671858775
2001-03,-0.07625899280575532
2001-04,-0.0856065257433557
2001-05,-0.025555555555555665
2001-06,-0.0677290836653387
2001-07,-0.056107099879663
2001-08,-0.027785902310617172
2001-09,-0.10911341280698328
2001-10,-0.03562005277044866
2001-11,0.07590402162892884
2001-12,0.02027446383008069
2002-01,0.10148120015191786
2002-02,-0.057960644007155615
2002-03,0.03587576903120593
2002-04,0.005290611028315961
2002-05,-0.07160152196471803
2002-06,-0.08944881889763778
2002-07,-0.0620384047267355
2002-08,0.03510488655128108
2002-09,-0.017426837329487244
2002-10,-0.008342768607353612
2002-11,0.08995843076123644
2002-12,-0.06978430306325889
2003-01,0.0030301193867039444
2003-02,0.03324984345648074
2003-03,-0.0682613768961493
2003-04,0.09485787288406256
2003-05,0.09513816019587273
2003-06,0.007754670426506793
2003-07,-0.0063047285464097325
2003-08,0.01891506067094939
2003-09,0.00682716492993185
2003-10,-0.06169925826028322
2003-11,0.014363885088919393
2003-12,0.0394596516174901
2004-01,0.0492353599403208
2004-02,0.008653122648607958
2004-03,0.011030810193989993
2004-04,-0.07520754186013778
2004-05,-0.04507893852872025
2004-06,0.0030323450134770447
2004-07,0.012278308321964637
2004-08,-0.02494180246092459
2004-09,-0.0013284623048821498
2004-10,0.018606224627875534
2004-11,0.032483409011526465
2004-12,0.06550055824339407
2005-01,0.006744098913450847
2005-02,0.04014029618082615
2005-03,-0.050333086602516675
2005-04,-0.02910528206970886
2005-05,0.01978746793697317
2005-06,0.025554302893649128
2005-07,0.0034693415793045634
2005-08,-0.014567075436640486
2005-09,-0.00111358574610243
2005-10,-0.0031821209205951106
2005-11,-0.0029513760790967902
2005-12,0.003182827535159083
2006-01,0.020007550018874998
2006-02,0.006841505131129022
2006-03,-0.024326930208410702
2006-04,0.021826449412656546
2006-05,-0.15875039846987582
2006-06,-0.011657214870825383
2006-07,0.05948327658722219
2006-08,0.022457337883958983
2006-09,-0.03332233586275157
2006-10,0.042368801155513
2006-11,0.0008260480484612032
2006-12,0.026207968352642164
2007-01,-0.0019036875132200093
2007-02,0.0015535626015110715
2007-03,0.022676391998266654
2007-04,0.011985675655923345
2007-05,0.036355373778686584
2007-06,0.012500000000000178
2007-07,0.022264032612103968
2007-08,-0.0207277752187931
2007-09,0.07902584493041731
2007-10,0.027929155313351606
2007-11,-0.0011057242493833774
2007-12,0.004871794871794899
2008-01,-0.005609382967873722
2008-02,-0.022026431718061623
2008-03,-0.09138282607053838
2008-04,0.03510006253908693
2008-05,0.04972919743968496
2008-06,-0.006360078277886427
2008-07,0.053698771372110876
2008-08,-0.017308341776426817
2008-09,-0.06703426545884228
2008-10,-0.17687868767425274
2008-11,-0.013243761996161174
2008-12,0.014605647517039966
2009-01,-0.06249999999999989
2009-02,-0.033468619492970864
2009-03,0.021081081081081088
2009-04,0.042384023038878116
2009-05,0.04174003782690905
2009-06,-0.004544569239758434
2009-07,0.04732440334534571
2009-08,-0.019925363188058265
2009-09,0.010641163793103425
2009-10,-0.013684070678889437
2009-11,-0.014339029660184743
2009-12,0.019151207793941083
2010-01,0.0009350788137856281
2010-02,-0.033939863208155785
2010-03,0.02121771217712176
2010-04,0.019755409219190945
2010-05,-0.05390972663699922
2010-06,-0.007257810034711265
2010-07,0.05086881549277078
2010-08,-0.012250245660006542
2010-09,0.05596292197011632
2010-10,0.008863144671644951
2010-11,-0.047527253390055924
2010-12,-0.025584558585400652
2011-01,-0.03764881879947635
2011-02,0.0039424280350439656
2011-03,0.03417033393735447
2011-04,0.015777018143570576
2011-05,-0.045311911635496194
2011-06,-0.018237831176833197
2011-07,-0.0387918270654426
2011-08,-0.015796222895779977
2011-09,-0.07758481638797776
2011-10,0.05013833210998819
2011-11,-0.031179913571467655
2011-12,-0.03321169813316405
2012-01,0.06439628482972126
2012-02,0.015955621640169504
2012-03,-0.019073263772018456
2012-04,0.014397086439424056
2012-05,-0.058908584587371915
2012-06,0.032627329536028205
2012-07,0.007297237076649088
2012-08,-0.012486935474998795
2012-09,0.011630495269894459
2012-10,0.00245453531183748
2012-11,0.0030214861235451362
2012-12,0.002018389773491558
2013-01,0.014100523083921068
2013-02,-0.022073950514317486
2013-03,-0.00651825664254535
2013-04,0.009986610131667017
2013-05,-0.04441008690089032
2013-06,-0.027177013640371284
2013-07,-0.0031537586599111878
2013-08,-0.05097885285314763
2013-09,0.009710180827347203
2013-10,0.010867387820512775
2013-11,-0.011093502377179099
2013-12,-0.060050274648542956
