Date,USDINR
1989-07,-0.0012158054711245425
1989-08,-0.012605042016806789
1989-09,-0.004778972520907865
1989-10,-0.009467455621301801
1989-11,-0.004711425206124997
1989-12,0.005328596802842034
1990-01,-0.004127358490566113
1990-02,-0.006444053895723334
1990-03,-0.0058241118229470645
1990-04,-0.012650948821161467
1990-05,0.002305475504322807
1990-06,-0.005730659025787843
1990-07,0.0057636887608067955
1990-08,-0.007437070938215107
1990-09,-0.03318584070796449
1990-10,-0.003307607497243792
1990-11,0.001103752759381793
1990-12,0.0
1991-01,-0.02580645161290329
1991-02,-0.025157232704402288
1991-03,-0.025038323965253073
1991-04,-0.03310276679841884
1991-05,-0.025517573423206708
1991-06,-0.014705882352941124
1991-07,-0.1804043545878694
1991-08,-0.0007770007770006027
1991-09,-0.005025125628140947
