Date,USDKRW
1996-12,-0.018313711499583718
1997-01,-0.027805075437886684
1997-02,0.005171411969784989
1997-03,-0.03704118173679505
1997-04,0.001849879477549221
1997-05,0.004108972194078797
1997-06,0.003955696202531556
1997-07,0.004313280363223537
1997-08,-0.02328159645232808
1997-09,-0.009987926682032744
1997-10,-0.05222095079579725
1997-11,-0.1677056277056278
1997-12,-0.27812499999999996
1998-01,0.049180327868852514
1998-02,-0.06613594611145135
1998-03,0.18033971810625227
1998-04,0.03632958801498121
1998-05,-0.05117270788912587
1998-06,0.024763292061179998
1998-07,0.11626016260162597
1998-08,-0.0888888888888889
1998-09,-0.02947519769949669
1998-10,0.054586808188021196
1998-11,0.06542810985460434
1998-12,0.028239202657807327
1999-01,0.024680851063829667
1999-02,-0.03905131874872214
