Date,USDEUR
1991-01,0.011536297129994377
1991-02,-0.02550041129695646
1991-03,-0.10623698076216148
1991-04,-0.00499878078517435
1991-05,-0.008701957940536631
1991-06,-0.04446240905416321
1991-07,0.0365094565477615
1991-08,-0.002030820690478885
1991-09,0.05005017561465119
1991-10,-0.006604361370716516
1991-11,0.024511681348142522
1991-12,0.06964358869315856
1992-01,-0.04994810586403753
1992-02,-0.018589253883371293
1992-03,-0.006702921461995692
1992-04,-0.002523022581052081
1992-05,0.03283387622149836
1992-06,0.05108189537113117
1992-07,0.031064670996893362
1992-08,0.04438873322518799
1992-09,-0.03142408227396076
1992-10,-0.08195646472593754
1992-11,-0.03736430194395368
1992-12,-0.020160791589363014
1993-01,0.002852890101711747
1993-02,-0.02984356197352578
1993-03,0.017384916748286017
