Date,USDSAR
2005-06,2.6665244520218678e-05
2005-07,0.0
2005-08,0.0
2005-09,-0.000719443630259442
2005-10,0.0006665955631399711
2005-11,-0.0002132650885048326
2005-12,0.0002399808015358662
2006-01,-0.00021327077390642657
2006-02,0.0
2006-03,0.00010664675927163358
2006-04,0.0
2006-05,5.332622317033575e-05
2006-06,0.00013333333333331865
2006-07,-0.00010665529010234209
2006-08,-2.6663111585056853e-05
2006-09,2.66638225254745e-05
2006-10,2.666453350408382e-05
2006-11,0.0
2006-12,-2.6663822525585523e-05
2007-01,-7.998506945372519e-05
2007-02,0.0001599957334470492
2007-03,-5.3329067007945596e-05
2007-04,-0.00010664675927163358
2007-05,7.999146757686759e-05
2007-06,-7.998506945372519e-05
2007-07,0.0
2007-08,0.0
2007-09,0.0024321146033781105
