Date,USDAUD
1987-06,0.009219909241518387
1987-07,-0.03126090293768735
1987-08,0.020944646291942703
1987-09,0.009856115107913732
1987-10,-0.06074734779377
1987-11,0.04365303244005658
1987-12,0.024492449967487673
1988-01,-0.012062812276944945
1988-02,0.008421507233858705
1988-03,0.026449944588105012
1988-04,0.026623179611650505
1988-05,0.06142822639078993
1988-06,-0.013736700015880565
1988-07,0.013193885760257373
1988-08,0.0029855563624625603
1988-09,-0.02975025444296564
1988-10,0.05457397622192883
1988-11,0.0635756937126799
1988-12,-0.02575070579177008
1989-01,0.039114587963374525
1989-02,-0.09842109481445871
1989-03,0.022453495042202842
1989-04,-0.030815661980780007
1989-05,-0.05252464444277205
1989-06,0.004611430299364949
1989-07,0.006008061449539914
1989-08,0.005890452876377017
