Date,USDZAR
1987-07,-0.012255729794933612
1987-08,0.015533124264994091
1987-09,-0.017334360554699613
1987-10,0.030107633549923296
1987-11,0.03527780630584343
1987-12,0.008754208754208737
1988-01,-0.030873493975903443
1988-02,-0.04583991952866795
1988-03,-0.01755294117647066
1988-04,-0.013692271988860472
1988-05,-0.03816964285714297
1988-06,-0.03862660944205998
1988-07,-0.04703476482617586
1988-08,-0.0020408163265307477
1988-09,-0.018036072144288595
1988-10,-0.004985044865403521
1988-11,0.09116623150565695
1988-12,-0.03587161736941469
1989-01,-0.008527454242928445
1989-02,-0.03181635118807902
1989-03,-0.03121342177136177
1989-04,0.0005855943782939743
1989-05,-0.06514598540145977
1989-06,-0.014388489208633004
1989-07,0.04945262363155889
1989-08,-0.04195298372513556
1989-09,0.02960342580525044
1989-10,0.017620310723759136
