Date,USDGBP
1987-01,0.021196063588190706
1987-02,0.02118119975262811
1987-03,0.03937007874015763
1987-04,0.0333776154101626
1987-05,-0.018738797458041412
1987-06,-0.010161290322580507
1987-07,-0.01352426412092278
1987-08,0.026290006531678456
1987-09,-0.0050365556458163985
1987-10,0.059562747460836674
1987-11,0.06042351223074127
1987-12,0.03319502074688785
1988-01,-0.06209092517247483
1988-02,0.002482709700301511
1988-03,0.06376155442369358
1988-04,-0.00413300770242353
1988-05,-0.02150735294117645
1988-06,-0.07056210490346837
1988-07,0.0008549931600549954
1988-08,-0.016150740242261263
1988-09,0.00507270882651345
1988-10,0.04617017512825061
1988-11,0.04549657850933975
1988-12,-0.020825787758058767
1989-01,-0.03258584442887169
1989-02,-0.004881450488145145
1989-03,-0.03320411259059508
