Date,USDIDR
2007-10,0.0056050115397296985
2007-11,-0.02912932138284241
2007-12,-0.002235707441711976
2008-01,0.013596633214632448
2008-02,0.021607320030867738
2008-03,-0.01711994799003147
2008-04,-0.0003249566724436992
2008-05,-0.008910359634997311
2008-06,0.00942782834850453
2008-07,0.014288854693339292
2008-08,-0.006008958811318799
2008-09,-0.03713444140542821
2008-10,-0.1397285067873303
2008-11,-0.10598705501618122
2008-12,0.11151079136690645
2009-01,-0.022417582417582516
2009-02,-0.05208333333333337
2009-03,0.025641025641025772
2009-04,0.10117647058823542
2009-05,0.032054395337542285
2009-06,0.008522727272727293
2009-07,0.028203062046736393
2009-08,-0.01751608114794656
2009-09,0.04552509053285059
2009-10,0.008346374543557689
2009-11,0.013106436951696443
2009-12,0.0060612505316886
2010-01,0.005452795894365314
