Date,USDARS
2009-05,-0.009284208841341401
2009-06,-0.01246179787121926
2009-07,-0.009757370206104898
2009-08,-0.005552096305521004
2009-09,0.0033319450229072345
2009-10,0.006049495875343869
2009-11,0.0017051416579223488
2009-12,0.0034219531455643715
2010-01,-0.0082234695209501
2010-02,-0.007205245833657337
2010-03,-0.005285139733938404
2010-04,-0.0023919137882255637
2010-05,-0.00435328160610482
2010-06,-0.006462282152397858
2010-07,-0.0026136825010150133
2010-08,-0.002657353276137031
2010-09,-0.0020709685566359104
2010-10,0.0011884292505308647
2010-11,-0.007503701658845174
2010-12,0.0015080302611405472
2011-01,-0.0061945797427249705
2011-02,-0.006600332497952999
2011-03,-0.00533109558950573
2011-04,-0.006522325478753199
2011-05,-0.0015912651782219456
2011-06,-0.005768528660094807
2011-07,-0.008039982616253716
