Date,Gold
2014-01,0.030699999999999998
2014-02,0.066
2014-03,-0.0287
2014-04,0.0095
2014-05,-0.0387
2014-06,0.061
2014-07,-0.030699999999999998
2014-08,0.0036
2014-09,-0.058899999999999994
2014-10,-0.033
2014-11,0.0026
2014-12,0.0073
2015-01,0.0796
2015-02,-0.051699999999999996
2015-03,-0.0255
2015-04,-0.0007000000000000001
2015-05,0.0054
2015-06,-0.0151
2015-07,-0.0673
2015-08,0.0342
2015-09,-0.0152
2015-10,0.0235
2015-11,-0.0673
2015-12,-0.0046
2016-01,0.0529
2016-02,0.106
2016-03,0.0003
2016-04,0.0446
2016-05,-0.0582
2016-06,0.0849
2016-07,0.0225
2016-08,-0.0337
2016-09,0.0046
2016-10,-0.0331
2016-11,-0.0801
2016-12,-0.018500000000000003
2017-01,0.049699999999999994
2017-02,0.0355
2017-03,-0.0043
2017-04,0.0143
2017-05,0.0034999999999999996
2017-06,-0.025099999999999997
2017-07,0.02
2017-08,0.0392
2017-09,-0.0275
2017-10,-0.0102
2017-11,0.0025
2017-12,0.026600000000000002
2018-01,0.023399999999999997
2018-02,-0.0176
2018-03,0.0040999999999999995
2018-04,-0.0045000000000000005
2018-05,-0.0141
2018-06,-0.037000000000000005
2018-07,-0.023700000000000002
2018-08,-0.020099999999999996
2018-09,-0.0070999999999999995
2018-10,0.0178
2018-11,0.0060999999999999995
2018-12,0.0473
2019-01,0.031200000000000002
2019-02,-0.005
2019-03,-0.016399999999999998
2019-04,-0.0077
2019-05,0.0171
2019-06,0.0801
2019-07,0.0101
2019-08,0.0655
2019-09,-0.0353
2019-10,0.029900000000000003
2019-11,-0.031200000000000002
2019-12,0.0356
2020-01,0.0397
2020-02,-0.012199999999999999
2020-03,0.0177
2020-04,0.0613
2020-05,0.027200000000000002
2020-06,0.027999999999999997
2020-07,0.0855
2020-08,-0.0036
2020-09,-0.04190000000000001
2020-10,-0.008100000000000001
2020-11,-0.055999999999999994
2020-12,0.0642
2021-01,-0.025699999999999997
2021-02,-0.06559999999999999
2021-03,-0.0092
2021-04,0.0304
2021-05,0.0766
2021-06,-0.0701
2021-07,0.0235
2021-08,0.0005
2021-09,-0.0336
2021-10,0.015300000000000001
2021-11,-0.0053
2021-12,0.0294
2022-01,-0.018799999999999997
2022-02,0.0583
2022-03,0.0265
2022-04,-0.021
2022-05,-0.0361
2022-06,-0.021
2022-07,-0.023399999999999997
2022-08,-0.028900000000000002
2022-09,-0.028900000000000002
2022-10,-0.015600000000000001
2022-11,0.0677
2022-12,0.0414
