Date,Orange Juice
2018-12,-0.1234
2019-01,-0.0433
2019-02,-0.0239
2019-03,0.0242
2019-04,-0.2147
2019-05,0.1192
2019-06,-0.0613
2019-07,-0.0038
2019-08,-0.022400000000000003
2019-09,-0.0369
2019-10,-0.0385
2019-11,-0.0013
2019-12,-0.015700000000000002
2020-01,-0.0368
2020-02,-0.028399999999999998
2020-03,0.25329999999999997
2020-04,-0.0877
2020-05,0.1012
2020-06,0.0371
2020-07,-0.051699999999999996
2020-08,-0.0659
2020-09,-0.0265
2020-10,-0.0070999999999999995
2020-11,0.126
2020-12,-0.0361
2021-01,-0.11869999999999999
2021-02,-0.0072
2021-03,-0.0103
2021-04,-0.0137
2021-05,0.0599
2021-06,0.0151
2021-07,0.0796
2021-08,0.0076
2021-09,-0.0325
2021-10,-0.09
2021-11,-0.0012
2021-12,0.1334
2022-01,0.055099999999999996
2022-02,-0.044000000000000004
2022-03,0.0709
2022-04,0.2091
2022-05,-0.0161
2022-06,0.0052
2022-07,-0.0043
2022-08,0.1105
2022-09,0.0353
2022-10,0.086
2022-11,0.0015
2022-12,0.09630000000000001
