Date,WTI Crude Oil
2017-03,-0.0698
2017-04,-0.032
2017-05,-0.0254
2017-06,-0.051100000000000007
2017-07,0.0848
2017-08,-0.049400000000000006
2017-09,0.0782
2017-10,0.045899999999999996
2017-11,0.0525
2017-12,0.0537
2018-01,0.0724
2018-02,-0.0407
2018-03,0.0579
2018-04,0.060899999999999996
2018-05,-0.0194
2018-06,0.0885
2018-07,-0.049400000000000006
2018-08,0.027000000000000003
2018-09,0.057699999999999994
2018-10,-0.1016
2018-11,-0.2202
2018-12,-0.10779999999999999
2019-01,0.179
2019-02,0.0555
2019-03,0.045899999999999996
2019-04,0.0659
2019-05,-0.16210000000000002
2019-06,0.08789999999999999
2019-07,0.003
2019-08,-0.0565
2019-09,-0.013300000000000001
2019-10,0.0069
2019-11,0.0182
2019-12,0.1105
2020-01,-0.15039999999999998
2020-02,-0.1359
2020-03,-0.544
2020-04,-0.24
2020-05,0.496
2020-06,0.08689999999999999
2020-07,0.023799999999999998
2020-08,0.050499999999999996
2020-09,-0.062400000000000004
2020-10,-0.11539999999999999
2020-11,0.25429999999999997
2020-12,0.06509999999999999
2021-01,0.0735
2021-02,0.18109999999999998
2021-03,-0.0338
2021-04,0.0736
2021-05,0.044800000000000006
2021-06,0.10869999999999999
2021-07,0.0163
2021-08,-0.0694
2021-09,0.0992
2021-10,0.1072
2021-11,-0.1907
2021-12,0.1388
2022-01,0.17739999999999997
2022-02,0.0951
2022-03,0.0729
2022-04,0.0395
2022-05,0.1149
2022-06,-0.0596
2022-07,-0.0418
2022-08,-0.0788
2022-09,-0.1048
2022-10,0.1105
2022-11,-0.0535
2022-12,-0.0022
