Date,Soybean Oil
2018-05,0.018000000000000002
2018-06,-0.06559999999999999
2018-07,-0.0131
2018-08,-0.016399999999999998
2018-09,0.009300000000000001
2018-10,-0.0315
2018-11,-0.0044
2018-12,-0.014199999999999999
2019-01,0.08560000000000001
2019-02,-0.0062
2019-03,-0.060700000000000004
2019-04,-0.0256
2019-05,-0.0084
2019-06,0.0226
2019-07,-0.0189
2019-08,0.0222
2019-09,0.011000000000000001
2019-10,0.0583
2019-11,-0.011399999999999999
2019-12,0.1288
2020-01,-0.1378
2020-02,-0.052199999999999996
2020-03,-0.057800000000000004
2020-04,-0.0281
2020-05,0.0294
2020-06,0.019
2020-07,0.0678
2020-08,0.0684
2020-09,0.0083
2020-10,0.009300000000000001
2020-11,0.12050000000000001
2020-12,0.13570000000000002
2021-01,0.0524
2021-02,0.1361
2021-03,0.059699999999999996
2021-04,0.2236
2021-05,0.0545
2021-06,0.0217
2021-07,0.0045000000000000005
2021-08,-0.068
2021-09,-0.001
2021-10,0.0412
2021-11,-0.0956
2021-12,0.023
2022-01,0.14679999999999999
2022-02,0.1186
2022-03,-0.0352
2022-04,0.2303
2022-05,-0.0736
2022-06,-0.12539999999999998
2022-07,0.0204
2022-08,0.0302
2022-09,-0.08539999999999999
2022-10,0.1815
2022-11,0.0215
2022-12,-0.095
