Date,Platinum
2021-07,-0.022799999999999997
2021-08,-0.0327
2021-09,-0.0537
2021-10,0.060599999999999994
2021-11,-0.0915
2021-12,0.041100000000000005
2022-01,0.056600000000000004
2022-02,0.0178
2022-03,-0.0394
2022-04,-0.0559
2022-05,0.031400000000000004
2022-06,-0.07629999999999999
2022-07,-0.0044
2022-08,-0.0683
2022-09,0.0416
2022-10,0.086
2022-11,0.1213
2022-12,0.043
