Date,Brazil_IRS2
2018-06,0.039321317431369573
2018-07,-0.0036947179023384402
2018-08,0.030247048678176958
2018-09,-0.01941191546873755
2018-10,-0.06279658087244866
2018-11,-0.052980214536145875
2018-12,-0.0691697083416074
2019-01,0.023961146643177278
2019-02,-0.0008469192962849981
2019-03,-0.03348065227226771
2019-04,0.003996575344404452
2019-05,-0.08557597920328008
2019-06,-0.08211233211385971
2019-07,-0.044395213554679125
2019-08,-0.049986082801702025
2019-09,-0.08707749636669182
2019-10,-0.07356614903082759
2019-11,0.0335005708917242
2019-12,0.046971395678214956
2020-01,-0.09877005113477189
2020-02,-0.108506749797187
2020-03,-0.20427010652050992
2020-04,-0.12544435655364172
2020-05,-0.07670311135582919
2020-06,-0.057162711690189716
2020-07,-0.01103227192237699
2020-08,0.06553607234652992
