Date,South_Africa_IRS10
2011-09,-0.05756515761166259
2011-10,-0.030575132853427722
2011-11,-0.013146509188938671
2011-12,0.008974205748246256
2012-01,0.004127887702048083
2012-02,0.06556323307314349
2012-03,-0.010704546343728194
2012-04,-0.02402629711701887
2012-05,-0.08844809776544671
2012-06,-0.010049340729796685
2012-07,-0.09370705577614669
2012-08,0.00042731829573927627
2012-09,0.014815037337367665
2012-10,0.010403592166450482
2012-11,-0.051492202072285886
2012-12,0.025393257501842292
2013-01,-0.025663156321414582
2013-02,-0.010484848409042291
2013-03,0.005452703942199433
2013-04,-0.05581919931540569
2013-05,0.027460627565468076
2013-06,0.08250323230631218
2013-07,0.030528159657679632
2013-08,-0.01696385921612875
2013-09,-0.020652330416617515
2013-10,-0.010592974698432567
2013-11,0.03094174944170658
