Date,Australia_IRS10
2004-05,-0.012660188957577367
2004-06,-0.03783605867584938
2004-07,0.006153817127619199
2004-08,-0.03912995456181312
2004-09,0.03050891840495562
2004-10,0.009741834050869036
2004-11,0.006105572300795892
2004-12,0.0389480374866531
2005-01,-0.002830747084727636
2005-02,0.06747923436229009
2005-03,-0.029397790140514246
2005-04,-0.02275876439026936
2005-05,-0.07376427441279731
2005-06,-0.0043143671936544115
2005-07,0.014005611119177086
2005-08,-0.04378869692189946
2005-09,0.08837526478842062
2005-10,-0.0060347502327023905
2005-11,-0.02303077928189312
2005-12,-0.03338648817829226
2006-01,0.05042705066875586
2006-02,-0.03570349314343113
2006-03,-0.013423237273243016
2006-04,0.11500901919740181
2006-05,0.0016022810465070592
2006-06,-0.011702589698696975
2006-07,0.04645241899370989
