Date,Mexico_IRS10
2018-04,-0.014542653547377271
2018-05,-0.017864172377602405
2018-06,-0.011491502888587246
2018-07,0.0795782237842626
2018-08,-0.013335067007920087
2018-09,0.022075744826264954
2018-10,0.011512994377148589
2018-11,0.022933069018623353
2018-12,-0.010552667979697672
2019-01,-0.010461337814389626
2019-02,-0.023093232743688685
2019-03,-0.03950322775479165
2019-04,0.03112178146938871
2019-05,-0.044832831304978615
2019-06,-0.042750913252389444
2019-07,-0.01001316243712691
2019-08,-0.11720184566639191
2019-09,0.0011915515379503638
2019-10,-0.001101281974428936
2019-11,0.030908456563095932
2019-12,0.014028727900811777
2020-01,-0.025155314043162624
2020-02,-0.021081739879770578
2020-03,-0.1363495671173629
2020-04,-0.11562410255655997
2020-05,0.03336975577353374
2020-06,-0.09247415430421757
