Date,Canada_G1
2005-09,-0.019097962315627992
2005-10,-0.013298565840938692
2005-11,0.0076638477801269644
2005-12,-8.742022904106861e-05
2006-01,-0.012764469312816829
2006-02,0.002745306411618964
2006-03,-0.013335688421796443
2006-04,-0.013157894736842146
2006-05,0.0031746031746031633
2006-06,-0.0024412296564194635
2006-07,0.021209099972808954
2006-08,0.017484689802076847
2006-09,0.004361479413817149
2006-10,-0.0025186729199235813
2006-11,0.008619939050936054
2006-12,-0.017437845303867494
2007-01,-0.006852925672113708
2007-02,0.01220806794055207
2007-03,-0.009351511973431315
2007-04,-0.002823114247904712
2007-05,-0.021941077590020397
2007-06,0.002442333785617423
2007-07,0.0022559104854720236
2007-08,0.009543531106509517
2007-09,0.002675465976991198
2007-10,0.00320199235079599
2007-11,0.02500221650855572
