Date,England_G1
1998-12,0.016995473567341213
1999-01,0.009909304669130092
1999-02,-0.03334442042241814
1999-03,0.009376344086021504
1999-04,-0.010397136526333672
1999-05,-0.018601446779194064
1999-06,-0.023253773253773202
1999-07,-0.020842691582068196
1999-08,0.014771997430957029
1999-09,-0.037522603978300095
1999-10,0.014091122592766459
1999-11,0.010189902732746559
1999-12,0.021641448876662084
2000-01,-0.01696436585584782
2000-02,0.023009495982469153
2000-03,0.01312031417350945
2000-04,0.001673861333803206
2000-05,0.0031662269129286713
2000-06,-0.0028055409433631606
2000-07,-0.0031651134165641137
2000-08,-0.008290703827835588
2000-09,0.007381714692280328
2000-10,0.0030899620376092507
2000-11,0.019626826262981734
2000-12,-0.0034527406128613825
2001-01,0.002338674750974379
2001-02,-0.0031973729692361674
