Date,Germany_G1
2006-11,0.043794158217803636
2006-12,-0.025554865591596476
2007-01,-0.022658664068690992
2007-02,0.027801522647725063
2007-03,-0.00041021947392383407
2007-04,0.015363121311122052
2007-05,-0.03426857108649117
2007-06,-0.004913135762376064
2007-07,0.029714736581287537
2007-08,0.004846148594669586
2007-09,0.03392625745656552
2007-10,0.02201908005225439
2007-11,0.02587093513987271
2007-12,-0.010498004702422015
2008-01,0.04125747269818403
2008-02,0.025194753388555036
2008-03,0.0321677361135857
2008-04,-0.03127511892647594
2008-05,-0.020738448268873166
2008-06,0.00033391809244465165
2008-07,0.008169239041007081
2008-08,-0.0471607965460521
2008-09,-0.031615098234635264
2008-10,-0.08857503386003962
2008-11,0.04614057137519412
2008-12,0.14172154396461623
2009-01,-0.10923671721968287
