Date,Japan_G1
2001-10,-0.01566110909091989
2001-11,-0.014507495066034215
2001-12,-0.07246401700238969
2002-01,-0.03621511648569953
2002-02,0.015085725791658122
2002-03,0.012008644805120205
2002-04,0.03761164313732768
2002-05,0.03761344554718837
2002-06,0.0401329223975202
2002-07,-0.0010918113339934976
2002-08,0.025891659141254353
2002-09,-0.033696102889694046
2002-10,0.005721720250622786
2002-11,0.0006254723874028478
2002-12,0.030999321716154382
2003-01,-0.003917384994756246
2003-02,0.017901682207233538
2003-03,-0.0008930552447686813
2003-04,-0.002895800480141819
2003-05,0.004806589973545883
2003-06,-0.026455925621892917
2003-07,-0.00418562890322427
2003-08,-0.0012982735951819757
2003-09,0.045404507803473715
2003-10,0.014041479453625438
2003-11,0.014103647059224622
2003-12,0.01767852056266772
2004-01,0.023113824145122308
