Date,United_States_CPI_Growth
1974-04,10.09
1974-05,10.71
1974-06,10.86
1974-07,11.51
1974-08,10.86
1974-09,11.95
1974-10,12.06
1974-11,12.2
1974-12,12.34
1975-01,11.8
1975-02,11.23
1975-03,10.25
1975-04,10.21
1975-05,9.47
1975-06,9.39
1975-07,9.72
1975-08,8.6
1975-09,7.91
1975-10,7.44
1975-11,7.38
1975-12,6.94
1976-01,6.72
1976-02,6.29
1976-03,6.07
1976-04,6.05
1976-05,6.2
1976-06,5.97
1976-07,5.35
1976-08,5.71
1976-09,5.49
1976-10,5.46
1976-11,4.88
1976-12,4.86
1977-01,5.22
1977-02,5.91
1977-03,6.44
1977-04,6.95
1977-05,6.73
1977-06,6.87
1977-07,6.83
1977-08,6.62
1977-09,6.6
1977-10,6.39
1977-11,6.72
1977-12,6.7
1978-01,6.84
1978-02,6.43
1978-03,6.55
1978-04,6.5
1978-05,6.97
1978-06,7.41
1978-07,7.7
1978-08,7.84
1978-09,8.31
1978-10,8.93
1978-11,8.89
1978-12,9.02
1979-01,9.28
1979-02,9.86
1979-03,10.09
1979-04,10.49
1979-05,10.85
1979-06,10.89
1979-07,11.26
1979-08,11.82
1979-09,12.18
1979-10,12.07
1979-11,12.61
1979-12,13.29
1980-01,13.91
1980-02,14.18
1980-03,14.76
1980-04,14.73
1980-05,14.41
1980-06,14.38
1980-07,13.13
1980-08,12.87
1980-09,12.6
1980-10,12.77
1980-11,12.65
1980-12,12.52
1981-01,11.83
1981-02,11.41
1981-03,10.49
1981-04,10.0
1981-05,9.78
1981-06,9.55
1981-07,10.76
1981-08,10.8
1981-09,10.95
1981-10,10.14
1981-11,9.59
1981-12,8.92
1982-01,8.39
1982-02,7.62
1982-03,6.78
1982-04,6.51
1982-05,6.68
1982-06,7.06
1982-07,6.44
1982-08,5.85
1982-09,5.04
1982-10,5.14
1982-11,4.59
1982-12,3.83
1983-01,3.71
1983-02,3.49
1983-03,3.6
1983-04,3.9
1983-05,3.55
1983-06,2.58
1983-07,2.46
1983-08,2.56
1983-09,2.86
1983-10,2.85
1983-11,3.27
1983-12,3.79
1984-01,4.19
1984-02,4.6
1984-03,4.8
1984-04,4.56
1984-05,4.23
1984-06,4.22
1984-07,4.2
1984-08,4.29
1984-09,4.27
1984-10,4.26
1984-11,4.05
1984-12,3.95
1985-01,3.53
1985-02,3.52
1985-03,3.7
1985-04,3.69
1985-05,3.77
1985-06,3.76
1985-07,3.55
1985-08,3.35
1985-09,3.14
1985-10,3.23
1985-11,3.51
1985-12,3.8
1986-01,3.89
1986-02,3.11
1986-03,2.26
1986-04,1.59
1986-05,1.49
1986-06,1.77
1986-07,1.58
1986-08,1.57
1986-09,1.75
1986-10,1.47
1986-11,1.28
1986-12,1.1
1987-01,1.46
1987-02,2.1
1987-03,3.03
1987-04,3.78
1987-05,3.86
1987-06,3.65
1987-07,3.93
1987-08,4.28
1987-09,4.36
1987-10,4.53
1987-11,4.53
1987-12,4.43
1988-01,4.05
1988-02,3.94
1988-03,3.93
1988-04,3.9
1988-05,3.89
1988-06,3.96
1988-07,4.13
1988-08,4.02
1988-09,4.17
1988-10,4.25
1988-11,4.25
1988-12,4.42
1989-01,4.67
1989-02,4.83
1989-03,4.98
1989-04,5.12
1989-05,5.36
1989-06,5.17
1989-07,4.98
1989-08,4.71
1989-09,4.34
1989-10,4.49
1989-11,4.66
1989-12,4.65
1990-01,5.2
1990-02,5.26
1990-03,5.23
1990-04,4.71
1990-05,4.36
1990-06,4.67
1990-07,4.82
1990-08,5.62
1990-09,6.16
1990-10,6.29
1990-11,6.27
1990-12,6.11
1991-01,5.65
1991-02,5.31
1991-03,4.9
1991-04,4.89
1991-05,4.95
1991-06,4.7
1991-07,4.45
1991-08,3.8
1991-09,3.39
1991-10,2.92
1991-11,2.99
1991-12,3.06
1992-01,2.6
1992-02,2.82
1992-03,3.19
1992-04,3.18
1992-05,3.02
1992-06,3.09
1992-07,3.16
1992-08,3.15
1992-09,2.99
1992-10,3.2
1992-11,3.05
1992-12,2.9
1993-01,3.26
1993-02,3.25
1993-03,3.09
1993-04,3.23
1993-05,3.22
1993-06,3.0
1993-07,2.78
1993-08,2.77
1993-09,2.69
1993-10,2.75
1993-11,2.68
1993-12,2.75
1994-01,2.52
1994-02,2.52
1994-03,2.51
1994-04,2.36
1994-05,2.29
1994-06,2.49
1994-07,2.77
1994-08,2.9
1994-09,2.96
1994-10,2.61
1994-11,2.67
1994-12,2.67
1995-01,2.8
1995-02,2.86
1995-03,2.85
1995-04,3.05
1995-05,3.19
1995-06,3.04
1995-07,2.76
1995-08,2.62
1995-09,2.54
1995-10,2.81
1995-11,2.61
1995-12,2.54
1996-01,2.73
1996-02,2.65
1996-03,2.84
1996-04,2.9
1996-05,2.89
1996-06,2.75
1996-07,2.95
1996-08,2.88
1996-09,3.0
1996-10,2.99
1996-11,3.26
1996-12,3.32
1997-01,3.04
1997-02,3.03
1997-03,2.76
1997-04,2.5
1997-05,2.23
1997-06,2.3
1997-07,2.23
1997-08,2.23
1997-09,2.15
1997-10,2.08
1997-11,1.83
1997-12,1.7
1998-01,1.57
1998-02,1.44
1998-03,1.37
1998-04,1.44
1998-05,1.69
1998-06,1.68
1998-07,1.68
1998-08,1.62
1998-09,1.49
1998-10,1.49
1998-11,1.55
1998-12,1.61
1999-01,1.67
1999-02,1.61
1999-03,1.73
1999-04,2.28
1999-05,2.09
1999-06,1.96
1999-07,2.14
1999-08,2.26
1999-09,2.63
1999-10,2.56
1999-11,2.62
1999-12,2.68
2000-01,2.74
2000-02,3.22
2000-03,3.76
2000-04,3.07
2000-05,3.19
2000-06,3.73
2000-07,3.66
2000-08,3.41
2000-09,3.45
2000-10,3.45
2000-11,3.45
2000-12,3.39
2001-01,3.73
2001-02,3.53
2001-03,2.92
2001-04,3.27
2001-05,3.62
2001-06,3.25
2001-07,2.72
2001-08,2.72
2001-09,2.65
2001-10,2.13
2001-11,1.9
2001-12,1.55
2002-01,1.14
2002-02,1.14
2002-03,1.48
2002-04,1.64
2002-05,1.18
2002-06,1.07
2002-07,1.46
2002-08,1.8
2002-09,1.51
2002-10,2.03
2002-11,2.2
2002-12,2.38
2003-01,2.6
2003-02,2.98
2003-03,3.02
2003-04,2.22
2003-05,2.06
2003-06,2.11
2003-07,2.11
2003-08,2.16
2003-09,2.32
2003-10,2.04
2003-11,1.77
2003-12,1.88
2004-01,1.93
2004-02,1.69
2004-03,1.74
2004-04,2.29
2004-05,3.05
2004-06,3.27
2004-07,2.99
2004-08,2.65
2004-09,2.54
2004-10,3.19
2004-11,3.52
2004-12,3.26
2005-01,2.97
2005-02,3.01
2005-03,3.15
2005-04,3.51
2005-05,2.8
2005-06,2.53
2005-07,3.17
2005-08,3.64
2005-09,4.69
2005-10,4.35
2005-11,3.46
2005-12,3.42
2006-01,3.99
2006-02,3.6
2006-03,3.36
2006-04,3.55
2006-05,4.17
2006-06,4.32
2006-07,4.15
2006-08,3.82
2006-09,2.06
2006-10,1.31
2006-11,1.97
2006-12,2.54
2007-01,2.08
2007-02,2.42
2007-03,2.78
2007-04,2.57
2007-05,2.69
2007-06,2.69
2007-07,2.36
2007-08,1.97
2007-09,2.76
2007-10,3.54
2007-11,4.31
2007-12,4.08
2008-01,4.28
2008-02,4.03
2008-03,3.98
2008-04,3.94
2008-05,4.18
2008-06,5.02
2008-07,5.6
2008-08,5.37
2008-09,4.94
2008-10,3.66
2008-11,1.07
2008-12,0.09
2009-01,0.03
2009-02,0.24
2009-03,-0.38
2009-04,-0.74
2009-05,-1.28
2009-06,-1.43
2009-07,-2.1
2009-08,-1.48
2009-09,-1.29
2009-10,-0.18
2009-11,1.84
2009-12,2.72
2010-01,2.63
2010-02,2.14
2010-03,2.31
2010-04,2.24
2010-05,2.02
2010-06,1.05
2010-07,1.24
2010-08,1.15
2010-09,1.14
2010-10,1.17
2010-11,1.14
2010-12,1.5
2011-01,1.63
2011-02,2.11
2011-03,2.68
2011-04,3.16
2011-05,3.57
2011-06,3.56
2011-07,3.63
2011-08,3.77
2011-09,3.87
2011-10,3.53
2011-11,3.39
2011-12,2.96
2012-01,2.93
2012-02,2.87
2012-03,2.65
2012-04,2.3
2012-05,1.7
2012-06,1.66
2012-07,1.41
2012-08,1.69
2012-09,1.99
2012-10,2.16
2012-11,1.76
2012-12,1.74
2013-01,1.59
2013-02,1.98
2013-03,1.47
2013-04,1.06
2013-05,1.36
2013-06,1.75
2013-07,1.96
2013-08,1.52
2013-09,1.18
2013-10,0.96
2013-11,1.24
2013-12,1.5
2014-01,1.58
2014-02,1.13
2014-03,1.51
2014-04,1.95
2014-05,2.13
2014-06,2.07
2014-07,1.99
2014-08,1.7
2014-09,1.66
2014-10,1.66
2014-11,1.32
2014-12,0.76
2015-01,-0.09
2015-02,-0.03
2015-03,-0.07
2015-04,-0.2
2015-05,-0.04
2015-06,0.12
2015-07,0.17
2015-08,0.2
2015-09,-0.04
2015-10,0.17
2015-11,0.5
2015-12,0.73
2016-01,1.37
2016-02,1.02
2016-03,0.85
2016-04,1.13
2016-05,1.02
2016-06,1.0
2016-07,0.83
2016-08,1.06
2016-09,1.46
2016-10,1.64
2016-11,1.69
2016-12,2.07
2017-01,2.5
2017-02,2.74
2017-03,2.38
2017-04,2.2
2017-05,1.87
2017-06,1.63
2017-07,1.73
2017-08,1.94
2017-09,2.23
2017-10,2.04
2017-11,2.2
2017-12,2.11
2018-01,2.07
2018-02,2.21
2018-03,2.36
2018-04,2.46
2018-05,2.8
2018-06,2.87
2018-07,2.95
2018-08,2.7
2018-09,2.28
2018-10,2.52
2018-11,2.18
2018-12,1.91
2019-01,1.55
2019-02,1.52
2019-03,1.86
2019-04,2.0
2019-05,1.79
2019-06,1.65
2019-07,1.81
2019-08,1.75
2019-09,1.71
2019-10,1.76
2019-11,2.05
2019-12,2.29
2020-01,2.49
2020-02,2.33
2020-03,1.54
2020-04,0.33
2020-05,0.12
2020-06,0.65
2020-07,0.99
2020-08,1.31
2020-09,1.37
2020-10,1.18
2020-11,1.17
2020-12,1.36
2021-01,1.4
2021-02,1.68
2021-03,2.62
2021-04,4.16
2021-05,4.99
2021-06,5.39
2021-07,5.37
2021-08,5.25
2021-09,5.39
2021-10,6.22
2021-11,6.81
2021-12,7.04
2022-01,7.48
2022-02,7.87
2022-03,8.54
2022-04,8.26
2022-05,8.58
2022-06,9.06
2022-07,8.52
2022-08,8.26
2022-09,8.2
2022-10,7.75
2022-11,7.11
2022-12,6.45
