BCOMGOT Index Settings Total Return Analysis,,,,,,
Range01/31/1991 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 383 Month Holding Period Chart,,,,,,
Bloomberg Gas Oil Subindex Total Return Max Cuml Total Return 1375.8713% On 06/30/2008,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
3/31/2020,198.61,--,132.46%,115.91%,-32.94%,-32.94%
2/28/2020,296.16,--,246.64%,221.96%,-11.98%,-11.98%
1/31/2020,336.47,--,293.81%,265.78%,-17.68%,-17.68%
,,,,,,
12/31/2019,408.74,--,378.40%,344.34%,7.25%,7.25%
11/29/2019,381.12,--,346.08%,314.32%,1.91%,1.91%
10/31/2019,373.99,--,337.72%,306.56%,-1.63%,-1.63%
,,,,,,
9/30/2019,380.19,--,344.98%,313.30%,5.00%,5.00%
8/30/2019,362.08,--,323.79%,293.62%,-7.10%,-7.10%
7/31/2019,389.76,--,356.19%,323.71%,0.74%,0.74%
,,,,,,
6/28/2019,386.91,--,352.85%,320.61%,3.25%,3.25%
5/31/2019,374.74,--,338.60%,307.38%,-9.37%,-9.37%
4/30/2019,413.48,--,383.94%,349.49%,4.54%,4.54%
,,,,,,
3/29/2019,395.51,--,362.91%,329.95%,-1.43%,-1.43%
2/28/2019,401.24,--,369.62%,336.19%,6.75%,6.75%
1/31/2019,375.87,--,339.92%,308.61%,14.01%,14.01%
,,,,,,
12/31/2018,329.67,--,285.86%,258.39%,-6.07%,-6.07%
11/30/2018,350.96,--,310.77%,281.53%,-21.32%,-21.32%
10/31/2018,446.03,--,422.04%,384.88%,-3.18%,-3.18%
,,,,,,
9/28/2018,460.69,--,439.21%,400.82%,5.17%,5.17%
8/31/2018,438.03,--,412.68%,376.18%,5.27%,5.27%
7/31/2018,416.09,--,387.00%,352.33%,-3.00%,-3.00%
,,,,,,
6/29/2018,428.95,--,402.05%,366.31%,-0.39%,-0.39%
5/31/2018,430.63,--,404.02%,368.14%,5.46%,5.46%
4/30/2018,408.34,--,377.93%,343.91%,6.40%,6.40%
,,,,,,
3/30/2018,383.77,--,349.18%,317.20%,7.02%,7.02%
2/28/2018,358.6,--,319.71%,289.83%,-5.45%,-5.45%
1/31/2018,379.27,--,343.90%,312.30%,2.35%,2.35%
,,,,,,
