BCOMCCTR Index Settings Total Return Analysis,,,,,,
Range01/29/1960 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 755 Month Holding Period Chart,,,,,,
Bloomberg Cocoa Subindex Total Return Max Cuml Total Return 3065.9677% On 11/30/1978,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
2/28/2017,44.68,--,347.54%,339.42%,-10.21%,-10.21%
1/31/2017,49.76,--,398.43%,389.38%,-1.04%,-1.04%
,,,,,,
12/30/2016,50.28,--,403.64%,394.51%,-10.97%,-10.97%
11/30/2016,56.47,--,465.71%,455.44%,-11.94%,-11.94%
10/31/2016,64.13,--,542.41%,530.75%,-0.91%,-0.91%
,,,,,,
9/30/2016,64.72,--,548.33%,536.56%,-4.70%,-4.70%
8/31/2016,67.91,--,580.31%,567.97%,3.19%,3.19%
7/29/2016,65.82,--,559.30%,547.34%,-4.30%,-4.30%
,,,,,,
6/30/2016,68.77,--,588.90%,576.40%,-2.29%,-2.29%
5/31/2016,70.38,--,605.04%,592.24%,-5.36%,-5.36%
4/29/2016,74.37,--,644.96%,631.44%,8.59%,8.59%
,,,,,,
3/31/2016,68.48,--,586.03%,573.58%,-0.14%,-0.14%
2/29/2016,68.58,--,587.01%,574.54%,6.26%,6.26%
1/29/2016,64.54,--,546.56%,534.83%,-14.00%,-14.00%
,,,,,,
12/31/2015,75.05,--,651.79%,638.15%,-3.81%,-3.81%
11/30/2015,78.02,--,681.59%,667.40%,2.14%,2.14%
10/30/2015,76.39,--,665.20%,651.32%,4.66%,4.66%
,,,,,,
9/30/2015,72.99,--,631.15%,617.88%,0.49%,0.49%
8/31/2015,72.63,--,627.60%,614.39%,-3.91%,-3.91%
7/31/2015,75.59,--,657.20%,643.45%,-1.83%,-1.83%
,,,,,,
6/30/2015,77,--,671.34%,657.34%,5.86%,5.86%
5/29/2015,72.74,--,628.66%,615.44%,4.83%,4.83%
4/30/2015,69.39,--,595.11%,582.50%,9.08%,9.08%
,,,,,,
3/31/2015,63.61,--,537.24%,525.68%,-10.51%,-10.51%
2/27/2015,71.08,--,612.07%,599.15%,12.15%,12.15%
1/30/2015,63.39,--,534.96%,523.43%,-7.46%,-7.46%
,,,,,,
12/31/2014,68.49,--,586.11%,573.66%,2.36%,2.36%
11/28/2014,66.91,--,570.29%,558.13%,-2.15%,-2.15%
10/31/2014,68.38,--,584.98%,572.55%,-12.15%,-12.15%
,,,,,,
9/30/2014,77.84,--,679.72%,665.57%,2.20%,2.20%
8/29/2014,76.16,--,662.93%,649.09%,0.33%,0.33%
7/31/2014,75.91,--,660.41%,646.61%,2.94%,2.94%
,,,,,,
6/30/2014,73.74,--,638.66%,625.25%,2.09%,2.09%
5/30/2014,72.23,--,623.53%,610.40%,3.06%,3.06%
4/30/2014,70.09,--,602.08%,589.33%,0.42%,0.42%
,,,,,,
3/31/2014,69.79,--,599.15%,586.46%,-0.06%,-0.06%
2/28/2014,69.84,--,599.60%,586.90%,0.83%,0.83%
1/31/2014,69.26,--,593.80%,581.21%,7.46%,7.46%
,,,,,,
12/31/2013,64.45,--,545.63%,533.92%,-2.83%,-2.83%
11/29/2013,66.33,--,564.42%,552.36%,3.45%,3.45%
10/31/2013,64.11,--,542.24%,530.59%,1.41%,1.41%
,,,,,,
9/30/2013,63.22,--,533.34%,521.85%,8.38%,8.38%
8/30/2013,58.34,--,484.39%,473.78%,5.14%,5.14%
7/31/2013,55.49,--,455.84%,445.75%,6.20%,6.20%
,,,,,,
6/28/2013,52.25,--,423.41%,413.91%,-1.47%,-1.47%
5/31/2013,53.03,--,431.22%,421.58%,-7.47%,-7.47%
4/30/2013,57.31,--,474.11%,463.70%,8.30%,8.30%
,,,,,,
3/29/2013,52.92,--,430.12%,420.50%,1.65%,1.65%
2/28/2013,52.06,--,421.53%,412.06%,-3.25%,-3.25%
1/31/2013,53.81,--,439.05%,429.27%,-1.38%,-1.38%
,,,,,,
12/31/2012,54.56,--,446.59%,436.67%,-10.48%,-10.48%
11/30/2012,60.95,--,510.60%,499.52%,4.70%,4.70%
10/31/2012,58.22,--,483.18%,472.59%,-5.08%,-5.08%
,,,,,,
9/28/2012,61.33,--,514.38%,503.23%,-3.59%,-3.59%
8/31/2012,63.62,--,537.28%,525.71%,9.45%,9.45%
7/31/2012,58.13,--,482.28%,471.71%,3.72%,3.72%
,,,,,,
6/29/2012,56.04,--,461.40%,451.21%,10.67%,10.67%
5/31/2012,50.64,--,407.26%,398.06%,-6.12%,-6.12%
4/30/2012,53.94,--,440.34%,430.53%,0.44%,0.44%
,,,,,,
3/30/2012,53.7,--,437.98%,428.21%,-4.92%,-4.92%
2/29/2012,56.48,--,465.81%,455.55%,1.53%,1.53%
1/31/2012,55.63,--,457.27%,447.16%,8.63%,8.63%
,,,,,,
12/30/2011,51.21,--,412.99%,403.68%,-8.50%,-8.50%
11/30/2011,55.97,--,460.66%,450.48%,-15.85%,-15.85%
10/31/2011,66.51,--,566.28%,554.19%,3.38%,3.38%
,,,,,,
9/30/2011,64.34,--,544.52%,532.83%,-16.22%,-16.22%
8/31/2011,76.8,--,669.31%,655.35%,3.49%,3.49%
7/29/2011,74.21,--,643.36%,629.87%,-5.61%,-5.61%
,,,,,,
6/30/2011,78.62,--,687.58%,673.29%,5.45%,5.45%
5/31/2011,74.56,--,646.85%,633.30%,-10.21%,-10.21%
4/29/2011,83.03,--,731.74%,716.65%,12.86%,12.86%
,,,,,,
3/31/2011,73.57,--,637.00%,623.62%,-20.10%,-20.10%
2/28/2011,92.08,--,822.41%,805.67%,10.09%,10.09%
1/31/2011,83.64,--,737.83%,722.63%,10.46%,10.46%
,,,,,,
12/31/2010,75.72,--,658.50%,644.73%,8.14%,8.14%
11/30/2010,70.02,--,601.43%,588.70%,-0.78%,-0.78%
10/29/2010,70.57,--,606.93%,594.10%,-0.59%,-0.59%
,,,,,,
9/30/2010,70.99,--,611.15%,598.24%,2.86%,2.86%
8/31/2010,69.01,--,591.35%,578.81%,-12.28%,-12.28%
7/30/2010,78.68,--,688.14%,673.84%,5.01%,5.01%
,,,,,,
6/30/2010,74.93,--,650.56%,636.94%,-1.34%,-1.34%
5/31/2010,75.94,--,660.77%,646.96%,-8.45%,-8.45%
4/30/2010,82.95,--,730.97%,715.89%,8.50%,8.50%
,,,,,,
3/31/2010,76.46,--,665.90%,652.00%,1.80%,1.80%
2/26/2010,75.11,--,652.39%,638.74%,-9.30%,-9.30%
1/29/2010,82.81,--,729.58%,714.53%,-3.19%,-3.19%
,,,,,,
12/31/2009,85.54,--,756.89%,741.34%,0.93%,0.93%
11/30/2009,84.76,--,749.03%,733.62%,-2.80%,-2.80%
10/30/2009,87.2,--,773.53%,757.68%,5.01%,5.01%
,,,,,,
9/30/2009,83.04,--,731.88%,716.78%,12.40%,12.40%
8/31/2009,73.88,--,640.13%,626.70%,-4.59%,-4.59%
7/31/2009,77.44,--,675.77%,661.69%,15.24%,15.24%
,,,,,,
6/30/2009,67.2,--,573.19%,560.98%,-3.75%,-3.75%
5/29/2009,69.82,--,599.43%,586.74%,8.98%,8.98%
4/30/2009,64.07,--,541.77%,530.12%,-9.41%,-9.41%
,,,,,,
3/31/2009,70.72,--,608.40%,595.55%,7.98%,7.98%
2/27/2009,65.49,--,556.05%,544.15%,-12.73%,-12.73%
1/30/2009,75.04,--,651.71%,638.07%,3.99%,3.99%
,,,,,,
12/31/2008,72.16,--,622.88%,609.76%,16.18%,16.18%
11/28/2008,62.11,--,522.22%,510.93%,10.81%,10.81%
10/31/2008,56.06,--,461.53%,451.34%,-19.68%,-19.68%
,,,,,,
9/30/2008,69.79,--,599.15%,586.46%,-11.19%,-11.19%
8/29/2008,78.58,--,687.20%,672.92%,0.43%,0.43%
7/31/2008,78.25,--,683.85%,669.63%,-10.02%,-10.02%
,,,,,,
6/30/2008,86.96,--,771.14%,755.33%,16.39%,16.39%
5/30/2008,74.72,--,648.47%,634.89%,-1.77%,-1.77%
4/30/2008,76.06,--,661.95%,648.12%,18.32%,18.32%
,,,,,,
3/31/2008,64.29,--,543.99%,532.30%,-16.31%,-16.31%
2/29/2008,76.82,--,669.54%,655.57%,18.02%,18.02%
1/31/2008,65.09,--,552.06%,540.22%,14.59%,14.59%
,,,,,,
12/31/2007,56.8,--,469.03%,458.70%,2.89%,2.89%
11/30/2007,55.21,--,453.02%,442.99%,0.58%,0.58%
10/31/2007,54.89,--,449.83%,439.85%,-4.12%,-4.12%
,,,,,,
9/28/2007,57.25,--,473.46%,463.05%,11.98%,11.98%
8/31/2007,51.12,--,412.11%,402.82%,-7.24%,-7.24%
7/31/2007,55.11,--,452.06%,442.04%,-5.41%,-5.41%
,,,,,,
6/29/2007,58.26,--,483.65%,473.05%,8.28%,8.28%
5/31/2007,53.81,--,439.02%,429.24%,5.16%,5.16%
4/30/2007,51.17,--,412.57%,403.27%,-8.99%,-8.99%
,,,,,,
3/30/2007,56.22,--,463.21%,452.99%,13.23%,13.23%
2/28/2007,49.65,--,397.41%,388.38%,5.59%,5.59%
1/31/2007,47.03,--,371.08%,362.53%,-0.65%,-0.65%
,,,,,,
12/29/2006,47.33,--,374.16%,365.55%,5.42%,5.42%
11/30/2006,44.9,--,349.77%,341.61%,2.98%,2.98%
10/31/2006,43.6,--,336.75%,328.82%,1.26%,1.26%
,,,,,,
9/29/2006,43.06,--,331.33%,323.50%,-0.49%,-0.49%
8/31/2006,43.27,--,333.43%,325.57%,-2.51%,-2.51%
7/31/2006,44.38,--,344.59%,336.52%,-8.94%,-8.94%
,,,,,,
6/30/2006,48.74,--,388.24%,379.38%,10.16%,10.16%
5/31/2006,44.25,--,343.23%,335.18%,-2.73%,-2.73%
4/28/2006,45.49,--,355.68%,347.41%,0.63%,0.63%
,,,,,,
3/31/2006,45.2,--,352.83%,344.61%,2.32%,2.32%
2/28/2006,44.18,--,342.58%,334.55%,-2.99%,-2.99%
1/31/2006,45.54,--,356.21%,347.93%,-0.96%,-0.96%
,,,,,,
12/30/2005,45.98,--,360.65%,352.29%,6.64%,6.64%
11/30/2005,43.12,--,331.98%,324.14%,2.77%,2.77%
10/31/2005,41.96,--,320.35%,312.72%,-4.08%,-4.08%
,,,,,,
9/30/2005,43.75,--,338.25%,330.29%,0.93%,0.93%
8/31/2005,43.34,--,334.19%,326.31%,-7.12%,-7.12%
7/29/2005,46.66,--,367.46%,358.98%,2.12%,2.12%
,,,,,,
6/30/2005,45.7,--,357.75%,349.44%,0.93%,0.93%
5/31/2005,45.27,--,353.53%,345.30%,-4.45%,-4.45%
4/29/2005,47.38,--,374.65%,366.04%,-8.74%,-8.74%
,,,,,,
3/31/2005,51.92,--,420.10%,410.66%,-6.54%,-6.54%
2/28/2005,55.55,--,456.49%,446.39%,13.05%,13.05%
1/31/2005,49.14,--,392.27%,383.34%,-1.22%,-1.22%
,,,,,,
12/31/2004,49.75,--,398.34%,389.30%,-6.13%,-6.13%
11/30/2004,52.99,--,430.87%,421.23%,12.86%,12.86%
10/29/2004,46.95,--,370.37%,361.83%,1.24%,1.24%
,,,,,,
9/30/2004,46.38,--,364.59%,356.16%,-13.70%,-13.70%
8/31/2004,53.74,--,438.35%,428.58%,0.90%,0.90%
7/30/2004,53.26,--,433.53%,423.85%,22.81%,22.81%
,,,,,,
6/30/2004,43.37,--,334.45%,326.57%,-9.20%,-9.20%
5/31/2004,47.76,--,378.45%,369.77%,3.76%,3.76%
4/30/2004,46.03,--,361.10%,352.73%,-9.36%,-9.36%
,,,,,,
3/31/2004,50.78,--,408.72%,399.49%,-1.25%,-1.25%
2/27/2004,51.43,--,415.18%,405.83%,3.08%,3.08%
1/30/2004,49.89,--,399.78%,390.71%,0.40%,0.40%
,,,,,,
12/31/2003,49.69,--,397.76%,388.73%,5.45%,5.45%
11/28/2003,47.12,--,372.05%,363.49%,0.99%,0.99%
10/31/2003,46.66,--,367.42%,358.94%,-11.37%,-11.37%
,,,,,,
9/30/2003,52.65,--,427.38%,417.81%,-7.59%,-7.59%
8/29/2003,56.97,--,470.68%,460.33%,23.03%,23.03%
7/31/2003,46.31,--,363.86%,355.45%,-11.20%,-11.20%
,,,,,,
6/30/2003,52.14,--,422.35%,412.87%,13.62%,13.62%
5/30/2003,45.89,--,359.73%,351.39%,-24.94%,-24.94%
4/30/2003,61.15,--,512.52%,501.40%,5.11%,5.11%
,,,,,,
3/31/2003,58.17,--,482.75%,472.17%,-3.54%,-3.54%
2/28/2003,60.31,--,504.16%,493.19%,-14.49%,-14.49%
1/31/2003,70.53,--,606.49%,593.67%,19.32%,19.32%
,,,,,,
12/31/2002,59.11,--,492.11%,481.36%,18.81%,18.81%
11/29/2002,49.75,--,398.38%,389.34%,-9.98%,-9.98%
10/31/2002,55.27,--,453.62%,443.58%,-11.93%,-11.93%
,,,,,,
9/30/2002,62.75,--,528.60%,517.19%,9.59%,9.59%
8/30/2002,57.26,--,473.57%,463.16%,10.64%,10.64%
7/31/2002,51.75,--,418.40%,409.00%,8.67%,8.67%
,,,,,,
6/28/2002,47.62,--,377.06%,368.40%,2.85%,2.85%
5/31/2002,46.3,--,363.84%,355.42%,5.99%,5.99%
4/30/2002,43.69,--,337.64%,329.70%,3.30%,3.30%
,,,,,,
3/29/2002,42.29,--,323.67%,315.98%,3.18%,3.18%
2/28/2002,40.99,--,310.61%,303.16%,8.07%,8.07%
1/31/2002,37.93,--,279.94%,273.04%,2.74%,2.74%
,,,,,,
12/31/2001,36.92,--,269.80%,263.09%,-2.02%,-2.02%
11/30/2001,37.68,--,277.42%,270.57%,30.98%,30.98%
10/31/2001,28.77,--,188.16%,182.93%,-5.38%,-5.38%
,,,,,,
9/28/2001,30.4,--,204.53%,199.01%,13.75%,13.75%
8/31/2001,26.73,--,167.72%,162.86%,-0.64%,-0.64%
7/31/2001,26.9,--,169.45%,164.56%,-0.41%,-0.41%
,,,,,,
6/29/2001,27.01,--,170.57%,165.66%,3.35%,3.35%
5/31/2001,26.13,--,161.80%,157.05%,-4.86%,-4.86%
4/30/2001,27.47,--,175.19%,170.19%,-9.11%,-9.11%
,,,,,,
3/30/2001,30.23,--,202.78%,197.28%,-5.27%,-5.27%
2/28/2001,31.91,--,219.62%,213.82%,10.18%,10.18%
1/31/2001,28.96,--,190.10%,184.83%,35.21%,35.21%
,,,,,,
12/29/2000,21.42,--,114.55%,110.66%,4.48%,4.48%
11/30/2000,20.5,--,105.36%,101.64%,-7.18%,-7.18%
10/31/2000,22.09,--,121.24%,117.22%,-4.75%,-4.75%
,,,,,,
9/29/2000,23.19,--,132.27%,128.05%,0.74%,0.74%
8/31/2000,23.02,--,130.56%,126.37%,-8.15%,-8.15%
7/31/2000,25.06,--,151.01%,146.45%,-0.69%,-0.69%
,,,,,,
6/30/2000,25.23,--,152.75%,148.16%,-3.69%,-3.69%
5/31/2000,26.2,--,162.44%,157.68%,9.38%,9.38%
4/28/2000,23.95,--,139.94%,135.58%,-6.72%,-6.72%
,,,,,,
3/31/2000,25.68,--,157.22%,152.55%,3.34%,3.34%
2/29/2000,24.85,--,148.90%,144.38%,-5.36%,-5.36%
1/31/2000,26.25,--,163.00%,158.23%,-4.56%,-4.56%
,,,,,,
12/31/1999,27.51,--,175.57%,170.57%,-6.49%,-6.49%
11/30/1999,29.42,--,194.68%,189.33%,-1.97%,-1.97%
10/29/1999,30.01,--,200.61%,195.16%,-14.73%,-14.73%
,,,,,,
9/30/1999,35.19,--,252.52%,246.13%,8.63%,8.63%
8/31/1999,32.4,--,224.52%,218.63%,-8.38%,-8.38%
7/30/1999,35.36,--,254.19%,247.76%,-3.28%,-3.28%
,,,,,,
6/30/1999,36.56,--,266.21%,259.56%,17.53%,17.53%
5/31/1999,31.1,--,211.58%,205.93%,-13.92%,-13.92%
4/30/1999,36.14,--,261.99%,255.42%,-16.63%,-16.63%
,,,,,,
3/31/1999,43.35,--,334.21%,326.33%,-6.34%,-6.34%
2/26/1999,46.28,--,363.61%,355.20%,-5.66%,-5.66%
1/29/1999,49.06,--,391.41%,382.49%,-3.14%,-3.14%
,,,,,,
12/31/1998,50.64,--,407.32%,398.12%,-3.94%,-3.94%
11/30/1998,52.72,--,428.11%,418.53%,-6.65%,-6.65%
10/30/1998,56.48,--,465.75%,455.48%,-0.06%,-0.06%
,,,,,,
9/30/1998,56.51,--,466.06%,455.79%,-5.95%,-5.95%
8/31/1998,60.08,--,501.86%,490.94%,2.16%,2.16%
7/31/1998,58.81,--,489.15%,478.46%,-1.03%,-1.03%
,,,,,,
6/30/1998,59.43,--,495.31%,484.51%,-7.07%,-7.07%
5/29/1998,63.95,--,540.58%,528.96%,-0.31%,-0.31%
4/30/1998,64.14,--,542.55%,530.89%,1.27%,1.27%
,,,,,,
3/31/1998,63.34,--,534.52%,523.00%,2.82%,2.82%
2/27/1998,61.61,--,517.13%,505.93%,1.33%,1.33%
1/30/1998,60.79,--,509.01%,497.96%,-4.14%,-4.14%
,,,,,,
12/31/1997,63.42,--,535.29%,523.77%,4.32%,4.32%
11/28/1997,60.79,--,509.00%,497.95%,-4.28%,-4.28%
10/31/1997,63.51,--,536.20%,524.66%,-4.12%,-4.12%
,,,,,,
9/30/1997,66.24,--,563.55%,551.51%,-1.77%,-1.77%
8/29/1997,67.44,--,575.53%,563.27%,11.32%,11.32%
7/31/1997,60.58,--,506.83%,495.82%,-11.29%,-11.29%
,,,,,,
6/30/1997,68.29,--,584.04%,571.63%,13.73%,13.73%
5/30/1997,60.04,--,501.48%,490.56%,5.38%,5.38%
4/30/1997,56.98,--,470.78%,460.43%,-5.79%,-5.79%
,,,,,,
3/31/1997,60.48,--,505.84%,494.85%,13.48%,13.48%
2/28/1997,53.29,--,433.86%,424.17%,-4.73%,-4.73%
1/31/1997,55.94,--,460.39%,450.22%,-3.95%,-3.95%
,,,,,,
12/31/1996,58.24,--,483.43%,472.84%,-2.12%,-2.12%
11/29/1996,59.5,--,496.08%,485.27%,0.98%,0.98%
10/31/1996,58.93,--,490.32%,479.61%,-1.32%,-1.32%
,,,,,,
9/30/1996,59.72,--,498.23%,487.37%,2.30%,2.30%
8/30/1996,58.38,--,484.78%,474.17%,-1.26%,-1.26%
7/31/1996,59.12,--,492.25%,481.50%,-3.23%,-3.23%
,,,,,,
6/28/1996,61.09,--,512.00%,500.90%,-0.33%,-0.33%
5/31/1996,61.29,--,514.01%,502.87%,1.02%,1.02%
4/30/1996,60.67,--,507.79%,496.76%,3.75%,3.75%
,,,,,,
3/29/1996,58.48,--,485.85%,475.22%,3.41%,3.41%
2/29/1996,56.55,--,466.53%,456.25%,0.38%,0.38%
1/31/1996,56.34,--,464.40%,454.16%,-0.81%,-0.81%
,,,,,,
