BCOMSYTR Index Settings Total Return Analysis,,,,,,
Range01/29/1960 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 755 Month Holding Period Chart,,,,,,
Bloomberg Soybeans Subindex Total Return Max Cuml Total Return 15203.4576% On 12/30/2022,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
3/30/2001,96.48,--,2062.45%,2057.86%,-5.62%,-5.62%
2/28/2001,102.23,--,2191.27%,2186.40%,-1.26%,-1.26%
1/31/2001,103.53,--,2220.42%,2215.49%,-9.42%,-9.42%
,,,,,,
12/29/2000,114.29,--,2461.60%,2456.16%,-0.39%,-0.39%
11/30/2000,114.74,--,2471.69%,2466.22%,8.16%,8.16%
10/31/2000,106.09,--,2277.67%,2272.61%,-5.73%,-5.73%
,,,,,,
9/29/2000,112.53,--,2422.13%,2416.77%,-2.40%,-2.40%
8/31/2000,115.3,--,2484.05%,2478.56%,11.82%,11.82%
7/31/2000,103.11,--,2210.89%,2205.98%,-4.28%,-4.28%
,,,,,,
6/30/2000,107.72,--,2314.25%,2309.13%,-8.35%,-8.35%
5/31/2000,117.53,--,2534.15%,2528.55%,-3.51%,-3.51%
4/28/2000,121.8,--,2629.93%,2624.13%,-2.89%,-2.89%
,,,,,,
3/31/2000,125.43,--,2711.24%,2705.26%,7.28%,7.28%
2/29/2000,116.92,--,2520.45%,2514.88%,-0.82%,-0.82%
1/31/2000,117.88,--,2542.05%,2536.44%,8.66%,8.66%
,,,,,,
12/31/1999,108.49,--,2331.51%,2326.34%,-2.41%,-2.41%
11/30/1999,111.17,--,2391.58%,2386.29%,-0.90%,-0.90%
10/29/1999,112.18,--,2414.19%,2408.85%,-3.40%,-3.40%
,,,,,,
9/30/1999,116.13,--,2502.81%,2497.28%,2.11%,2.11%
8/31/1999,113.73,--,2449.02%,2443.61%,11.95%,11.95%
7/30/1999,101.59,--,2176.88%,2172.05%,-5.60%,-5.60%
,,,,,,
6/30/1999,107.62,--,2312.02%,2306.89%,-2.06%,-2.06%
5/31/1999,109.88,--,2362.73%,2357.49%,-4.75%,-4.75%
4/30/1999,115.36,--,2485.61%,2480.12%,-0.89%,-0.89%
,,,,,,
3/31/1999,116.4,--,2508.80%,2503.26%,6.06%,6.06%
2/26/1999,109.75,--,2359.79%,2354.57%,-10.11%,-10.11%
1/29/1999,122.09,--,2636.45%,2630.63%,-6.04%,-6.04%
,,,,,,
12/31/1998,129.94,--,2812.37%,2806.18%,-9.85%,-9.85%
11/30/1998,144.13,--,3130.40%,3123.54%,4.84%,4.84%
10/30/1998,137.48,--,2981.22%,2974.67%,7.50%,7.50%
,,,,,,
9/30/1998,127.89,--,2766.35%,2760.26%,2.21%,2.21%
8/31/1998,125.12,--,2704.34%,2698.38%,-8.39%,-8.39%
7/31/1998,136.58,--,2961.20%,2954.70%,-8.69%,-8.69%
,,,,,,
6/30/1998,149.58,--,3252.36%,3245.24%,6.00%,6.00%
5/29/1998,141.11,--,3062.68%,3055.96%,-2.74%,-2.74%
4/30/1998,145.08,--,3151.66%,3144.75%,-0.80%,-0.80%
,,,,,,
3/31/1998,146.25,--,3177.80%,3170.84%,-1.57%,-1.57%
2/27/1998,148.58,--,3230.08%,3223.00%,-2.34%,-2.34%
1/30/1998,152.14,--,3309.78%,3302.53%,-0.10%,-0.10%
,,,,,,
12/31/1997,152.29,--,3313.18%,3305.92%,-5.72%,-5.72%
11/28/1997,161.53,--,3520.39%,3512.70%,3.57%,3.57%
10/31/1997,155.96,--,3395.50%,3388.07%,11.81%,11.81%
,,,,,,
9/30/1997,139.48,--,3026.16%,3019.52%,-0.19%,-0.19%
8/29/1997,139.75,--,3032.20%,3025.55%,-4.54%,-4.54%
7/31/1997,146.4,--,3181.19%,3174.22%,7.02%,7.02%
,,,,,,
6/30/1997,136.79,--,2965.89%,2959.38%,-13.70%,-13.70%
5/30/1997,158.5,--,3452.48%,3444.94%,-0.31%,-0.31%
4/30/1997,158.99,--,3463.43%,3455.86%,3.50%,3.50%
,,,,,,
3/31/1997,153.62,--,3343.09%,3335.77%,8.36%,8.36%
2/28/1997,141.78,--,3077.57%,3070.81%,8.03%,8.03%
1/31/1997,131.23,--,2841.24%,2834.99%,7.81%,7.81%
,,,,,,
12/31/1996,121.73,--,2628.16%,2622.37%,-2.39%,-2.39%
11/29/1996,124.71,--,2694.96%,2689.02%,6.97%,6.97%
10/31/1996,116.58,--,2512.80%,2507.25%,-12.23%,-12.23%
,,,,,,
9/30/1996,132.83,--,2877.04%,2870.71%,-4.17%,-4.17%
8/30/1996,138.61,--,3006.60%,3000.00%,8.85%,8.85%
7/31/1996,127.34,--,2754.05%,2747.98%,-1.31%,-1.31%
,,,,,,
6/28/1996,129.03,--,2791.91%,2785.76%,-0.52%,-0.52%
5/31/1996,129.7,--,2807.01%,2800.83%,-0.42%,-0.42%
4/30/1996,130.25,--,2819.18%,2812.98%,5.05%,5.05%
,,,,,,
3/29/1996,123.99,--,2678.94%,2673.04%,1.21%,1.21%
2/29/1996,122.51,--,2645.73%,2639.90%,-0.06%,-0.06%
1/31/1996,122.59,--,2647.50%,2641.66%,-0.34%,-0.34%
,,,,,,
12/29/1995,123.01,--,2656.85%,2650.99%,7.68%,7.68%
11/30/1995,114.23,--,2460.20%,2454.76%,0.71%,0.71%
10/31/1995,113.43,--,2442.21%,2436.81%,4.78%,4.78%
,,,,,,
9/29/1995,108.26,--,2326.28%,2321.13%,4.14%,4.14%
8/31/1995,103.95,--,2229.86%,2224.91%,1.94%,1.94%
7/31/1995,101.97,--,2185.48%,2180.62%,3.68%,3.68%
,,,,,,
6/30/1995,98.36,--,2104.39%,2099.71%,-0.29%,-0.29%
5/31/1995,98.65,--,2110.88%,2106.18%,0.66%,0.66%
4/28/1995,98,--,2096.45%,2091.78%,-0.52%,-0.52%
,,,,,,
3/31/1995,98.51,--,2107.82%,2103.13%,2.14%,2.14%
2/28/1995,96.44,--,2061.49%,2056.90%,1.89%,1.89%
1/31/1995,94.65,--,2021.43%,2016.92%,-2.00%,-2.00%
,,,,,,
12/30/1994,96.58,--,2064.62%,2060.02%,-1.57%,-1.57%
11/30/1994,98.12,--,2099.15%,2094.48%,2.16%,2.16%
10/31/1994,96.05,--,2052.65%,2048.08%,1.70%,1.70%
,,,,,,
9/30/1994,94.44,--,2016.59%,2012.10%,-6.22%,-6.22%
8/31/1994,100.7,--,2156.96%,2152.17%,1.83%,1.83%
7/29/1994,98.89,--,2116.41%,2111.70%,-9.71%,-9.71%
,,,,,,
6/30/1994,109.52,--,2354.67%,2349.46%,-6.16%,-6.16%
5/31/1994,116.72,--,2515.88%,2510.32%,4.00%,4.00%
4/29/1994,112.23,--,2415.33%,2409.99%,-0.22%,-0.22%
,,,,,,
3/31/1994,112.48,--,2420.86%,2415.51%,0.01%,0.01%
2/28/1994,112.47,--,2420.67%,2415.31%,-0.92%,-0.92%
1/31/1994,113.51,--,2444.07%,2438.66%,-3.24%,-3.24%
,,,,,,
12/31/1993,117.32,--,2529.39%,2523.80%,5.19%,5.19%
11/30/1993,111.53,--,2399.58%,2394.27%,6.97%,6.97%
10/29/1993,104.26,--,2236.82%,2231.85%,-0.88%,-0.88%
,,,,,,
9/30/1993,105.19,--,2257.49%,2252.48%,-4.85%,-4.85%
8/31/1993,110.55,--,2377.61%,2372.35%,-3.30%,-3.30%
7/30/1993,114.32,--,2462.18%,2456.74%,4.75%,4.75%
,,,,,,
6/30/1993,109.14,--,2346.10%,2340.91%,9.38%,9.38%
5/31/1993,99.78,--,2136.27%,2131.52%,3.15%,3.15%
4/30/1993,96.73,--,2067.92%,2063.32%,-0.09%,-0.09%
,,,,,,
3/31/1993,96.81,--,2069.80%,2065.19%,1.70%,1.70%
2/26/1993,95.2,--,2033.56%,2029.03%,0.78%,0.78%
1/29/1993,94.46,--,2017.09%,2012.59%,0.20%,0.20%
,,,,,,
12/31/1992,94.27,--,2012.78%,2008.29%,1.39%,1.39%
11/30/1992,92.98,--,1983.91%,1979.48%,2.26%,2.26%
10/30/1992,90.92,--,1937.81%,1933.48%,1.43%,1.43%
,,,,,,
9/30/1992,89.64,--,1909.05%,1904.78%,0.21%,0.21%
8/31/1992,89.46,--,1904.93%,1900.67%,-1.73%,-1.73%
7/31/1992,91.03,--,1940.17%,1935.84%,-10.53%,-10.53%
,,,,,,
6/30/1992,101.75,--,2180.38%,2175.53%,-1.31%,-1.31%
