BCOMSNTR Index Settings Total Return Analysis,,,,,,
Range01/31/1991 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 383 Month Holding Period Chart,,,,,,
Bloomberg Tin Subindex Total Return Max Cuml Total Return 1930.8140% On 02/28/2022,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
,,,,,,
12/31/2020,788.94,--,684.48%,688.94%,9.37%,9.37%
11/30/2020,721.34,--,617.27%,621.35%,5.16%,5.16%
10/30/2020,685.93,--,582.05%,585.93%,1.46%,1.46%
,,,,,,
9/30/2020,676.03,--,572.21%,576.03%,-2.12%,-2.12%
8/31/2020,690.71,--,586.80%,590.71%,-0.24%,-0.24%
7/31/2020,692.35,--,588.44%,592.36%,7.11%,7.11%
,,,,,,
6/30/2020,646.41,--,542.76%,546.41%,9.02%,9.02%
5/29/2020,592.92,--,489.57%,492.92%,1.61%,1.61%
4/30/2020,583.51,--,480.22%,483.51%,4.12%,4.12%
,,,,,,
3/31/2020,560.4,--,457.23%,460.40%,-10.03%,-10.03%
2/28/2020,622.84,--,519.32%,522.84%,-0.50%,-0.50%
1/31/2020,625.99,--,522.45%,525.99%,-4.47%,-4.47%
,,,,,,
12/31/2019,655.3,--,551.59%,555.30%,4.32%,4.32%
11/29/2019,628.18,--,524.63%,528.18%,0.03%,0.03%
10/31/2019,627.96,--,524.41%,527.96%,3.97%,3.97%
,,,,,,
9/30/2019,603.99,--,500.58%,503.99%,-2.52%,-2.52%
8/30/2019,619.6,--,516.10%,519.60%,-5.10%,-5.10%
7/31/2019,652.91,--,549.22%,552.91%,-7.73%,-7.73%
,,,,,,
6/28/2019,707.61,--,603.61%,607.61%,1.10%,1.10%
5/31/2019,699.93,--,595.97%,599.93%,-4.46%,-4.46%
4/30/2019,732.58,--,628.44%,632.58%,-7.86%,-7.86%
,,,,,,
3/29/2019,795.08,--,690.58%,695.08%,-0.91%,-0.91%
2/28/2019,802.34,--,697.80%,702.34%,4.07%,4.07%
1/31/2019,770.93,--,666.57%,670.93%,7.51%,7.51%
,,,,,,
12/31/2018,717.08,--,613.03%,617.08%,6.23%,6.23%
11/30/2018,675.02,--,571.20%,575.02%,-3.45%,-3.45%
10/31/2018,699.13,--,595.17%,599.13%,1.47%,1.47%
,,,,,,
9/28/2018,689,--,585.10%,589.00%,-0.44%,-0.44%
8/31/2018,692.05,--,588.14%,592.05%,-5.29%,-5.29%
7/31/2018,730.7,--,626.57%,630.70%,2.13%,2.13%
,,,,,,
6/29/2018,715.49,--,611.45%,615.49%,-3.75%,-3.75%
5/31/2018,743.36,--,639.16%,643.36%,-2.60%,-2.60%
4/30/2018,763.22,--,658.90%,663.22%,0.65%,0.65%
,,,,,,
3/30/2018,758.27,--,653.98%,658.27%,-1.79%,-1.79%
2/28/2018,772.09,--,667.73%,672.09%,-0.46%,-0.46%
1/31/2018,775.64,--,671.26%,675.64%,8.58%,8.58%
,,,,,,
12/29/2017,714.38,--,610.34%,614.38%,2.31%,2.31%
11/30/2017,698.25,--,594.31%,598.25%,1.55%,1.55%
10/31/2017,687.61,--,583.73%,587.62%,-6.19%,-6.19%
,,,,,,
