BCOMGCTR Index Settings Total Return Analysis,,,,,,
Range01/31/1975 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 575 Month Holding Period Chart,,,,,,
Bloomberg Gold Subindex Total Return Max Cuml Total Return 847.1100% On 07/31/2020,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
9/28/2012,451.8,--,819.89%,806.36%,5.12%,5.12%
8/31/2012,429.79,--,775.07%,762.20%,4.53%,4.53%
7/31/2012,411.16,--,737.14%,724.82%,0.36%,0.36%
,,,,,,
6/29/2012,409.69,--,734.16%,721.89%,2.56%,2.56%
5/31/2012,399.45,--,713.30%,701.34%,-6.14%,-6.14%
4/30/2012,425.56,--,766.47%,753.73%,-0.45%,-0.45%
,,,,,,
3/30/2012,427.5,--,770.42%,757.62%,-2.45%,-2.45%
2/29/2012,438.24,--,792.29%,779.17%,-1.67%,-1.67%
1/31/2012,445.67,--,807.40%,794.06%,10.89%,10.89%
,,,,,,
12/30/2011,401.91,--,718.32%,706.28%,-10.48%,-10.48%
11/30/2011,448.98,--,814.15%,800.70%,1.32%,1.32%
10/31/2011,443.15,--,802.27%,789.00%,6.34%,6.34%
,,,,,,
9/30/2011,416.71,--,748.44%,735.96%,-11.43%,-11.43%
8/31/2011,470.49,--,857.94%,843.85%,12.30%,12.30%
7/29/2011,418.97,--,753.04%,740.50%,8.41%,8.41%
,,,,,,
6/30/2011,386.48,--,686.90%,675.33%,-2.21%,-2.21%
5/31/2011,395.21,--,704.68%,692.84%,-1.34%,-1.34%
4/29/2011,400.58,--,715.60%,703.60%,8.10%,8.10%
,,,,,,
3/31/2011,370.58,--,654.51%,643.42%,2.03%,2.03%
2/28/2011,363.21,--,639.52%,628.65%,5.66%,5.66%
1/31/2011,343.75,--,599.90%,589.61%,-6.23%,-6.23%
,,,,,,
12/31/2010,366.6,--,646.41%,635.44%,2.56%,2.56%
11/30/2010,357.45,--,627.78%,617.08%,1.95%,1.95%
10/29/2010,350.61,--,613.86%,603.36%,3.68%,3.68%
,,,,,,
9/30/2010,338.18,--,588.55%,578.42%,4.76%,4.76%
8/31/2010,322.83,--,557.29%,547.62%,5.62%,5.62%
7/30/2010,305.64,--,522.30%,513.15%,-5.27%,-5.27%
,,,,,,
6/30/2010,322.65,--,556.93%,547.27%,2.55%,2.55%
5/31/2010,314.61,--,540.57%,531.15%,2.77%,2.77%
4/30/2010,306.14,--,523.31%,514.15%,5.95%,5.95%
,,,,,,
3/31/2010,288.94,--,488.29%,479.64%,-0.50%,-0.50%
2/26/2010,290.38,--,491.22%,482.52%,3.25%,3.25%
1/29/2010,281.25,--,472.63%,464.21%,-1.25%,-1.25%
,,,,,,
12/31/2009,284.79,--,479.85%,471.33%,-7.28%,-7.28%
11/30/2009,307.15,--,525.37%,516.17%,13.50%,13.50%
10/30/2009,270.61,--,450.97%,442.87%,3.09%,3.09%
,,,,,,
9/30/2009,262.5,--,434.46%,426.60%,5.86%,5.86%
8/31/2009,247.96,--,404.86%,397.43%,-0.23%,-0.23%
7/31/2009,248.52,--,406.00%,398.56%,2.76%,2.76%
,,,,,,
6/30/2009,241.84,--,392.41%,385.16%,-5.38%,-5.38%
5/29/2009,255.6,--,420.41%,412.76%,9.78%,9.78%
4/30/2009,232.82,--,374.03%,367.06%,-3.64%,-3.64%
,,,,,,
3/31/2009,241.61,--,391.94%,384.70%,-2.07%,-2.07%
2/27/2009,246.71,--,402.32%,394.94%,1.54%,1.54%
1/30/2009,242.97,--,394.70%,387.42%,4.82%,4.82%
,,,,,,
12/31/2008,231.81,--,371.97%,365.03%,7.98%,7.98%
11/28/2008,214.68,--,337.10%,330.67%,13.77%,13.77%
10/31/2008,188.69,--,284.19%,278.54%,-18.40%,-18.40%
,,,,,,
9/30/2008,231.25,--,370.83%,363.90%,5.60%,5.60%
8/29/2008,218.99,--,345.87%,339.31%,-9.35%,-9.35%
7/31/2008,241.58,--,391.87%,384.63%,-1.51%,-1.51%
,,,,,,
6/30/2008,245.27,--,399.39%,392.04%,4.30%,4.30%
5/30/2008,235.16,--,378.81%,371.76%,2.71%,2.71%
4/30/2008,228.96,--,366.18%,359.32%,-6.02%,-6.02%
,,,,,,
3/31/2008,243.62,--,396.03%,388.73%,-5.84%,-5.84%
2/29/2008,258.72,--,426.77%,419.02%,5.25%,5.25%
1/31/2008,245.81,--,400.47%,393.11%,10.18%,10.18%
,,,,,,
12/31/2007,223.09,--,354.23%,347.54%,6.48%,6.48%
11/30/2007,209.52,--,326.58%,320.31%,-1.33%,-1.33%
10/31/2007,212.34,--,332.34%,325.99%,6.43%,6.43%
,,,,,,
9/28/2007,199.52,--,306.24%,300.27%,10.34%,10.34%
8/31/2007,180.83,--,268.18%,262.76%,0.76%,0.76%
7/31/2007,179.47,--,265.42%,260.04%,2.86%,2.86%
,,,,,,
6/29/2007,174.48,--,255.24%,250.02%,-2.00%,-2.00%
5/31/2007,178.04,--,262.50%,257.17%,-2.98%,-2.98%
4/30/2007,183.5,--,273.62%,268.12%,2.60%,2.60%
,,,,,,
3/30/2007,178.85,--,264.15%,258.79%,-1.06%,-1.06%
2/28/2007,180.78,--,268.07%,262.65%,2.62%,2.62%
1/31/2007,176.16,--,258.66%,253.39%,2.59%,2.59%
,,,,,,
12/29/2006,171.71,--,249.62%,244.48%,-1.90%,-1.90%
11/30/2006,175.03,--,256.38%,251.14%,6.97%,6.97%
10/31/2006,163.63,--,233.15%,228.25%,0.87%,0.87%
,,,,,,
9/29/2006,162.22,--,230.28%,225.42%,-4.36%,-4.36%
8/31/2006,169.6,--,245.32%,240.24%,-1.52%,-1.52%
7/31/2006,172.23,--,250.66%,245.51%,3.30%,3.30%
,,,,,,
6/30/2006,166.72,--,239.45%,234.45%,-4.70%,-4.70%
5/31/2006,174.94,--,256.20%,250.96%,-1.37%,-1.37%
4/28/2006,177.38,--,261.16%,255.84%,11.95%,11.95%
,,,,,,
3/31/2006,158.44,--,222.60%,217.85%,3.47%,3.47%
2/28/2006,153.13,--,211.79%,207.20%,-1.68%,-1.68%
1/31/2006,155.74,--,217.10%,212.44%,10.36%,10.36%
,,,,,,
12/30/2005,141.13,--,187.35%,183.12%,4.39%,4.39%
11/30/2005,135.2,--,175.27%,171.22%,6.28%,6.28%
10/31/2005,127.2,--,158.99%,155.19%,-0.83%,-0.83%
,,,,,,
9/30/2005,128.27,--,161.16%,157.32%,8.12%,8.12%
8/31/2005,118.64,--,141.55%,138.00%,0.85%,0.85%
7/29/2005,117.64,--,139.52%,136.00%,-1.42%,-1.42%
,,,,,,
6/30/2005,119.33,--,142.96%,139.39%,4.60%,4.60%
5/31/2005,114.08,--,132.27%,128.85%,-4.29%,-4.29%
4/29/2005,119.19,--,142.68%,139.11%,1.39%,1.39%
,,,,,,
3/31/2005,117.56,--,139.36%,135.84%,-1.83%,-1.83%
2/28/2005,119.75,--,143.82%,140.23%,3.39%,3.39%
1/31/2005,115.83,--,135.83%,132.36%,-3.56%,-3.56%
,,,,,,
12/31/2004,120.11,--,144.55%,140.95%,-3.09%,-3.09%
11/30/2004,123.94,--,152.34%,148.63%,5.26%,5.26%
10/29/2004,117.75,--,139.74%,136.22%,2.28%,2.28%
,,,,,,
9/30/2004,115.12,--,134.39%,130.94%,2.08%,2.08%
8/31/2004,112.77,--,129.61%,126.24%,4.89%,4.89%
7/30/2004,107.52,--,118.91%,115.69%,-0.39%,-0.39%
,,,,,,
6/30/2004,107.94,--,119.77%,116.54%,-0.37%,-0.37%
5/31/2004,108.34,--,120.58%,117.34%,1.72%,1.72%
4/30/2004,106.5,--,116.85%,113.66%,-9.46%,-9.46%
,,,,,,
3/31/2004,117.63,--,139.49%,135.97%,7.76%,7.76%
2/27/2004,109.15,--,122.24%,118.97%,-1.44%,-1.44%
1/30/2004,110.75,--,125.50%,122.18%,-3.33%,-3.33%
,,,,,,
12/31/2003,114.57,--,133.28%,129.85%,4.64%,4.64%
11/28/2003,109.49,--,122.93%,119.66%,3.28%,3.28%
10/31/2003,106.02,--,115.86%,112.68%,-0.31%,-0.31%
,,,,,,
9/30/2003,106.35,--,116.53%,113.34%,2.55%,2.55%
8/29/2003,103.7,--,111.13%,108.03%,5.98%,5.98%
7/31/2003,97.84,--,99.21%,96.28%,2.38%,2.38%
,,,,,,
6/30/2003,95.57,--,94.59%,91.73%,-5.20%,-5.20%
5/30/2003,100.81,--,105.26%,102.24%,7.56%,7.56%
4/30/2003,93.73,--,90.83%,88.02%,0.84%,0.84%
,,,,,,
3/31/2003,92.95,--,89.25%,86.46%,-3.96%,-3.96%
2/28/2003,96.78,--,97.05%,94.15%,-5.01%,-5.01%
1/31/2003,101.88,--,107.43%,104.38%,5.84%,5.84%
,,,,,,
12/31/2002,96.26,--,95.99%,93.11%,9.69%,9.69%
11/29/2002,87.76,--,78.68%,76.05%,-0.34%,-0.34%
10/31/2002,88.05,--,79.28%,76.64%,-1.96%,-1.96%
,,,,,,
9/30/2002,89.81,--,82.86%,80.17%,3.75%,3.75%
8/30/2002,86.57,--,76.26%,73.66%,2.99%,2.99%
7/31/2002,84.05,--,71.14%,68.62%,-3.30%,-3.30%
,,,,,,
6/28/2002,86.93,--,76.99%,74.38%,-4.02%,-4.02%
5/31/2002,90.57,--,84.41%,81.69%,5.73%,5.73%
4/30/2002,85.66,--,74.41%,71.85%,1.97%,1.97%
,,,,,,
3/29/2002,84.01,--,71.04%,68.52%,2.04%,2.04%
2/28/2002,82.33,--,67.63%,65.16%,5.16%,5.16%
1/31/2002,78.29,--,59.40%,57.06%,1.28%,1.28%
,,,,,,
12/31/2001,77.3,--,57.38%,55.06%,1.64%,1.64%
11/30/2001,76.05,--,54.84%,52.56%,-2.05%,-2.05%
10/31/2001,77.64,--,58.07%,55.75%,-4.40%,-4.40%
,,,,,,
9/28/2001,81.21,--,65.34%,62.91%,6.57%,6.57%
8/31/2001,76.2,--,55.14%,52.86%,3.01%,3.01%
7/31/2001,73.97,--,50.60%,48.39%,-1.35%,-1.35%
,,,,,,
6/29/2001,74.98,--,52.67%,50.42%,1.94%,1.94%
5/31/2001,73.56,--,49.77%,47.57%,0.90%,0.90%
4/30/2001,72.9,--,48.44%,46.25%,2.35%,2.35%
,,,,,,
3/30/2001,71.23,--,45.02%,42.89%,-3.48%,-3.48%
2/28/2001,73.79,--,50.25%,48.04%,0.31%,0.31%
1/31/2001,73.56,--,49.78%,47.58%,-2.42%,-2.42%
,,,,,,
12/29/2000,75.39,--,53.49%,51.23%,0.59%,0.59%
11/30/2000,74.94,--,52.59%,50.34%,2.12%,2.12%
10/31/2000,73.39,--,49.43%,47.23%,-3.26%,-3.26%
,,,,,,
9/29/2000,75.87,--,54.47%,52.20%,-1.36%,-1.36%
8/31/2000,76.91,--,56.60%,54.30%,0.14%,0.14%
7/31/2000,76.81,--,56.38%,54.08%,-4.40%,-4.40%
,,,,,,
6/30/2000,80.34,--,63.58%,61.17%,6.59%,6.59%
5/31/2000,75.38,--,53.47%,51.21%,-0.41%,-0.41%
4/28/2000,75.69,--,54.11%,51.84%,-1.95%,-1.95%
,,,,,,
3/31/2000,77.19,--,57.16%,54.85%,-4.75%,-4.75%
2/29/2000,81.04,--,65.00%,62.57%,3.26%,3.26%
1/31/2000,78.48,--,59.79%,57.44%,-1.44%,-1.44%
,,,,,,
12/31/1999,79.63,--,62.12%,59.74%,-0.73%,-0.73%
11/30/1999,80.21,--,63.31%,60.91%,-2.51%,-2.51%
10/29/1999,82.27,--,67.51%,65.05%,0.66%,0.66%
,,,,,,
9/30/1999,81.73,--,66.41%,63.96%,16.86%,16.86%
8/31/1999,69.94,--,42.40%,40.31%,-0.16%,-0.16%
7/30/1999,70.05,--,42.63%,40.53%,-2.37%,-2.37%
,,,,,,
6/30/1999,71.75,--,46.09%,43.94%,-2.68%,-2.68%
5/31/1999,73.72,--,50.10%,47.90%,-5.75%,-5.75%
4/30/1999,78.22,--,59.26%,56.92%,2.46%,2.46%
,,,,,,
3/31/1999,76.34,--,55.44%,53.15%,-2.42%,-2.42%
2/26/1999,78.24,--,59.30%,56.95%,0.38%,0.38%
1/29/1999,77.94,--,58.69%,56.36%,-0.71%,-0.71%
,,,,,,
12/31/1998,78.5,--,59.83%,57.48%,-1.62%,-1.62%
11/30/1998,79.79,--,62.47%,60.08%,0.11%,0.11%
10/30/1998,79.7,--,62.28%,59.90%,-1.44%,-1.44%
,,,,,,
9/30/1998,80.87,--,64.65%,62.23%,7.63%,7.63%
8/31/1998,75.13,--,52.97%,50.72%,-3.58%,-3.58%
7/31/1998,77.92,--,58.65%,56.32%,-3.54%,-3.54%
,,,,,,
6/30/1998,80.78,--,64.47%,62.05%,1.47%,1.47%
5/29/1998,79.61,--,62.09%,59.71%,-4.45%,-4.45%
4/30/1998,83.32,--,69.65%,67.15%,1.94%,1.94%
,,,,,,
3/31/1998,81.74,--,66.42%,63.97%,0.92%,0.92%
2/27/1998,80.99,--,64.90%,62.47%,-1.09%,-1.09%
1/30/1998,81.88,--,66.71%,64.26%,4.97%,4.97%
,,,,,,
12/31/1997,78.01,--,58.83%,56.49%,-2.12%,-2.12%
11/28/1997,79.7,--,62.27%,59.88%,-4.66%,-4.66%
10/31/1997,83.6,--,70.21%,67.70%,-6.97%,-6.97%
,,,,,,
9/30/1997,89.86,--,82.96%,80.26%,3.36%,3.36%
8/29/1997,86.93,--,77.00%,74.40%,0.05%,0.05%
7/31/1997,86.89,--,76.91%,74.31%,-2.66%,-2.66%
,,,,,,
6/30/1997,89.26,--,81.74%,79.06%,-3.10%,-3.10%
5/30/1997,92.11,--,87.55%,84.79%,1.48%,1.48%
