BCOMCTTR Index Settings Total Return Analysis,,,,,,
Range01/29/1960 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 755 Month Holding Period Chart,,,,,,
Bloomberg Cotton Subindex Total Return Max Cuml Total Return 7622.1442% On 09/29/1995,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
1/29/1993,89.64,--,3084.41%,3061.50%,1.07%,1.07%
,,,,,,
12/31/1992,88.7,--,3050.85%,3028.18%,1.56%,1.56%
11/30/1992,87.34,--,3002.58%,2980.25%,11.08%,11.08%
10/30/1992,78.63,--,2693.05%,2672.95%,-1.03%,-1.03%
,,,,,,
9/30/1992,79.45,--,2722.15%,2701.85%,-3.98%,-3.98%
8/31/1992,82.74,--,2839.21%,2818.06%,-9.14%,-9.14%
7/31/1992,91.06,--,3134.73%,3111.46%,-4.24%,-4.24%
,,,,,,
6/30/1992,95.09,--,3277.93%,3253.63%,7.04%,7.04%
5/29/1992,88.84,--,3055.86%,3033.15%,-6.71%,-6.71%
4/30/1992,95.23,--,3282.97%,3258.63%,2.70%,2.70%
,,,,,,
3/31/1992,92.73,--,3194.12%,3170.42%,4.61%,4.61%
2/28/1992,88.65,--,3049.04%,3026.38%,3.74%,3.74%
1/31/1992,85.45,--,2935.53%,2913.69%,-10.03%,-10.03%
,,,,,,
12/31/1991,94.98,--,3273.80%,3249.52%,0.74%,0.74%
11/29/1991,94.27,--,3248.87%,3224.78%,-6.38%,-6.38%
10/31/1991,100.7,--,3477.05%,3451.31%,-4.10%,-4.10%
,,,,,,
9/30/1991,105,--,3629.92%,3603.08%,-2.40%,-2.40%
8/30/1991,107.58,--,3721.61%,3694.11%,-3.41%,-3.41%
7/31/1991,111.38,--,3856.47%,3828.00%,-4.04%,-4.04%
,,,,,,
6/28/1991,116.06,--,4022.85%,3993.18%,-2.44%,-2.44%
5/31/1991,118.97,--,4126.09%,4095.69%,-2.55%,-2.55%
4/30/1991,122.08,--,4236.75%,4205.55%,9.55%,9.55%
,,,,,,
3/29/1991,111.44,--,3858.77%,3830.28%,-5.98%,-5.98%
2/28/1991,118.53,--,4110.45%,4080.16%,13.02%,13.02%
1/31/1991,104.87,--,3625.39%,3598.58%,2.22%,2.22%
,,,,,,
12/31/1990,102.6,--,3544.63%,3518.41%,5.50%,5.50%
11/30/1990,97.25,--,3354.56%,3329.70%,-0.83%,-0.83%
10/31/1990,98.06,--,3383.46%,3358.40%,5.02%,5.02%
,,,,,,
9/28/1990,93.38,--,3216.98%,3193.11%,0.21%,0.21%
8/31/1990,93.18,--,3210.10%,3186.29%,0.25%,0.25%
7/31/1990,92.95,--,3201.98%,3178.22%,-2.14%,-2.14%
,,,,,,
6/29/1990,94.99,--,3274.29%,3250.02%,5.27%,5.27%
5/31/1990,90.23,--,3105.31%,3082.25%,8.20%,8.20%
4/30/1990,83.39,--,2862.33%,2841.02%,3.63%,3.63%
,,,,,,
3/30/1990,80.47,--,2758.43%,2737.87%,4.31%,4.31%
2/28/1990,77.14,--,2640.33%,2620.61%,3.15%,3.15%
1/31/1990,74.79,--,2556.64%,2537.52%,-2.23%,-2.23%
,,,,,,
12/29/1989,76.49,--,2617.28%,2597.73%,-1.95%,-1.95%
11/30/1989,78.01,--,2671.24%,2651.30%,-7.45%,-7.45%
10/31/1989,84.3,--,2894.40%,2872.86%,2.80%,2.80%
,,,,,,
9/29/1989,82,--,2812.71%,2791.76%,-0.37%,-0.37%
8/31/1989,82.3,--,2823.47%,2802.44%,-1.75%,-1.75%
7/31/1989,83.76,--,2875.53%,2854.12%,8.58%,8.58%
,,,,,,
6/30/1989,77.15,--,2640.48%,2620.76%,2.88%,2.88%
5/31/1989,74.99,--,2563.73%,2544.56%,5.94%,5.94%
4/28/1989,70.79,--,2414.49%,2396.40%,3.35%,3.35%
,,,,,,
3/31/1989,68.49,--,2332.91%,2315.40%,3.15%,3.15%
2/28/1989,66.4,--,2258.57%,2241.60%,1.10%,1.10%
1/31/1989,65.67,--,2232.82%,2216.04%,2.97%,2.97%
,,,,,,
12/30/1988,63.78,--,2165.48%,2149.18%,4.23%,4.23%
11/30/1988,61.19,--,2073.58%,2057.94%,1.24%,1.24%
10/31/1988,60.44,--,2046.99%,2031.55%,8.84%,8.84%
,,,,,,
9/30/1988,55.53,--,1872.66%,1858.47%,0.24%,0.24%
8/31/1988,55.4,--,1867.90%,1853.74%,-5.72%,-5.72%
7/29/1988,58.76,--,1987.37%,1972.35%,-7.83%,-7.83%
,,,,,,
6/30/1988,63.75,--,2164.74%,2148.44%,-4.72%,-4.72%
5/31/1988,66.92,--,2277.05%,2259.95%,6.81%,6.81%
4/29/1988,62.65,--,2125.47%,2109.46%,2.65%,2.65%
,,,,,,
3/31/1988,61.03,--,2067.94%,2052.34%,3.12%,3.12%
2/29/1988,59.18,--,2002.36%,1987.23%,-1.21%,-1.21%
1/29/1988,59.91,--,2028.13%,2012.82%,-7.21%,-7.21%
,,,,,,
12/31/1987,64.56,--,2193.51%,2177.01%,-3.62%,-3.62%
11/30/1987,66.99,--,2279.66%,2262.54%,3.01%,3.01%
10/30/1987,65.03,--,2210.09%,2193.47%,-6.69%,-6.69%
,,,,,,
9/30/1987,69.69,--,2375.60%,2357.79%,-5.74%,-5.74%
8/31/1987,73.93,--,2526.37%,2507.47%,-0.19%,-0.19%
7/31/1987,74.08,--,2531.43%,2512.50%,7.97%,7.97%
,,,,,,
6/30/1987,68.61,--,2337.23%,2319.69%,3.92%,3.92%
5/29/1987,66.02,--,2245.20%,2228.33%,14.29%,14.29%
4/30/1987,57.77,--,1952.04%,1937.27%,14.86%,14.86%
,,,,,,
3/31/1987,50.29,--,1686.56%,1673.70%,5.01%,5.01%
2/27/1987,47.9,--,1601.37%,1589.13%,0.99%,0.99%
1/30/1987,47.43,--,1584.68%,1572.56%,-6.49%,-6.49%
,,,,,,
12/31/1986,50.72,--,1701.60%,1688.63%,12.73%,12.73%
11/28/1986,44.99,--,1498.12%,1486.62%,14.81%,14.81%
10/31/1986,39.18,--,1291.94%,1281.93%,0.80%,0.80%
,,,,,,
