BCOMBOTR Index Settings Total Return Analysis,,,,,,
Range01/29/1960 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 755 Month Holding Period Chart,,,,,,
Bloomberg Soybean Oil Subindex Total Return Max Cuml Total Return 18163.2338% On 02/29/2008,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
1/31/2018,81.17,--,5483.78%,5472.66%,-0.44%,-0.44%
,,,,,,
12/29/2017,81.52,--,5508.47%,5497.30%,-2.15%,-2.15%
11/30/2017,83.31,--,5631.54%,5620.12%,-2.97%,-2.97%
10/31/2017,85.86,--,5806.67%,5794.91%,5.94%,5.94%
,,,,,,
9/29/2017,81.05,--,5475.58%,5464.48%,-6.31%,-6.31%
8/31/2017,86.51,--,5851.14%,5839.29%,-0.11%,-0.11%
7/31/2017,86.6,--,5857.73%,5845.86%,5.47%,5.47%
,,,,,,
6/30/2017,82.11,--,5548.95%,5537.71%,4.90%,4.90%
5/31/2017,78.28,--,5285.31%,5274.58%,-1.09%,-1.09%
4/28/2017,79.14,--,5344.44%,5333.60%,-0.90%,-0.90%
,,,,,,
3/31/2017,79.86,--,5394.15%,5383.21%,-6.28%,-6.28%
2/28/2017,85.21,--,5762.21%,5750.54%,-0.54%,-0.54%
1/31/2017,85.68,--,5794.13%,5782.39%,-2.29%,-2.29%
,,,,,,
12/30/2016,87.69,--,5932.36%,5920.35%,-6.94%,-6.94%
11/30/2016,94.23,--,6382.21%,6369.30%,4.56%,4.56%
10/31/2016,90.12,--,6099.53%,6087.18%,5.01%,5.01%
,,,,,,
9/30/2016,85.82,--,5803.91%,5792.16%,1.76%,1.76%
8/31/2016,84.33,--,5701.70%,5690.15%,6.58%,6.58%
7/29/2016,79.13,--,5343.65%,5332.81%,-3.78%,-3.78%
,,,,,,
6/30/2016,82.24,--,5557.57%,5546.30%,-1.32%,-1.32%
5/31/2016,83.34,--,5633.31%,5621.90%,-3.96%,-3.96%
4/29/2016,86.78,--,5869.71%,5857.82%,-3.91%,-3.91%
,,,,,,
3/31/2016,90.31,--,6112.84%,6100.47%,10.88%,10.88%
2/29/2016,81.45,--,5503.11%,5491.95%,-0.77%,-0.77%
1/29/2016,82.08,--,5546.33%,5535.09%,0.44%,0.44%
,,,,,,
12/31/2015,81.71,--,5521.46%,5510.27%,3.79%,3.79%
11/30/2015,78.73,--,5316.17%,5305.39%,3.17%,3.17%
10/30/2015,76.31,--,5149.93%,5139.48%,3.31%,3.31%
,,,,,,
9/30/2015,73.87,--,4981.84%,4971.72%,-3.22%,-3.22%
8/31/2015,76.32,--,5150.74%,5140.29%,-7.04%,-7.04%
7/31/2015,82.1,--,5548.09%,5536.84%,-10.80%,-10.80%
,,,,,,
6/30/2015,92.04,--,6231.90%,6219.29%,1.51%,1.51%
5/29/2015,90.67,--,6137.42%,6125.01%,5.31%,5.31%
4/30/2015,86.1,--,5822.95%,5811.16%,3.51%,3.51%
,,,,,,
