BCOMZSTR Index Settings Total Return Analysis,,,,,,
Range01/31/1991 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 383 Month Holding Period Chart,,,,,,
Bloomberg Zinc Subindex Total Return Max Cuml Total Return 248.5720% On 11/30/2006,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
11/30/2018,161.99,--,74.38%,61.99%,2.91%,2.91%
10/31/2018,157.4,--,69.44%,57.40%,-3.75%,-3.75%
,,,,,,
9/28/2018,163.54,--,76.04%,63.54%,7.80%,7.80%
8/31/2018,151.7,--,63.30%,51.70%,-5.76%,-5.76%
7/31/2018,160.97,--,73.28%,60.97%,-7.68%,-7.68%
,,,,,,
6/29/2018,174.36,--,87.70%,74.36%,-7.27%,-7.27%
5/31/2018,188.04,--,102.42%,88.04%,-0.80%,-0.80%
4/30/2018,189.55,--,104.05%,89.55%,-4.45%,-4.45%
,,,,,,
3/30/2018,198.39,--,113.56%,98.39%,-4.90%,-4.90%
2/28/2018,208.6,--,124.55%,108.60%,-2.42%,-2.42%
1/31/2018,213.78,--,130.13%,113.78%,6.88%,6.88%
,,,,,,
12/29/2017,200.03,--,115.33%,100.03%,5.34%,5.34%
11/30/2017,189.89,--,104.41%,89.89%,-3.53%,-3.53%
10/31/2017,196.83,--,111.88%,96.83%,4.27%,4.27%
,,,,,,
9/29/2017,188.76,--,103.20%,88.76%,0.82%,0.82%
8/31/2017,187.22,--,101.54%,87.22%,12.62%,12.62%
7/31/2017,166.24,--,78.95%,66.24%,1.17%,1.17%
,,,,,,
6/30/2017,164.32,--,76.88%,64.32%,6.02%,6.02%
5/31/2017,154.99,--,66.84%,54.99%,-0.99%,-0.99%
4/28/2017,156.53,--,68.50%,56.53%,-5.53%,-5.53%
,,,,,,
3/31/2017,165.69,--,78.36%,65.69%,-2.08%,-2.08%
2/28/2017,169.21,--,82.15%,69.21%,-1.16%,-1.16%
1/31/2017,171.19,--,84.28%,71.19%,11.01%,11.01%
,,,,,,
12/30/2016,154.21,--,66.01%,54.22%,-4.87%,-4.87%
11/30/2016,162.11,--,74.50%,62.11%,9.61%,9.61%
10/31/2016,147.9,--,59.21%,47.90%,3.22%,3.22%
,,,,,,
9/30/2016,143.28,--,54.24%,43.28%,2.73%,2.73%
8/31/2016,139.48,--,50.14%,39.48%,2.96%,2.96%
7/29/2016,135.46,--,45.82%,35.46%,6.49%,6.49%
,,,,,,
6/30/2016,127.2,--,36.93%,27.20%,9.38%,9.38%
5/31/2016,116.29,--,25.19%,16.29%,-0.89%,-0.89%
