BCOMLHTR Index Settings Total Return Analysis,,,,,,
Range01/30/1987 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 431 Month Holding Period Chart,,,,,,
Bloomberg Lean Hogs Subindex Total Return Max Cuml Total Return 248.9211% On 10/29/1993,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
,,,,,,
9/30/2014,21.6,--,-52.05%,-49.87%,4.61%,4.61%
8/29/2014,20.65,--,-54.16%,-52.07%,-4.89%,-4.89%
7/31/2014,21.71,--,-51.80%,-49.61%,-12.52%,-12.52%
,,,,,,
6/30/2014,24.82,--,-44.90%,-42.39%,6.38%,6.38%
5/30/2014,23.33,--,-48.21%,-45.85%,-5.50%,-5.50%
4/30/2014,24.69,--,-45.19%,-42.69%,-3.18%,-3.18%
,,,,,,
3/31/2014,25.5,--,-43.39%,-40.81%,11.19%,11.19%
2/28/2014,22.94,--,-49.09%,-46.77%,12.72%,12.72%
1/31/2014,20.35,--,-54.83%,-52.77%,4.67%,4.67%
,,,,,,
12/31/2013,19.44,--,-56.84%,-54.88%,-5.68%,-5.68%
11/29/2013,20.61,--,-54.24%,-52.16%,-2.97%,-2.97%
10/31/2013,21.24,--,-52.84%,-50.69%,2.95%,2.95%
,,,,,,
9/30/2013,20.63,--,-54.19%,-52.11%,2.48%,2.48%
8/30/2013,20.14,--,-55.30%,-53.26%,5.16%,5.16%
7/31/2013,19.15,--,-57.49%,-55.56%,-3.10%,-3.10%
,,,,,,
6/28/2013,19.76,--,-56.14%,-54.14%,5.66%,5.66%
5/31/2013,18.7,--,-58.48%,-56.59%,1.08%,1.08%
4/30/2013,18.5,--,-58.93%,-57.06%,1.65%,1.65%
,,,,,,
3/29/2013,18.2,--,-59.60%,-57.75%,0.44%,0.44%
2/28/2013,18.12,--,-59.77%,-57.94%,-9.34%,-9.34%
1/31/2013,19.99,--,-55.63%,-53.60%,0.75%,0.75%
,,,,,,
12/31/2012,19.84,--,-55.96%,-53.95%,-1.37%,-1.37%
11/30/2012,20.12,--,-55.34%,-53.31%,3.47%,3.47%
10/31/2012,19.44,--,-56.84%,-54.87%,6.15%,6.15%
,,,,,,
9/28/2012,18.32,--,-59.34%,-57.48%,0.72%,0.72%
8/31/2012,18.19,--,-59.63%,-57.79%,-7.62%,-7.62%
7/31/2012,19.69,--,-56.30%,-54.31%,-4.64%,-4.64%
,,,,,,
6/29/2012,20.64,--,-54.18%,-52.09%,5.46%,5.46%
5/31/2012,19.57,--,-56.55%,-54.57%,5.52%,5.52%
4/30/2012,18.55,--,-58.82%,-56.94%,-4.94%,-4.94%
,,,,,,
3/30/2012,19.52,--,-56.68%,-54.70%,-7.07%,-7.07%
2/29/2012,21,--,-53.38%,-51.26%,0.63%,0.63%
1/31/2012,20.87,--,-53.67%,-51.56%,2.12%,2.12%
,,,,,,
12/30/2011,20.44,--,-54.63%,-52.56%,-7.94%,-7.94%
11/30/2011,22.2,--,-50.72%,-48.47%,2.41%,2.41%
10/31/2011,21.68,--,-51.88%,-49.68%,-0.37%,-0.37%
,,,,,,
9/30/2011,21.76,--,-51.70%,-49.50%,7.69%,7.69%
8/31/2011,20.2,--,-55.15%,-53.10%,-7.46%,-7.46%
7/29/2011,21.83,--,-51.53%,-49.32%,7.50%,7.50%
,,,,,,
6/30/2011,20.31,--,-54.91%,-52.86%,2.30%,2.30%
5/31/2011,19.85,--,-55.93%,-53.92%,-5.83%,-5.83%
4/29/2011,21.08,--,-53.20%,-51.07%,-8.32%,-8.32%
,,,,,,
3/31/2011,23,--,-48.95%,-46.62%,2.82%,2.82%
2/28/2011,22.36,--,-50.35%,-48.09%,-5.52%,-5.52%
1/31/2011,23.67,--,-47.45%,-45.06%,10.55%,10.55%
,,,,,,
12/31/2010,21.41,--,-52.46%,-50.30%,5.26%,5.26%
11/30/2010,20.34,--,-54.84%,-52.78%,4.11%,4.11%
10/29/2010,19.54,--,-56.62%,-54.65%,-11.58%,-11.58%
,,,,,,
