BCOMNGTR Index Settings Total Return Analysis,,,,,,
Range01/31/1991 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 383 Month Holding Period Chart,,,,,,
Bloomberg Natural Gas Subindex Total Return Max Cuml Total Return 221.1904% On 12/29/2000,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
,,,,,,
9/29/2017,0.8,--,-99.08%,-99.20%,-2.97%,-2.97%
8/31/2017,0.83,--,-99.05%,-99.17%,7.17%,7.17%
7/31/2017,0.77,--,-99.12%,-99.23%,-7.73%,-7.73%
,,,,,,
6/30/2017,0.84,--,-99.04%,-99.16%,-1.78%,-1.78%
5/31/2017,0.85,--,-99.02%,-99.15%,-8.33%,-8.33%
4/28/2017,0.93,--,-98.94%,-99.07%,0.64%,0.64%
,,,,,,
3/31/2017,0.92,--,-98.94%,-99.08%,11.23%,11.23%
2/28/2017,0.83,--,-99.05%,-99.17%,-11.87%,-11.87%
1/31/2017,0.94,--,-98.92%,-99.06%,-15.35%,-15.35%
,,,,,,
12/30/2016,1.11,--,-98.73%,-98.89%,11.24%,11.24%
11/30/2016,1,--,-98.85%,-99.00%,4.95%,4.95%
10/31/2016,0.95,--,-98.91%,-99.05%,0.18%,0.18%
,,,,,,
9/30/2016,0.95,--,-98.91%,-99.05%,-3.21%,-3.21%
8/31/2016,0.98,--,-98.87%,-99.02%,-3.53%,-3.53%
7/29/2016,1.02,--,-98.83%,-98.98%,-1.41%,-1.41%
,,,,,,
6/30/2016,1.03,--,-98.82%,-98.97%,22.27%,22.27%
5/31/2016,0.85,--,-99.03%,-99.16%,-1.45%,-1.45%
4/29/2016,0.86,--,-99.02%,-99.14%,8.68%,8.68%
,,,,,,
3/31/2016,0.79,--,-99.10%,-99.21%,8.39%,8.39%
2/29/2016,0.73,--,-99.17%,-99.27%,-25.78%,-25.78%
1/29/2016,0.98,--,-98.88%,-99.02%,-2.73%,-2.73%
,,,,,,
12/31/2015,1.01,--,-98.84%,-98.99%,0.45%,0.45%
11/30/2015,1,--,-98.85%,-99.00%,-10.24%,-10.24%
10/30/2015,1.12,--,-98.72%,-98.88%,-13.50%,-13.50%
,,,,,,
9/30/2015,1.29,--,-98.52%,-98.71%,-8.58%,-8.58%
8/31/2015,1.41,--,-98.38%,-98.59%,-2.73%,-2.73%
7/31/2015,1.45,--,-98.33%,-98.55%,-4.43%,-4.43%
,,,,,,
6/30/2015,1.52,--,-98.26%,-98.48%,5.93%,5.93%
5/29/2015,1.44,--,-98.35%,-98.56%,-5.71%,-5.71%
4/30/2015,1.52,--,-98.25%,-98.48%,1.93%,1.93%
,,,,,,
3/31/2015,1.49,--,-98.29%,-98.51%,-4.72%,-4.72%
2/27/2015,1.57,--,-98.20%,-98.43%,0.51%,0.51%
1/30/2015,1.56,--,-98.21%,-98.44%,-7.08%,-7.08%
,,,,,,
12/31/2014,1.68,--,-98.08%,-98.32%,-28.87%,-28.87%
11/28/2014,2.36,--,-97.29%,-97.64%,3.26%,3.26%
10/31/2014,2.29,--,-97.38%,-97.71%,-8.08%,-8.08%
,,,,,,
9/30/2014,2.49,--,-97.15%,-97.51%,0.12%,0.12%
8/29/2014,2.48,--,-97.15%,-97.52%,4.75%,4.75%
7/31/2014,2.37,--,-97.28%,-97.63%,-13.49%,-13.49%
,,,,,,
6/30/2014,2.74,--,-96.86%,-97.26%,-1.73%,-1.73%
5/30/2014,2.79,--,-96.80%,-97.21%,-6.21%,-6.21%
4/30/2014,2.97,--,-96.59%,-97.03%,9.55%,9.55%
,,,,,,
3/31/2014,2.72,--,-96.89%,-97.29%,-3.93%,-3.93%
2/28/2014,2.83,--,-96.76%,-97.17%,-1.08%,-1.08%
1/31/2014,2.86,--,-96.73%,-97.14%,17.89%,17.89%
,,,,,,
12/31/2013,2.42,--,-97.22%,-97.58%,6.88%,6.88%
11/29/2013,2.27,--,-97.40%,-97.73%,7.95%,7.95%
10/31/2013,2.1,--,-97.59%,-97.90%,-3.79%,-3.79%
,,,,,,
9/30/2013,2.18,--,-97.50%,-97.82%,-3.36%,-3.36%
8/30/2013,2.26,--,-97.41%,-97.74%,2.16%,2.16%
