BCOMPBTR Index Settings Total Return Analysis,,,,,,
Range01/31/1991 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 383 Month Holding Period Chart,,,,,,
Bloomberg Lead Subindex Total Return Max Cuml Total Return 709.6169% On 10/31/2007,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
5/31/2017,394.72,--,321.00%,294.72%,-6.00%,-6.00%
4/28/2017,419.92,--,347.87%,319.92%,-3.94%,-3.94%
,,,,,,
3/31/2017,437.16,--,366.26%,337.16%,3.62%,3.62%
2/28/2017,421.89,--,349.97%,321.89%,-4.79%,-4.79%
1/31/2017,443.11,--,372.61%,343.11%,17.85%,17.85%
,,,,,,
12/30/2016,376,--,301.03%,276.00%,-14.91%,-14.91%
11/30/2016,441.88,--,371.30%,341.88%,14.37%,14.37%
10/31/2016,386.37,--,312.10%,286.37%,-3.08%,-3.08%
,,,,,,
9/30/2016,398.65,--,325.19%,298.65%,11.37%,11.37%
8/31/2016,357.94,--,281.77%,257.94%,4.38%,4.38%
7/29/2016,342.91,--,265.74%,242.91%,1.67%,1.67%
,,,,,,
6/30/2016,337.26,--,259.72%,237.26%,5.12%,5.12%
5/31/2016,320.83,--,242.18%,220.83%,-5.97%,-5.97%
4/29/2016,341.2,--,263.92%,241.20%,5.94%,5.94%
,,,,,,
3/31/2016,322.06,--,243.50%,222.06%,-2.95%,-2.95%
2/29/2016,331.86,--,253.96%,231.86%,2.00%,2.00%
1/29/2016,325.36,--,247.03%,225.36%,-4.20%,-4.20%
,,,,,,
12/31/2015,339.62,--,262.23%,239.62%,8.88%,8.88%
11/30/2015,311.92,--,232.69%,211.93%,-2.65%,-2.65%
10/30/2015,320.4,--,241.73%,220.40%,1.08%,1.08%
,,,,,,
9/30/2015,316.99,--,238.10%,216.99%,-3.62%,-3.62%
8/31/2015,328.89,--,250.79%,228.89%,1.78%,1.78%
7/31/2015,323.14,--,244.66%,223.14%,-3.45%,-3.45%
,,,,,,
6/30/2015,334.7,--,256.99%,234.70%,-9.99%,-9.99%
5/29/2015,371.85,--,296.61%,271.85%,-8.06%,-8.06%
4/30/2015,404.45,--,331.38%,304.45%,16.18%,16.18%
,,,,,,
3/31/2015,348.12,--,271.30%,248.12%,5.40%,5.40%
2/27/2015,330.28,--,252.27%,230.28%,-7.27%,-7.27%
1/30/2015,356.16,--,279.88%,256.16%,-0.15%,-0.15%
,,,,,,
12/31/2014,356.68,--,280.43%,256.68%,-8.63%,-8.63%
11/28/2014,390.36,--,316.35%,290.36%,0.99%,0.99%
10/31/2014,386.55,--,312.29%,286.55%,-4.63%,-4.63%
,,,,,,
9/30/2014,405.33,--,332.32%,305.33%,-6.47%,-6.47%
8/29/2014,433.36,--,362.21%,333.36%,0.56%,0.56%
7/31/2014,430.96,--,359.65%,330.96%,2.45%,2.45%
,,,,,,
6/30/2014,420.68,--,348.68%,320.68%,3.33%,3.33%
5/30/2014,407.11,--,334.22%,307.11%,-1.04%,-1.04%
4/30/2014,411.4,--,338.79%,311.40%,2.04%,2.04%
,,,,,,
3/31/2014,403.18,--,330.02%,303.18%,-3.60%,-3.60%
2/28/2014,418.24,--,346.08%,318.24%,1.00%,1.00%
1/31/2014,414.11,--,341.67%,314.11%,-4.91%,-4.91%
,,,,,,
12/31/2013,435.48,--,364.47%,335.48%,6.65%,6.65%
11/29/2013,408.34,--,335.53%,308.34%,-5.26%,-5.26%
10/31/2013,431.02,--,359.71%,331.02%,2.91%,2.91%
,,,,,,
9/30/2013,418.83,--,346.72%,318.83%,-2.08%,-2.08%
8/30/2013,427.72,--,356.20%,327.72%,3.66%,3.66%
7/31/2013,412.6,--,340.07%,312.60%,0.63%,0.63%
,,,,,,
6/28/2013,410.04,--,337.34%,310.04%,-7.39%,-7.39%
5/31/2013,442.75,--,372.23%,342.75%,8.98%,8.98%
4/30/2013,406.27,--,333.32%,306.27%,-4.37%,-4.37%
,,,,,,
3/29/2013,424.84,--,353.12%,324.84%,-7.71%,-7.71%
2/28/2013,460.35,--,390.99%,360.35%,-6.49%,-6.49%
1/31/2013,492.28,--,425.05%,392.28%,4.41%,4.41%
,,,,,,
12/31/2012,471.48,--,402.87%,371.48%,2.83%,2.83%
11/30/2012,458.49,--,389.02%,358.49%,9.10%,9.10%
10/31/2012,420.25,--,348.23%,320.25%,-9.72%,-9.72%
,,,,,,
9/28/2012,465.48,--,396.47%,365.48%,16.07%,16.07%
8/31/2012,401.05,--,327.75%,301.05%,2.25%,2.25%
7/31/2012,392.23,--,318.34%,292.23%,3.13%,3.13%
,,,,,,
6/29/2012,380.34,--,305.66%,280.34%,-3.29%,-3.29%
5/31/2012,393.27,--,319.45%,293.27%,-10.91%,-10.91%
4/30/2012,441.43,--,370.82%,341.43%,5.64%,5.64%
,,,,,,
3/30/2012,417.86,--,345.68%,317.86%,-5.61%,-5.61%
2/29/2012,442.67,--,372.14%,342.67%,-2.84%,-2.84%
