BCOMHOTR Index Settings Total Return Analysis,,,,,,
Range01/30/1987 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 431 Month Holding Period Chart,,,,,,
Bloomberg Heating Oil Subindex Total Return Max Cuml Total Return 2285.4834% On 06/30/2008,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
11/30/2018,233.01,--,532.79%,509.74%,-18.48%,-18.48%
10/31/2018,285.83,--,676.23%,647.96%,-4.23%,-4.23%
,,,,,,
9/28/2018,298.44,--,710.49%,680.97%,4.74%,4.74%
8/31/2018,284.95,--,673.84%,645.66%,4.92%,4.92%
7/31/2018,271.57,--,637.53%,610.66%,-3.39%,-3.39%
,,,,,,
6/29/2018,281.09,--,663.38%,635.58%,0.34%,0.34%
5/31/2018,280.14,--,660.80%,633.09%,3.03%,3.03%
4/30/2018,271.91,--,638.45%,611.56%,6.91%,6.91%
,,,,,,
3/30/2018,254.33,--,590.71%,565.55%,6.23%,6.23%
2/28/2018,239.41,--,550.17%,526.49%,-7.32%,-7.32%
1/31/2018,258.31,--,601.50%,575.94%,1.24%,1.24%
,,,,,,
12/29/2017,255.14,--,592.91%,567.67%,8.26%,8.26%
11/30/2017,235.69,--,540.07%,516.76%,1.02%,1.02%
10/31/2017,233.31,--,533.62%,510.55%,4.17%,4.17%
,,,,,,
9/29/2017,223.97,--,508.26%,486.10%,5.30%,5.30%
8/31/2017,212.71,--,477.66%,456.62%,2.89%,2.89%
7/31/2017,206.73,--,461.43%,440.99%,11.96%,11.96%
,,,,,,
6/30/2017,184.65,--,401.48%,383.21%,-3.02%,-3.02%
5/31/2017,190.41,--,417.12%,398.28%,0.25%,0.25%
4/28/2017,189.93,--,415.81%,397.02%,-4.60%,-4.60%
,,,,,,
3/31/2017,199.09,--,440.67%,420.98%,-4.46%,-4.46%
2/28/2017,208.39,--,465.94%,445.32%,0.06%,0.06%
1/31/2017,208.26,--,465.59%,444.99%,-6.12%,-6.12%
,,,,,,
12/30/2016,221.85,--,502.49%,480.54%,8.71%,8.71%
11/30/2016,204.08,--,454.24%,434.05%,3.63%,3.63%
10/31/2016,196.93,--,434.81%,415.33%,-3.26%,-3.26%
,,,,,,
9/30/2016,203.56,--,452.81%,432.68%,6.49%,6.49%
8/31/2016,191.15,--,419.11%,400.20%,7.02%,7.02%
7/29/2016,178.62,--,385.08%,367.41%,-13.29%,-13.29%
,,,,,,
6/30/2016,206,--,459.44%,439.06%,-0.39%,-0.39%
5/31/2016,206.8,--,461.61%,441.16%,7.40%,7.40%
4/29/2016,192.55,--,422.92%,403.88%,15.14%,15.14%
,,,,,,
3/31/2016,167.24,--,354.18%,337.64%,6.50%,6.50%
2/29/2016,157.02,--,326.44%,310.91%,0.59%,0.59%
1/29/2016,156.1,--,323.92%,308.48%,-6.09%,-6.09%
,,,,,,
12/31/2015,166.22,--,351.42%,334.98%,-18.71%,-18.71%
11/30/2015,204.47,--,455.30%,435.07%,-12.24%,-12.24%
10/30/2015,233,--,532.77%,509.72%,-3.40%,-3.40%
,,,,,,
9/30/2015,241.21,--,555.06%,531.20%,-10.53%,-10.53%
8/31/2015,269.59,--,632.14%,605.47%,6.50%,6.50%
7/31/2015,253.14,--,587.47%,562.43%,-16.56%,-16.56%
,,,,,,
6/30/2015,303.38,--,723.92%,693.91%,-3.51%,-3.51%
5/29/2015,314.42,--,753.90%,722.80%,-1.83%,-1.83%
4/30/2015,320.29,--,769.83%,738.15%,15.18%,15.18%
,,,,,,
3/31/2015,278.09,--,655.22%,627.72%,-11.68%,-11.68%
2/27/2015,314.88,--,755.14%,723.99%,15.68%,15.68%
1/30/2015,272.21,--,639.25%,612.32%,-6.40%,-6.40%
,,,,,,
12/31/2014,290.83,--,689.82%,661.05%,-14.14%,-14.14%
11/28/2014,338.73,--,819.91%,786.41%,-13.81%,-13.81%
10/31/2014,392.99,--,967.26%,928.38%,-5.65%,-5.65%
,,,,,,
9/30/2014,416.53,--,1031.19%,989.99%,-7.54%,-7.54%
8/29/2014,450.48,--,1123.40%,1078.83%,-1.30%,-1.30%
7/31/2014,456.4,--,1139.48%,1094.34%,-3.20%,-3.20%
,,,,,,
6/30/2014,471.49,--,1180.45%,1133.81%,2.91%,2.91%
5/30/2014,458.14,--,1144.20%,1098.88%,-1.21%,-1.21%
4/30/2014,463.76,--,1159.46%,1113.59%,0.04%,0.04%
,,,,,,
3/31/2014,463.59,--,1158.98%,1113.13%,-1.96%,-1.96%
2/28/2014,472.85,--,1184.15%,1137.38%,1.43%,1.43%
1/31/2014,466.18,--,1166.03%,1119.92%,-1.85%,-1.85%
,,,,,,
12/31/2013,474.98,--,1189.93%,1142.95%,0.83%,0.83%
11/29/2013,471.08,--,1179.33%,1132.73%,2.50%,2.50%
10/31/2013,459.57,--,1148.07%,1102.61%,-0.23%,-0.23%
,,,,,,
9/30/2013,460.63,--,1150.95%,1105.38%,-5.20%,-5.20%
8/30/2013,485.9,--,1219.58%,1171.52%,2.23%,2.23%
7/31/2013,475.32,--,1190.85%,1143.83%,6.70%,6.70%
,,,,,,
6/28/2013,445.47,--,1109.80%,1065.73%,2.63%,2.63%
5/31/2013,434.05,--,1078.77%,1035.83%,-2.06%,-2.06%
4/30/2013,443.18,--,1103.56%,1059.72%,-6.73%,-6.73%
,,,,,,
3/29/2013,475.15,--,1190.38%,1143.38%,0.40%,0.40%
2/28/2013,473.24,--,1185.20%,1138.39%,-3.28%,-3.28%
1/31/2013,489.28,--,1228.75%,1180.35%,3.38%,3.38%
,,,,,,
12/31/2012,473.26,--,1185.26%,1138.44%,-1.39%,-1.39%
11/30/2012,479.92,--,1203.34%,1155.87%,0.30%,0.30%
10/31/2012,478.5,--,1199.48%,1152.15%,-1.99%,-1.99%
,,,,,,
9/28/2012,488.21,--,1225.86%,1177.57%,-0.60%,-0.60%
8/31/2012,491.17,--,1233.90%,1185.31%,10.93%,10.93%
7/31/2012,442.76,--,1102.42%,1058.62%,5.04%,5.04%
,,,,,,
6/29/2012,421.52,--,1044.73%,1003.04%,-0.11%,-0.11%
5/31/2012,421.99,--,1046.02%,1004.28%,-15.15%,-15.15%
4/30/2012,497.34,--,1250.64%,1201.45%,0.03%,0.03%
,,,,,,
3/30/2012,497.18,--,1250.21%,1201.03%,-1.08%,-1.08%
2/29/2012,502.61,--,1264.97%,1215.25%,6.73%,6.73%
1/31/2012,470.92,--,1178.90%,1132.32%,4.99%,4.99%
,,,,,,
12/30/2011,448.53,--,1118.09%,1073.73%,-4.48%,-4.48%
11/30/2011,469.55,--,1175.19%,1128.74%,-0.91%,-0.91%
10/31/2011,473.88,--,1186.94%,1140.06%,10.35%,10.35%
,,,,,,
9/30/2011,429.41,--,1066.18%,1023.71%,-10.07%,-10.07%
8/31/2011,477.47,--,1196.70%,1149.47%,-1.03%,-1.03%
7/29/2011,482.42,--,1210.13%,1162.41%,4.66%,4.66%
,,,,,,
6/30/2011,460.96,--,1151.85%,1106.26%,-3.97%,-3.97%
5/31/2011,480.03,--,1203.65%,1156.16%,-7.24%,-7.24%
4/29/2011,517.51,--,1305.43%,1254.24%,4.90%,4.90%
,,,,,,
3/31/2011,493.33,--,1239.77%,1190.97%,5.36%,5.36%
2/28/2011,468.21,--,1171.55%,1125.24%,7.44%,7.44%
1/31/2011,435.79,--,1083.50%,1040.39%,7.54%,7.54%
,,,,,,
12/31/2010,405.23,--,1000.51%,960.43%,8.74%,8.74%
11/30/2010,372.65,--,912.04%,875.17%,2.78%,2.78%
10/29/2010,362.59,--,884.71%,848.84%,-2.08%,-2.08%
,,,,,,
9/30/2010,370.3,--,905.64%,869.01%,12.54%,12.54%
8/31/2010,329.05,--,793.61%,761.06%,-6.22%,-6.22%
7/30/2010,350.88,--,852.89%,818.18%,2.17%,2.17%
,,,,,,
6/30/2010,343.44,--,832.69%,798.72%,-0.25%,-0.25%
5/31/2010,344.28,--,834.99%,800.93%,-14.30%,-14.30%
4/30/2010,401.74,--,991.02%,951.28%,5.47%,5.47%
,,,,,,
3/31/2010,380.9,--,934.43%,896.75%,6.37%,6.37%
2/26/2010,358.09,--,872.49%,837.07%,6.20%,6.20%
1/29/2010,337.2,--,815.76%,782.40%,-9.84%,-9.84%
,,,,,,
12/31/2009,374.01,--,915.71%,878.71%,1.24%,1.24%
11/30/2009,369.43,--,903.28%,866.73%,0.49%,0.49%
10/30/2009,367.64,--,898.42%,862.06%,7.82%,7.82%
,,,,,,
9/30/2009,340.98,--,826.02%,792.29%,-0.37%,-0.37%
8/31/2009,342.25,--,829.46%,795.60%,-2.66%,-2.66%
7/31/2009,351.6,--,854.85%,820.07%,-0.25%,-0.25%
,,,,,,
6/30/2009,352.48,--,857.25%,822.38%,5.34%,5.34%
5/29/2009,334.61,--,808.73%,775.63%,22.52%,22.52%
4/30/2009,273.12,--,641.73%,614.71%,-3.96%,-3.96%
,,,,,,
3/31/2009,284.37,--,672.28%,644.15%,7.12%,7.12%
2/27/2009,265.48,--,620.97%,594.70%,-12.44%,-12.44%
1/30/2009,303.21,--,723.44%,693.45%,-2.28%,-2.28%
,,,,,,
12/31/2008,310.28,--,742.64%,711.95%,-18.68%,-18.68%
11/28/2008,381.58,--,936.26%,898.52%,-18.23%,-18.23%
10/31/2008,466.63,--,1167.24%,1121.09%,-28.96%,-28.96%
,,,,,,
9/30/2008,656.82,--,1683.76%,1618.79%,-9.97%,-9.97%
8/29/2008,729.52,--,1881.21%,1809.04%,-8.80%,-8.80%
7/31/2008,799.95,--,2072.45%,1993.32%,-12.25%,-12.25%
,,,,,,
6/30/2008,911.59,--,2375.66%,2285.48%,6.39%,6.39%
5/30/2008,856.81,--,2226.89%,2142.13%,15.82%,15.82%
4/30/2008,739.8,--,1909.13%,1835.95%,11.36%,11.36%
,,,,,,
3/31/2008,664.31,--,1704.09%,1638.38%,4.84%,4.84%
2/29/2008,633.64,--,1620.80%,1558.12%,12.06%,12.06%
1/31/2008,565.44,--,1435.60%,1379.67%,-3.84%,-3.84%
,,,,,,
12/31/2007,588.04,--,1496.97%,1438.80%,5.90%,5.90%
11/30/2007,555.26,--,1407.96%,1353.03%,-0.82%,-0.82%
10/31/2007,559.87,--,1420.46%,1365.08%,12.91%,12.91%
,,,,,,
9/28/2007,495.86,--,1246.63%,1197.58%,7.61%,7.61%
8/31/2007,460.81,--,1151.44%,1105.86%,-4.26%,-4.26%
7/31/2007,481.3,--,1207.08%,1159.47%,3.62%,3.62%
,,,,,,
6/29/2007,464.48,--,1161.42%,1115.48%,7.77%,7.77%
5/31/2007,431,--,1070.50%,1027.87%,-0.91%,-0.91%
4/30/2007,434.96,--,1081.26%,1038.23%,0.29%,0.29%
,,,,,,
3/30/2007,433.69,--,1077.79%,1034.89%,6.15%,6.15%
2/28/2007,408.58,--,1009.60%,969.18%,6.22%,6.22%
1/31/2007,384.67,--,944.67%,906.62%,0.35%,0.35%
,,,,,,
12/29/2006,383.33,--,941.04%,903.12%,-11.84%,-11.84%
11/30/2006,434.83,--,1080.89%,1037.88%,7.66%,7.66%
10/31/2006,403.89,--,996.88%,956.92%,-6.78%,-6.78%
,,,,,,
9/29/2006,433.29,--,1076.70%,1033.84%,-14.75%,-14.75%
8/31/2006,508.26,--,1280.32%,1230.04%,-3.65%,-3.65%
7/31/2006,527.5,--,1332.55%,1280.38%,-1.93%,-1.93%
,,,,,,
6/30/2006,537.87,--,1360.71%,1307.51%,1.22%,1.22%
5/31/2006,531.37,--,1343.07%,1290.51%,-1.66%,-1.66%
4/28/2006,540.36,--,1367.49%,1314.04%,8.07%,8.07%
,,,,,,
3/31/2006,499.99,--,1257.85%,1208.40%,7.31%,7.31%
2/28/2006,465.91,--,1165.30%,1119.22%,-9.08%,-9.08%
1/31/2006,512.45,--,1291.69%,1241.00%,3.54%,3.54%
,,,,,,
12/30/2005,494.92,--,1244.08%,1195.12%,2.61%,2.61%
11/30/2005,482.33,--,1209.90%,1162.19%,-9.34%,-9.34%
10/31/2005,532.02,--,1344.83%,1292.21%,-14.90%,-14.90%
,,,,,,
9/30/2005,625.19,--,1597.85%,1536.01%,2.21%,2.21%
8/31/2005,611.65,--,1561.08%,1500.58%,20.66%,20.66%
7/29/2005,506.91,--,1276.65%,1226.51%,1.54%,1.54%
,,,,,,
6/30/2005,499.25,--,1255.83%,1206.45%,12.62%,12.62%
5/31/2005,443.29,--,1103.86%,1060.01%,1.03%,1.03%
4/29/2005,438.77,--,1091.60%,1048.20%,-11.60%,-11.60%
,,,,,,
3/31/2005,496.33,--,1247.92%,1198.82%,15.53%,15.53%
2/28/2005,429.62,--,1066.75%,1024.25%,7.76%,7.76%
1/31/2005,398.7,--,982.77%,943.33%,9.77%,9.77%
,,,,,,
12/31/2004,363.2,--,886.36%,850.43%,-11.87%,-11.87%
11/30/2004,412.11,--,1019.19%,978.43%,-3.35%,-3.35%
10/29/2004,426.38,--,1057.95%,1015.77%,5.92%,5.92%
,,,,,,
9/30/2004,402.55,--,993.24%,953.42%,22.34%,22.34%
8/31/2004,329.04,--,793.58%,761.03%,-4.71%,-4.71%
7/30/2004,345.31,--,837.77%,803.61%,13.78%,13.78%
,,,,,,
6/30/2004,303.48,--,724.17%,694.15%,1.20%,1.20%
5/31/2004,299.87,--,714.37%,684.71%,6.39%,6.39%
4/30/2004,281.85,--,665.45%,637.57%,6.92%,6.92%
,,,,,,
3/31/2004,263.61,--,615.89%,589.82%,-1.32%,-1.32%
2/27/2004,267.15,--,625.50%,599.08%,6.39%,6.39%
1/30/2004,251.1,--,581.93%,557.09%,1.74%,1.74%
,,,,,,
12/31/2003,246.81,--,570.27%,545.86%,9.51%,9.51%
11/28/2003,225.38,--,512.07%,489.77%,4.70%,4.70%
10/31/2003,215.25,--,484.58%,463.28%,0.69%,0.69%
,,,,,,
9/30/2003,213.79,--,480.59%,459.45%,-5.64%,-5.64%
8/29/2003,226.57,--,515.31%,492.90%,2.78%,2.78%
7/31/2003,220.44,--,498.66%,476.86%,1.05%,1.05%
,,,,,,
6/30/2003,218.15,--,492.43%,470.86%,4.59%,4.59%
5/30/2003,208.57,--,466.42%,445.79%,10.11%,10.11%
4/30/2003,189.42,--,414.41%,395.67%,-8.69%,-8.69%
,,,,,,
3/31/2003,207.45,--,463.37%,442.85%,-18.75%,-18.75%
2/28/2003,255.32,--,593.37%,568.12%,20.42%,20.42%
1/31/2003,212.02,--,475.79%,454.82%,11.65%,11.65%
,,,,,,
12/31/2002,189.89,--,415.69%,396.91%,13.92%,13.92%
11/29/2002,166.68,--,352.67%,336.18%,1.20%,1.20%
10/31/2002,164.7,--,347.29%,330.99%,-8.04%,-8.04%
,,,,,,
9/30/2002,179.1,--,386.39%,368.68%,4.84%,4.84%
8/30/2002,170.83,--,363.94%,347.04%,9.53%,9.53%
7/31/2002,155.97,--,323.59%,308.16%,-0.28%,-0.28%
,,,,,,
6/28/2002,156.41,--,324.78%,309.31%,4.56%,4.56%
5/31/2002,149.6,--,306.27%,291.47%,-7.74%,-7.74%
4/30/2002,162.14,--,340.33%,324.29%,2.72%,2.72%
,,,,,,
3/29/2002,157.85,--,328.68%,313.07%,17.77%,17.77%
2/28/2002,134.03,--,264.00%,250.74%,6.61%,6.61%
1/31/2002,125.72,--,241.43%,228.99%,-3.52%,-3.52%
,,,,,,
12/31/2001,130.31,--,253.90%,241.01%,-2.53%,-2.53%
11/30/2001,133.69,--,263.08%,249.85%,-11.44%,-11.44%
10/31/2001,150.96,--,309.96%,295.03%,-9.89%,-9.89%
,,,,,,
9/28/2001,167.52,--,354.95%,338.38%,-13.68%,-13.68%
8/31/2001,194.07,--,427.05%,407.86%,9.40%,9.40%
7/31/2001,177.4,--,381.77%,364.23%,-2.64%,-2.64%
,,,,,,
6/29/2001,182.21,--,394.85%,376.83%,-7.61%,-7.61%
5/31/2001,197.21,--,435.59%,416.08%,2.50%,2.50%
4/30/2001,192.39,--,422.50%,403.47%,11.51%,11.51%
,,,,,,
3/30/2001,172.54,--,368.58%,351.52%,1.77%,1.77%
2/28/2001,169.55,--,360.45%,343.68%,-2.82%,-2.82%
1/31/2001,174.47,--,373.81%,356.55%,-7.74%,-7.74%
,,,,,,
12/29/2000,189.11,--,413.57%,394.87%,-8.81%,-8.81%
11/30/2000,207.38,--,463.20%,442.69%,10.84%,10.84%
