BCOMFCT Index Settings Total Return Analysis,,,,,,
Range01/31/1991 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 383 Month Holding Period Chart,,,,,,
Bloomberg Feeder Cattle Subindex Total Return Max Cuml Total Return 301.6952% On 11/28/2014,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
3/30/2018,285.7,--,179.71%,185.48%,-9.65%,-9.65%
2/28/2018,316.23,--,209.60%,215.99%,1.12%,1.12%
1/31/2018,312.74,--,206.18%,212.50%,1.80%,1.80%
,,,,,,
12/29/2017,307.21,--,200.77%,206.98%,-6.17%,-6.17%
11/30/2017,327.42,--,220.55%,227.17%,-3.29%,-3.29%
10/31/2017,338.54,--,231.44%,238.28%,5.41%,5.41%
,,,,,,
9/29/2017,321.15,--,214.42%,220.91%,7.98%,7.98%
8/31/2017,297.41,--,191.18%,197.19%,-1.91%,-1.91%
7/31/2017,303.21,--,196.85%,202.98%,-0.05%,-0.05%
,,,,,,
6/30/2017,303.37,--,197.01%,203.14%,-2.97%,-2.97%
5/31/2017,312.65,--,206.09%,212.41%,-1.29%,-1.29%
4/28/2017,316.74,--,210.10%,216.50%,15.06%,15.06%
,,,,,,
3/31/2017,275.27,--,169.50%,175.06%,6.46%,6.46%
2/28/2017,258.57,--,153.15%,158.37%,2.07%,2.07%
1/31/2017,253.33,--,148.01%,153.13%,-1.81%,-1.81%
,,,,,,
12/30/2016,258,--,152.59%,157.81%,0.04%,0.04%
11/30/2016,257.89,--,152.48%,157.69%,10.75%,10.75%
10/31/2016,232.85,--,127.97%,132.68%,-0.68%,-0.68%
,,,,,,
9/30/2016,234.44,--,129.53%,134.26%,-11.56%,-11.56%
8/31/2016,265.1,--,159.54%,164.90%,0.48%,0.48%
7/29/2016,263.83,--,158.30%,163.63%,-3.26%,-3.26%
,,,,,,
6/30/2016,272.71,--,166.99%,172.51%,-1.88%,-1.88%
5/31/2016,277.94,--,172.11%,177.73%,4.82%,4.82%
4/29/2016,265.17,--,159.61%,164.97%,-10.18%,-10.18%
,,,,,,
3/31/2016,295.23,--,189.04%,195.00%,-1.74%,-1.74%
2/29/2016,300.47,--,194.17%,200.24%,0.82%,0.82%
1/29/2016,298.03,--,191.78%,197.80%,-3.89%,-3.89%
,,,,,,
12/31/2015,310.1,--,203.60%,209.86%,2.05%,2.05%
11/30/2015,303.88,--,197.51%,203.65%,-11.15%,-11.15%
10/30/2015,342.03,--,234.86%,241.77%,9.52%,9.52%
,,,,,,
9/30/2015,312.29,--,205.75%,212.06%,-11.80%,-11.80%
8/31/2015,354.08,--,246.66%,253.81%,-3.84%,-3.84%
7/31/2015,368.24,--,260.52%,267.96%,-2.66%,-2.66%
,,,,,,
6/30/2015,378.3,--,270.37%,278.01%,-3.69%,-3.69%
5/29/2015,392.79,--,284.55%,292.49%,3.84%,3.84%
4/30/2015,378.25,--,270.32%,277.96%,-1.77%,-1.77%
,,,,,,
3/31/2015,385.08,--,277.00%,284.78%,9.07%,9.07%
2/27/2015,353.07,--,245.67%,252.80%,-3.00%,-3.00%
1/30/2015,364,--,256.37%,263.73%,-5.58%,-5.58%
,,,,,,
12/31/2014,385.5,--,277.42%,285.21%,-4.10%,-4.10%
11/28/2014,402,--,293.57%,301.70%,1.14%,1.14%
10/31/2014,397.47,--,289.14%,297.17%,-0.13%,-0.13%
,,,,,,
9/30/2014,397.99,--,289.64%,297.69%,9.38%,9.38%
8/29/2014,363.84,--,256.21%,263.56%,-1.94%,-1.94%
7/31/2014,371.05,--,263.27%,270.77%,3.36%,3.36%
,,,,,,
6/30/2014,358.98,--,251.45%,258.71%,7.98%,7.98%
5/30/2014,332.44,--,225.47%,232.19%,5.11%,5.11%
4/30/2014,316.28,--,209.65%,216.04%,4.30%,4.30%
,,,,,,
3/31/2014,303.25,--,196.89%,203.02%,2.39%,2.39%
2/28/2014,296.16,--,189.95%,195.93%,1.65%,1.65%
1/31/2014,291.35,--,185.24%,191.13%,1.21%,1.21%
,,,,,,
12/31/2013,287.85,--,181.82%,187.64%,1.21%,1.21%
11/29/2013,284.42,--,178.45%,184.20%,1.11%,1.11%
10/31/2013,281.31,--,175.41%,181.09%,-0.19%,-0.19%
,,,,,,
9/30/2013,281.85,--,175.94%,181.64%,3.10%,3.10%
8/30/2013,273.37,--,167.64%,173.16%,-0.09%,-0.09%
7/31/2013,273.62,--,167.88%,173.41%,3.58%,3.58%
,,,,,,
6/28/2013,264.15,--,158.62%,163.95%,3.55%,3.55%
5/31/2013,255.09,--,149.74%,154.89%,-3.07%,-3.07%
4/30/2013,263.16,--,157.64%,162.96%,-2.08%,-2.08%
,,,,,,
3/29/2013,268.75,--,163.12%,168.55%,-2.00%,-2.00%
2/28/2013,274.24,--,168.49%,174.03%,-5.04%,-5.04%
1/31/2013,288.79,--,182.74%,188.57%,-3.06%,-3.06%
,,,,,,
12/31/2012,297.9,--,191.65%,197.67%,4.42%,4.42%
11/30/2012,285.28,--,179.30%,185.06%,-2.06%,-2.06%
10/31/2012,291.28,--,185.17%,191.06%,0.91%,0.91%
,,,,,,
9/28/2012,288.66,--,182.61%,188.44%,-1.84%,-1.84%
8/31/2012,294.07,--,187.91%,193.85%,3.43%,3.43%
7/31/2012,284.32,--,178.36%,184.11%,-9.81%,-9.81%
,,,,,,
6/29/2012,315.24,--,208.63%,215.01%,-3.41%,-3.41%
5/31/2012,326.36,--,219.51%,226.11%,2.01%,2.01%
4/30/2012,319.93,--,213.22%,219.69%,1.03%,1.03%
,,,,,,
3/30/2012,316.66,--,210.02%,216.42%,-7.87%,-7.87%
2/29/2012,343.7,--,236.50%,243.44%,1.63%,1.63%
