BCOMKCTR Index Settings Total Return Analysis,,,,,,
Range01/31/1973 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 599 Month Holding Period Chart,,,,,,
Bloomberg Coffee Subindex Total Return Max Cuml Total Return 3610.0994% On 05/30/1997,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
3/31/2008,58.03,--,579.87%,599.07%,-23.52%,-23.52%
2/29/2008,75.87,--,788.99%,814.09%,18.84%,18.84%
1/31/2008,63.85,--,648.07%,669.20%,1.69%,1.69%
,,,,,,
12/31/2007,62.79,--,635.64%,656.41%,5.70%,5.70%
11/30/2007,59.4,--,595.98%,615.63%,3.28%,3.28%
10/31/2007,57.52,--,573.90%,592.93%,-5.33%,-5.33%
,,,,,,
9/28/2007,60.76,--,611.84%,631.94%,11.40%,11.40%
8/31/2007,54.54,--,539.00%,557.05%,-1.59%,-1.59%
7/31/2007,55.42,--,549.32%,567.66%,1.77%,1.77%
,,,,,,
6/29/2007,54.46,--,538.04%,556.06%,-1.28%,-1.28%
5/31/2007,55.16,--,546.30%,564.55%,5.85%,5.85%
4/30/2007,52.11,--,510.56%,527.81%,-4.90%,-4.90%
,,,,,,
3/30/2007,54.8,--,542.02%,560.15%,-7.42%,-7.42%
2/28/2007,59.19,--,593.48%,613.07%,-1.45%,-1.45%
1/31/2007,60.06,--,603.69%,623.56%,-6.35%,-6.35%
,,,,,,
12/29/2006,64.13,--,651.37%,672.59%,1.93%,1.93%
11/30/2006,62.92,--,637.16%,657.98%,11.30%,11.30%
10/31/2006,56.53,--,562.32%,581.02%,1.00%,1.00%
,,,,,,
9/29/2006,55.97,--,555.77%,574.29%,0.07%,0.07%
8/31/2006,55.93,--,555.33%,573.84%,5.25%,5.25%
7/31/2006,53.14,--,522.66%,540.24%,-1.31%,-1.31%
,,,,,,
6/30/2006,53.85,--,530.90%,548.72%,-0.31%,-0.31%
5/31/2006,54.01,--,532.85%,550.72%,-9.41%,-9.41%
4/28/2006,59.62,--,598.55%,618.28%,0.16%,0.16%
,,,,,,
3/31/2006,59.52,--,597.40%,617.09%,-5.52%,-5.52%
2/28/2006,63,--,638.17%,659.01%,-5.98%,-5.98%
1/31/2006,67.01,--,685.09%,707.26%,10.77%,10.77%
,,,,,,
12/30/2005,60.49,--,608.74%,628.75%,10.77%,10.77%
11/30/2005,54.61,--,539.84%,557.91%,-2.82%,-2.82%
10/31/2005,56.19,--,558.40%,576.99%,3.75%,3.75%
,,,,,,
9/30/2005,54.16,--,534.59%,552.51%,-7.25%,-7.25%
8/31/2005,58.39,--,584.19%,603.51%,-5.96%,-5.96%
7/29/2005,62.1,--,627.55%,648.09%,-4.29%,-4.29%
,,,,,,
6/30/2005,64.88,--,660.14%,681.61%,-11.01%,-11.01%
5/31/2005,72.91,--,754.22%,778.34%,-7.26%,-7.26%
4/29/2005,78.62,--,821.14%,847.15%,-1.10%,-1.10%
,,,,,,
3/31/2005,79.49,--,831.35%,857.65%,4.24%,4.24%
2/28/2005,76.26,--,793.50%,818.73%,13.01%,13.01%
1/31/2005,67.48,--,690.63%,712.95%,1.75%,1.75%
,,,,,,
12/31/2004,66.32,--,677.03%,698.97%,6.66%,6.66%
11/30/2004,62.18,--,628.50%,649.08%,26.27%,26.27%
10/29/2004,49.24,--,476.93%,493.22%,-9.53%,-9.53%
,,,,,,
9/30/2004,54.43,--,537.68%,555.69%,13.58%,13.58%
8/31/2004,47.92,--,461.42%,477.27%,4.11%,4.11%
7/30/2004,46.02,--,439.24%,454.46%,-11.65%,-11.65%
,,,,,,
6/30/2004,52.09,--,510.37%,527.60%,-14.33%,-14.33%
5/31/2004,60.81,--,612.47%,632.59%,23.90%,23.90%
4/30/2004,49.08,--,475.02%,491.26%,-9.21%,-9.21%
,,,,,,
3/31/2004,54.06,--,533.38%,551.26%,-3.83%,-3.83%
2/27/2004,56.21,--,558.58%,577.17%,-1.36%,-1.36%
1/30/2004,56.98,--,567.67%,586.52%,16.33%,16.33%
,,,,,,
12/31/2003,48.99,--,473.96%,490.16%,7.18%,7.18%
11/28/2003,45.7,--,435.49%,450.61%,-1.65%,-1.65%
10/31/2003,46.47,--,444.49%,459.87%,-6.68%,-6.68%
,,,,,,
9/30/2003,49.8,--,483.48%,499.96%,-0.71%,-0.71%
8/29/2003,50.15,--,487.63%,504.22%,-4.25%,-4.25%
7/31/2003,52.38,--,513.68%,531.01%,3.93%,3.93%
,,,,,,
6/30/2003,50.4,--,490.50%,507.17%,1.38%,1.38%
5/30/2003,49.71,--,482.47%,498.92%,-15.66%,-15.66%
4/30/2003,58.95,--,590.65%,610.15%,13.25%,13.25%
,,,,,,
3/31/2003,52.05,--,509.84%,527.06%,-0.75%,-0.75%
2/28/2003,52.44,--,514.44%,531.79%,-13.32%,-13.32%
1/31/2003,60.5,--,608.87%,628.89%,8.58%,8.58%
,,,,,,
12/31/2002,55.72,--,552.85%,571.29%,-14.63%,-14.63%
11/29/2002,65.27,--,664.77%,686.36%,2.16%,2.16%
10/31/2002,63.89,--,648.58%,669.72%,21.17%,21.17%
,,,,,,
9/30/2002,52.73,--,517.77%,535.22%,2.59%,2.59%
8/30/2002,51.4,--,502.19%,519.20%,5.92%,5.92%
7/31/2002,48.52,--,468.53%,484.59%,-4.05%,-4.05%
,,,,,,
6/28/2002,50.57,--,492.52%,509.25%,-10.78%,-10.78%
5/31/2002,56.68,--,564.08%,582.83%,-1.65%,-1.65%
4/30/2002,57.63,--,575.22%,594.29%,-11.00%,-11.00%
,,,,,,
3/29/2002,64.75,--,658.71%,680.13%,23.71%,23.71%
2/28/2002,52.34,--,513.27%,530.59%,-3.56%,-3.56%
1/31/2002,54.28,--,535.93%,553.89%,-2.24%,-2.24%
,,,,,,
12/31/2001,55.52,--,550.52%,568.89%,0.15%,0.15%
11/30/2001,55.44,--,549.54%,567.89%,-1.15%,-1.15%
10/31/2001,56.08,--,557.11%,575.67%,-8.92%,-8.92%
,,,,,,
9/28/2001,61.58,--,621.48%,641.86%,-10.92%,-10.92%
8/31/2001,69.13,--,709.95%,732.82%,-2.44%,-2.44%
7/31/2001,70.85,--,730.17%,753.62%,-10.92%,-10.92%
,,,,,,
6/29/2001,79.54,--,831.89%,858.21%,-2.44%,-2.44%
5/31/2001,81.53,--,855.21%,882.18%,-11.04%,-11.04%
4/30/2001,91.65,--,973.78%,1004.11%,2.23%,2.23%
,,,,,,
3/30/2001,89.65,--,950.41%,980.07%,-8.15%,-8.15%
2/28/2001,97.61,--,1043.62%,1075.91%,-0.86%,-0.86%
1/31/2001,98.45,--,1053.55%,1086.12%,-2.27%,-2.27%
,,,,,,
12/29/2000,100.74,--,1080.35%,1113.68%,-8.14%,-8.14%
11/30/2000,109.67,--,1184.92%,1221.21%,-9.48%,-9.48%
10/31/2000,121.15,--,1319.49%,1359.58%,-9.87%,-9.87%
,,,,,,
9/29/2000,134.41,--,1474.88%,1519.35%,4.65%,4.65%
8/31/2000,128.44,--,1404.91%,1447.40%,-12.59%,-12.59%
7/31/2000,146.95,--,1621.75%,1670.37%,-0.64%,-0.64%
,,,,,,
6/30/2000,147.89,--,1632.77%,1681.70%,-8.79%,-8.79%
5/31/2000,162.15,--,1799.83%,1853.48%,-4.59%,-4.59%
4/28/2000,169.95,--,1891.18%,1947.41%,-7.92%,-7.92%
,,,,,,
3/31/2000,184.56,--,2062.44%,2123.50%,3.80%,3.80%
2/29/2000,177.8,--,1983.26%,2042.09%,-11.48%,-11.48%
1/31/2000,200.87,--,2253.50%,2319.96%,-11.33%,-11.33%
,,,,,,
12/31/1999,226.54,--,2554.23%,2629.18%,-6.05%,-6.05%
11/30/1999,241.12,--,2725.15%,2804.93%,30.86%,30.86%
10/29/1999,184.27,--,2058.96%,2119.93%,22.00%,22.00%
,,,,,,
9/30/1999,151.03,--,1669.61%,1719.58%,-7.87%,-7.87%
8/31/1999,163.94,--,1820.76%,1875.00%,-2.92%,-2.92%
7/30/1999,168.87,--,1878.52%,1934.40%,-9.81%,-9.81%
,,,,,,
6/30/1999,187.23,--,2093.65%,2155.59%,-17.54%,-17.54%
5/31/1999,227.05,--,2560.21%,2635.34%,17.33%,17.33%
4/30/1999,193.51,--,2167.27%,2231.30%,-6.51%,-6.51%
,,,,,,
3/31/1999,206.98,--,2325.07%,2393.55%,7.05%,7.05%
2/26/1999,193.35,--,2165.37%,2229.34%,-2.35%,-2.35%
1/29/1999,198,--,2219.88%,2285.40%,-11.45%,-11.45%
,,,,,,
12/31/1998,223.59,--,2519.76%,2593.74%,7.36%,7.36%
11/30/1998,208.27,--,2340.26%,2409.17%,4.43%,4.43%
10/30/1998,199.43,--,2236.66%,2302.64%,4.97%,4.97%
,,,,,,
9/30/1998,189.99,--,2126.04%,2188.91%,-9.27%,-9.27%
