BCOMCOT Index Settings Total Return Analysis,,,,,,
Range01/31/1991 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 383 Month Holding Period Chart,,,,,,
Bloomberg Brent Crude Subindex Total Return Max Cuml Total Return 2296.2872% On 06/30/2008,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
,,,,,,
3/31/2020,289.09,--,255.84%,202.78%,-43.22%,-43.22%
2/28/2020,509.15,--,526.72%,433.27%,-11.86%,-11.86%
1/31/2020,577.64,--,611.03%,505.01%,-12.59%,-12.59%
,,,,,,
12/31/2019,660.86,--,713.47%,592.17%,10.43%,10.43%
11/29/2019,598.46,--,636.66%,526.82%,3.06%,3.06%
10/31/2019,580.68,--,614.78%,508.19%,2.10%,2.10%
,,,,,,
9/30/2019,568.74,--,600.08%,495.69%,1.40%,1.40%
8/30/2019,560.87,--,590.39%,487.45%,-8.06%,-8.06%
7/31/2019,610.03,--,650.91%,538.94%,0.84%,0.84%
,,,,,,
6/28/2019,604.98,--,644.68%,533.64%,6.04%,6.04%
5/31/2019,570.53,--,602.28%,497.56%,-13.02%,-13.02%
4/30/2019,655.94,--,707.42%,587.02%,7.44%,7.44%
,,,,,,
3/29/2019,610.5,--,651.48%,539.43%,1.87%,1.87%
2/28/2019,599.28,--,637.67%,527.67%,9.03%,9.03%
1/31/2019,549.63,--,576.56%,475.67%,12.75%,12.75%
,,,,,,
12/31/2018,487.47,--,500.05%,410.57%,-9.51%,-9.51%
11/30/2018,538.73,--,563.14%,464.26%,-20.94%,-20.94%
10/31/2018,681.4,--,738.76%,613.69%,-8.57%,-8.57%
,,,,,,
9/28/2018,745.24,--,817.34%,680.56%,7.25%,7.25%
8/31/2018,694.85,--,755.32%,627.78%,4.55%,4.55%
7/31/2018,664.61,--,718.08%,596.10%,-5.69%,-5.69%
,,,,,,
6/29/2018,704.7,--,767.44%,638.09%,2.72%,2.72%
5/31/2018,686.03,--,744.46%,618.54%,4.59%,4.59%
4/30/2018,655.93,--,707.41%,587.01%,8.65%,8.65%
,,,,,,
3/30/2018,603.7,--,643.11%,532.31%,7.25%,7.25%
2/28/2018,562.91,--,592.90%,489.58%,-5.49%,-5.49%
1/31/2018,595.58,--,633.12%,523.80%,3.98%,3.98%
,,,,,,
12/29/2017,572.78,--,605.05%,499.92%,7.38%,7.38%
11/30/2017,533.41,--,556.59%,458.68%,3.01%,3.01%
10/31/2017,517.82,--,537.40%,442.36%,7.79%,7.79%
,,,,,,
9/29/2017,480.4,--,491.34%,403.16%,7.79%,7.79%
8/31/2017,445.67,--,448.59%,366.78%,0.07%,0.07%
7/31/2017,445.36,--,448.20%,366.46%,7.19%,7.19%
,,,,,,
6/30/2017,415.49,--,411.43%,335.17%,-4.46%,-4.46%
5/31/2017,434.89,--,435.32%,355.50%,-2.93%,-2.93%
4/28/2017,448.02,--,451.48%,369.24%,-3.17%,-3.17%
,,,,,,
3/31/2017,462.7,--,469.55%,384.62%,-5.55%,-5.55%
2/28/2017,489.91,--,503.05%,413.12%,1.11%,1.11%
1/31/2017,484.51,--,496.40%,407.47%,-3.36%,-3.36%
,,,,,,
12/30/2016,501.36,--,517.13%,425.11%,8.21%,8.21%
11/30/2016,463.31,--,470.30%,385.26%,3.73%,3.73%
10/31/2016,446.64,--,449.78%,367.80%,-4.19%,-4.19%
,,,,,,
9/30/2016,466.17,--,473.82%,388.26%,6.17%,6.17%
8/31/2016,439.08,--,440.48%,359.88%,6.65%,6.65%
7/29/2016,411.72,--,406.79%,331.22%,-13.58%,-13.58%
,,,,,,
6/30/2016,476.4,--,486.41%,398.97%,-1.13%,-1.13%
5/31/2016,481.84,--,493.11%,404.67%,4.08%,4.08%
4/29/2016,462.95,--,469.86%,384.88%,16.21%,16.21%
,,,,,,
3/31/2016,398.37,--,390.36%,317.24%,8.41%,8.41%
2/29/2016,367.45,--,352.31%,284.87%,-0.65%,-0.65%
1/29/2016,369.86,--,355.28%,287.39%,-7.51%,-7.51%
,,,,,,
12/31/2015,399.89,--,392.23%,318.83%,-17.68%,-17.68%
11/30/2015,485.76,--,497.94%,408.78%,-11.73%,-11.73%
10/30/2015,550.32,--,577.41%,476.40%,1.21%,1.21%
,,,,,,
9/30/2015,543.76,--,569.32%,469.52%,-12.62%,-12.62%
8/31/2015,622.29,--,666.00%,551.78%,2.70%,2.70%
7/31/2015,605.95,--,645.88%,534.66%,-17.85%,-17.85%
,,,,,,
6/30/2015,737.65,--,807.99%,672.60%,-3.71%,-3.71%
5/29/2015,766.05,--,842.95%,702.34%,-2.74%,-2.74%
4/30/2015,787.63,--,869.51%,724.95%,18.17%,18.17%
,,,,,,
3/31/2015,666.52,--,720.44%,598.10%,-12.28%,-12.28%
2/27/2015,759.82,--,835.29%,695.83%,14.82%,14.82%
1/30/2015,661.75,--,714.57%,593.11%,-9.92%,-9.92%
,,,,,,
12/31/2014,734.65,--,804.30%,669.46%,-18.17%,-18.17%
11/28/2014,897.81,--,1005.14%,840.35%,-18.86%,-18.86%
10/31/2014,1106.51,--,1262.04%,1058.94%,-9.93%,-9.93%
,,,,,,
9/30/2014,1228.5,--,1412.20%,1186.71%,-8.82%,-8.82%
8/29/2014,1347.3,--,1558.43%,1311.13%,-2.83%,-2.83%
7/31/2014,1386.6,--,1606.81%,1352.30%,-4.80%,-4.80%
,,,,,,
6/30/2014,1456.59,--,1692.96%,1425.60%,3.83%,3.83%
5/30/2014,1402.87,--,1626.84%,1369.34%,1.56%,1.56%
4/30/2014,1381.35,--,1600.34%,1346.80%,0.12%,0.12%
,,,,,,
3/31/2014,1379.64,--,1598.24%,1345.01%,-0.50%,-0.50%
2/28/2014,1386.59,--,1606.80%,1352.29%,3.10%,3.10%
1/31/2014,1344.92,--,1555.50%,1308.64%,-4.11%,-4.11%
,,,,,,
12/31/2013,1402.6,--,1626.51%,1369.06%,1.39%,1.39%
11/29/2013,1383.36,--,1602.81%,1348.90%,0.87%,0.87%
10/31/2013,1371.47,--,1588.19%,1336.45%,1.97%,1.97%
,,,,,,
9/30/2013,1345.03,--,1555.64%,1308.76%,-3.24%,-3.24%
8/30/2013,1390.09,--,1611.10%,1355.95%,5.65%,5.65%
7/31/2013,1315.78,--,1519.64%,1278.13%,5.71%,5.71%
,,,,,,
6/28/2013,1244.73,--,1432.17%,1203.70%,1.82%,1.82%
5/31/2013,1222.53,--,1404.85%,1180.46%,-1.64%,-1.64%
4/30/2013,1242.94,--,1429.97%,1201.83%,-6.73%,-6.73%
,,,,,,
3/29/2013,1332.64,--,1540.38%,1295.78%,0.18%,0.18%
2/28/2013,1330.26,--,1537.45%,1293.29%,-2.87%,-2.87%
1/31/2013,1369.55,--,1585.82%,1334.44%,4.69%,4.69%
,,,,,,
12/31/2012,1308.16,--,1510.25%,1270.14%,0.33%,0.33%
11/30/2012,1303.91,--,1505.02%,1265.69%,2.88%,2.88%
10/31/2012,1267.37,--,1460.04%,1227.42%,-3.03%,-3.03%
,,,,,,
9/28/2012,1306.96,--,1508.77%,1268.88%,-1.98%,-1.98%
