BCOMNITR Index Settings Total Return Analysis,,,,,,
Range01/31/1991 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 383 Month Holding Period Chart,,,,,,
Bloomberg Nickel Subindex Total Return Max Cuml Total Return 1015.6920% On 04/30/2007,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
2/27/2009,231.95,--,123.73%,131.95%,-10.99%,-10.99%
1/30/2009,260.59,--,151.35%,160.59%,-4.39%,-4.39%
,,,,,,
12/31/2008,272.54,--,162.89%,172.54%,14.20%,14.20%
11/28/2008,238.65,--,130.20%,138.65%,-15.91%,-15.91%
10/31/2008,283.79,--,173.74%,183.79%,-24.12%,-24.12%
,,,,,,
9/30/2008,374.01,--,260.76%,274.01%,-22.02%,-22.02%
8/29/2008,479.64,--,362.65%,379.64%,10.45%,10.45%
7/31/2008,434.27,--,318.89%,334.27%,-16.35%,-16.35%
,,,,,,
6/30/2008,519.16,--,400.77%,419.16%,-0.30%,-0.30%
5/30/2008,520.75,--,402.30%,420.75%,-22.65%,-22.65%
4/30/2008,673.19,--,549.34%,573.19%,-4.11%,-4.11%
,,,,,,
3/31/2008,702.03,--,577.16%,602.03%,-5.72%,-5.72%
2/29/2008,744.65,--,618.27%,644.65%,15.00%,15.00%
1/31/2008,647.53,--,524.59%,547.53%,4.11%,4.11%
,,,,,,
12/31/2007,621.98,--,499.94%,521.98%,-2.99%,-2.99%
11/30/2007,641.13,--,518.42%,541.13%,-15.56%,-15.56%
10/31/2007,759.28,--,632.38%,659.28%,4.86%,4.86%
,,,,,,
9/28/2007,724.06,--,598.41%,624.06%,2.46%,2.46%
8/31/2007,706.67,--,581.63%,606.67%,-5.67%,-5.67%
7/31/2007,749.17,--,622.63%,649.17%,-12.77%,-12.77%
,,,,,,
6/29/2007,858.84,--,728.41%,758.84%,-21.30%,-21.30%
5/31/2007,1091.22,--,952.56%,991.22%,-2.19%,-2.19%
4/30/2007,1115.69,--,976.17%,1015.69%,8.12%,8.12%
,,,,,,
3/30/2007,1031.91,--,895.35%,931.91%,10.26%,10.26%
2/28/2007,935.92,--,802.76%,835.92%,14.82%,14.82%
1/31/2007,815.09,--,686.21%,715.09%,14.01%,14.01%
,,,,,,
12/29/2006,714.96,--,589.63%,614.96%,-0.44%,-0.44%
11/30/2006,718.11,--,592.67%,618.11%,9.57%,9.57%
10/31/2006,655.4,--,532.18%,555.40%,6.42%,6.42%
,,,,,,
9/29/2006,615.86,--,494.05%,515.86%,5.61%,5.61%
8/31/2006,583.17,--,462.51%,483.17%,14.99%,14.99%
7/31/2006,507.16,--,389.19%,407.16%,22.14%,22.14%
,,,,,,
