BCOMCLTR Index Settings Total Return Analysis,,,,,,
Range01/31/1984 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 467 Month Holding Period Chart,,,,,,
Bloomberg WTI Crude Oil Subindex Total Return Max Cuml Total Return 4870.1695% On 06/30/2008,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
12/31/2020,94.73,--,188.95%,194.97%,6.51%,6.51%
11/30/2020,88.94,--,171.29%,176.95%,25.43%,25.43%
10/30/2020,70.91,--,116.29%,120.80%,-11.54%,-11.54%
,,,,,,
9/30/2020,80.16,--,144.51%,149.61%,-6.24%,-6.24%
8/31/2020,85.5,--,160.78%,166.22%,5.05%,5.05%
7/31/2020,81.38,--,148.24%,153.42%,2.38%,2.38%
,,,,,,
6/30/2020,79.5,--,142.48%,147.54%,8.69%,8.69%
5/29/2020,73.14,--,123.10%,127.75%,49.60%,49.60%
4/30/2020,48.89,--,49.13%,52.24%,-24.00%,-24.00%
,,,,,,
3/31/2020,64.33,--,96.22%,100.31%,-54.40%,-54.40%
2/28/2020,141.09,--,330.35%,339.32%,-13.59%,-13.59%
1/31/2020,163.27,--,398.01%,408.39%,-15.04%,-15.04%
,,,,,,
12/31/2019,192.18,--,486.18%,498.41%,11.05%,11.05%
11/29/2019,173.06,--,427.88%,438.88%,1.82%,1.82%
10/31/2019,169.96,--,418.42%,429.23%,0.69%,0.69%
,,,,,,
9/30/2019,168.8,--,414.87%,425.61%,-1.33%,-1.33%
8/30/2019,171.07,--,421.82%,432.70%,-5.65%,-5.65%
7/31/2019,181.32,--,453.07%,464.60%,0.30%,0.30%
,,,,,,
6/28/2019,180.78,--,451.43%,462.93%,8.79%,8.79%
5/31/2019,166.17,--,406.86%,417.43%,-16.21%,-16.21%
4/30/2019,198.32,--,504.91%,517.52%,6.59%,6.59%
,,,,,,
3/29/2019,186.06,--,467.51%,479.35%,4.59%,4.59%
2/28/2019,177.88,--,442.59%,453.90%,5.55%,5.55%
1/31/2019,168.52,--,414.04%,424.76%,17.90%,17.90%
,,,,,,
12/31/2018,142.94,--,336.01%,345.10%,-10.78%,-10.78%
11/30/2018,160.21,--,388.67%,398.86%,-22.02%,-22.02%
10/31/2018,205.45,--,526.66%,539.73%,-10.16%,-10.16%
,,,,,,
9/28/2018,228.68,--,597.53%,612.07%,5.77%,5.77%
8/31/2018,216.21,--,559.49%,573.25%,2.70%,2.70%
7/31/2018,210.53,--,542.15%,555.54%,-4.94%,-4.94%
,,,,,,
6/29/2018,221.47,--,575.52%,589.61%,8.85%,8.85%
5/31/2018,203.46,--,520.60%,533.54%,-1.94%,-1.94%
